
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:34:01.901152: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:34:06.657055: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:89:00.0, compute capability: 7.0
Rewards Tr: 68.26, Rewards Val: 50.53, Rewards Disc: 0.53, Rewards Eval: 54.53, Total Timesteps: 2280000 episode:113 

Rewards Tr: 69.08, Rewards Val: 57.36, Rewards Disc: 0.59, Rewards Eval: 71.02, Total Timesteps: 2300000 episode:114 

Rewards Tr: 81.24, Rewards Val: 93.24, Rewards Disc: 0.68, Rewards Eval: 48.94, Total Timesteps: 2320000 episode:115 

Rewards Tr: 78.98, Rewards Val: 48.49, Rewards Disc: 0.63, Rewards Eval: 26.25, Total Timesteps: 2340000 episode:116 

Rewards Tr: 72.96, Rewards Val: 57.38, Rewards Disc: 0.58, Rewards Eval: 79.60, Total Timesteps: 2360000 episode:117 

Rewards Tr: 63.39, Rewards Val: 62.32, Rewards Disc: 0.56, Rewards Eval: 57.94, Total Timesteps: 2380000 episode:118 

Rewards Tr: 72.51, Rewards Val: 61.48, Rewards Disc: 0.53, Rewards Eval: 27.60, Total Timesteps: 2400000 episode:119 

Rewards Tr: 79.22, Rewards Val: 91.06, Rewards Disc: 0.57, Rewards Eval: 80.75, Total Timesteps: 2420000 episode:120 

Rewards Tr: 67.19, Rewards Val: 49.38, Rewards Disc: 0.49, Rewards Eval: 89.29, Total Timesteps: 2440000 episode:121 

Rewards Tr: 72.39, Rewards Val: 84.37, Rewards Disc: 0.55, Rewards Eval: 54.10, Total Timesteps: 2460000 episode:122 

Rewards Tr: 83.02, Rewards Val: 75.16, Rewards Disc: 0.50, Rewards Eval: 100.64, Total Timesteps: 2480000 episode:123 

Rewards Tr: 79.75, Rewards Val: 68.67, Rewards Disc: 0.47, Rewards Eval: 117.81, Total Timesteps: 2500000 episode:124 

Rewards Tr: 81.10, Rewards Val: 73.61, Rewards Disc: 0.53, Rewards Eval: 102.77, Total Timesteps: 2520000 episode:125 

Rewards Tr: 84.71, Rewards Val: 66.32, Rewards Disc: 0.59, Rewards Eval: 115.27, Total Timesteps: 2540000 episode:126 

Rewards Tr: 80.01, Rewards Val: 83.55, Rewards Disc: 0.55, Rewards Eval: 52.94, Total Timesteps: 2560000 episode:127 

Rewards Tr: 73.30, Rewards Val: 79.79, Rewards Disc: 0.53, Rewards Eval: 100.58, Total Timesteps: 2580000 episode:128 

Rewards Tr: 86.86, Rewards Val: 80.80, Rewards Disc: 0.56, Rewards Eval: 130.35, Total Timesteps: 2600000 episode:129 

Rewards Tr: 107.47, Rewards Val: 85.16, Rewards Disc: 0.53, Rewards Eval: 98.85, Total Timesteps: 2620000 episode:130 

Rewards Tr: 96.99, Rewards Val: 81.61, Rewards Disc: 0.55, Rewards Eval: 19.62, Total Timesteps: 2640000 episode:131 

Rewards Tr: 101.78, Rewards Val: 72.99, Rewards Disc: 0.57, Rewards Eval: 34.52, Total Timesteps: 2660000 episode:132 

