For Seed: 1 

2022-02-01 15:43:33.463730: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-01 15:43:37.156946: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:86:00.0, compute capability: 7.0
Rewards Agent: -26.21, Rewards Eval: -1.23, Total Timesteps: 10000 episode:0 
Rewards Agent: 1201.76, Rewards Eval: 1305.17, Total Timesteps: 1160000 episode:115 

Rewards Agent: 1250.42, Rewards Eval: 1207.35, Total Timesteps: 1170000 episode:116 

Rewards Agent: 1227.43, Rewards Eval: 1231.01, Total Timesteps: 1180000 episode:117 

Rewards Agent: 1236.72, Rewards Eval: 1279.90, Total Timesteps: 1190000 episode:118 

Rewards Agent: 1282.30, Rewards Eval: 1241.38, Total Timesteps: 1200000 episode:119 

Rewards Agent: 1267.64, Rewards Eval: 1302.41, Total Timesteps: 1210000 episode:120 

Rewards Agent: 1270.01, Rewards Eval: 1256.72, Total Timesteps: 1220000 episode:121 

Rewards Agent: 1285.42, Rewards Eval: 1344.97, Total Timesteps: 1230000 episode:122 

Rewards Agent: 1286.68, Rewards Eval: 1324.56, Total Timesteps: 1240000 episode:123 

Rewards Agent: 1312.68, Rewards Eval: 1308.68, Total Timesteps: 1250000 episode:124 

Rewards Agent: 1301.49, Rewards Eval: 1326.64, Total Timesteps: 1260000 episode:125 

Rewards Agent: 1316.77, Rewards Eval: 1372.21, Total Timesteps: 1270000 episode:126 

Rewards Agent: 1352.58, Rewards Eval: 1360.43, Total Timesteps: 1280000 episode:127 

Rewards Agent: 1321.88, Rewards Eval: 1319.27, Total Timesteps: 1290000 episode:128 

Rewards Agent: 1352.49, Rewards Eval: 1358.62, Total Timesteps: 1300000 episode:129 

Rewards Agent: 1319.12, Rewards Eval: 1362.38, Total Timesteps: 1310000 episode:130 

Rewards Agent: 1352.65, Rewards Eval: 1324.24, Total Timesteps: 1320000 episode:131 

Rewards Agent: 1353.27, Rewards Eval: 1355.19, Total Timesteps: 1330000 episode:132 

Rewards Agent: 1369.65, Rewards Eval: 1285.85, Total Timesteps: 1340000 episode:133 

Rewards Agent: 1348.38, Rewards Eval: 1391.38, Total Timesteps: 1350000 episode:134 

Rewards Agent: 1376.18, Rewards Eval: 1403.94, Total Timesteps: 1360000 episode:135 

Rewards Agent: 1373.22, Rewards Eval: 1419.55, Total Timesteps: 1370000 episode:136 

Rewards Agent: 1376.27, Rewards Eval: 1333.17, Total Timesteps: 1380000 episode:137 

Rewards Agent: 1383.10, Rewards Eval: 1361.72, Total Timesteps: 1390000 episode:138 

Rewards Agent: 1405.39, Rewards Eval: 1352.38, Total Timesteps: 1400000 episode:139 

Rewards Agent: 1375.19, Rewards Eval: 1479.20, Total Timesteps: 1410000 episode:140 

Rewards Agent: 1400.35, Rewards Eval: 1463.82, Total Timesteps: 1420000 episode:141 

Rewards Agent: 1400.44, Rewards Eval: 1332.65, Total Timesteps: 1430000 episode:142 

Rewards Agent: 1424.00, Rewards Eval: 1318.35, Total Timesteps: 1440000 episode:143 

Rewards Agent: 1401.26, Rewards Eval: 1408.27, Total Timesteps: 1450000 episode:144 

Rewards Agent: 1421.02, Rewards Eval: 1339.26, Total Timesteps: 1460000 episode:145 

Rewards Agent: 1443.52, Rewards Eval: 1463.88, Total Timesteps: 1470000 episode:146 

Rewards Agent: 1447.94, Rewards Eval: 1427.10, Total Timesteps: 1480000 episode:147 

Rewards Agent: 1465.77, Rewards Eval: 1472.64, Total Timesteps: 1490000 episode:148 

Rewards Agent: 1464.17, Rewards Eval: 1449.24, Total Timesteps: 1500000 episode:149 

Rewards Agent: 1488.75, Rewards Eval: 1481.91, Total Timesteps: 1510000 episode:150 

Rewards Agent: 1480.37, Rewards Eval: 1532.64, Total Timesteps: 1520000 episode:151 

Rewards Agent: 1484.15, Rewards Eval: 1493.63, Total Timesteps: 1530000 episode:152 

