
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:57:26.842228: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:57:30.650402: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:86:00.0, compute capability: 7.0
Rewards Agent: 574.05, Rewards Eval: 593.48, Total Timesteps: 1340000 episode:133 

Rewards Agent: 571.32, Rewards Eval: 571.82, Total Timesteps: 1350000 episode:134 

Rewards Agent: 564.79, Rewards Eval: 587.59, Total Timesteps: 1360000 episode:135 

Rewards Agent: 592.85, Rewards Eval: 576.94, Total Timesteps: 1370000 episode:136 

Rewards Agent: 602.22, Rewards Eval: 635.83, Total Timesteps: 1380000 episode:137 

Rewards Agent: 575.13, Rewards Eval: 641.30, Total Timesteps: 1390000 episode:138 

Rewards Agent: 590.66, Rewards Eval: 587.25, Total Timesteps: 1400000 episode:139 

Rewards Agent: 589.56, Rewards Eval: 598.92, Total Timesteps: 1410000 episode:140 

Rewards Agent: 594.62, Rewards Eval: 653.97, Total Timesteps: 1420000 episode:141 

Rewards Agent: 590.46, Rewards Eval: 603.33, Total Timesteps: 1430000 episode:142 

Rewards Agent: 596.74, Rewards Eval: 560.38, Total Timesteps: 1440000 episode:143 

Rewards Agent: 581.72, Rewards Eval: 611.00, Total Timesteps: 1450000 episode:144 

Rewards Agent: 601.24, Rewards Eval: 630.62, Total Timesteps: 1460000 episode:145 

Rewards Agent: 606.23, Rewards Eval: 613.77, Total Timesteps: 1470000 episode:146 

Rewards Agent: 605.53, Rewards Eval: 591.65, Total Timesteps: 1480000 episode:147 

Rewards Agent: 618.58, Rewards Eval: 581.58, Total Timesteps: 1490000 episode:148 

Rewards Agent: 602.39, Rewards Eval: 610.42, Total Timesteps: 1500000 episode:149 

Rewards Agent: 616.25, Rewards Eval: 581.34, Total Timesteps: 1510000 episode:150 

Rewards Agent: 602.04, Rewards Eval: 626.26, Total Timesteps: 1520000 episode:151 

Rewards Agent: 623.12, Rewards Eval: 598.81, Total Timesteps: 1530000 episode:152 

Rewards Agent: 624.13, Rewards Eval: 659.66, Total Timesteps: 1540000 episode:153 

Rewards Agent: 603.04, Rewards Eval: 633.76, Total Timesteps: 1550000 episode:154 

Rewards Agent: 655.16, Rewards Eval: 617.10, Total Timesteps: 1560000 episode:155 

Rewards Agent: 639.14, Rewards Eval: 527.07, Total Timesteps: 1570000 episode:156 

Rewards Agent: 641.00, Rewards Eval: 650.15, Total Timesteps: 1580000 episode:157 

Rewards Agent: 634.10, Rewards Eval: 637.20, Total Timesteps: 1590000 episode:158 

Rewards Agent: 622.85, Rewards Eval: 583.71, Total Timesteps: 1600000 episode:159 

Rewards Agent: 619.85, Rewards Eval: 666.59, Total Timesteps: 1610000 episode:160 

Rewards Agent: 622.38, Rewards Eval: 596.17, Total Timesteps: 1620000 episode:161 

Rewards Agent: 640.74, Rewards Eval: 642.24, Total Timesteps: 1630000 episode:162 

Rewards Agent: 634.14, Rewards Eval: 644.34, Total Timesteps: 1640000 episode:163 

Rewards Agent: 637.11, Rewards Eval: 667.94, Total Timesteps: 1650000 episode:164 

Rewards Agent: 657.37, Rewards Eval: 582.74, Total Timesteps: 1660000 episode:165 

Rewards Agent: 632.82, Rewards Eval: 687.69, Total Timesteps: 1670000 episode:166 

Rewards Agent: 626.68, Rewards Eval: 599.47, Total Timesteps: 1680000 episode:167 

Rewards Agent: 673.21, Rewards Eval: 677.38, Total Timesteps: 1690000 episode:168 

Rewards Agent: 660.61, Rewards Eval: 689.42, Total Timesteps: 1700000 episode:169 

Rewards Agent: 667.20, Rewards Eval: 661.44, Total Timesteps: 1710000 episode:170 

Rewards Agent: 658.05, Rewards Eval: 758.41, Total Timesteps: 1720000 episode:171 

Rewards Agent: 675.39, Rewards Eval: 718.02, Total Timesteps: 1730000 episode:172 

Rewards Agent: 672.74, Rewards Eval: 670.40, Total Timesteps: 1740000 episode:173 

Rewards Agent: 671.16, Rewards Eval: 639.85, Total Timesteps: 1750000 episode:174 

Rewards Agent: 665.17, Rewards Eval: 678.27, Total Timesteps: 1760000 episode:175 

Rewards Agent: 684.71, Rewards Eval: 655.05, Total Timesteps: 1770000 episode:176 

Rewards Agent: 704.42, Rewards Eval: 734.23, Total Timesteps: 1780000 episode:177 

Rewards Agent: 693.77, Rewards Eval: 695.94, Total Timesteps: 1790000 episode:178 

Rewards Agent: 697.19, Rewards Eval: 683.54, Total Timesteps: 1800000 episode:179 

Rewards Agent: 709.74, Rewards Eval: 668.33, Total Timesteps: 1810000 episode:180 

Rewards Agent: 714.89, Rewards Eval: 693.54, Total Timesteps: 1820000 episode:181 

Rewards Agent: 689.52, Rewards Eval: 638.60, Total Timesteps: 1830000 episode:182 

Rewards Agent: 687.49, Rewards Eval: 731.44, Total Timesteps: 1840000 episode:183 

