
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:34:18.300069: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:34:21.102949: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 10469 MB memory:  -> device: 0, name: Tesla K80, pci bus id: 0000:05:00.0, compute capability: 3.7
Rewards Agent: 736.93, Rewards Disc: 0.80, Rewards Eval: 761.57, Total Timesteps: 1710000 episode:170 

Rewards Agent: 738.79, Rewards Disc: 0.65, Rewards Eval: 779.39, Total Timesteps: 1720000 episode:171 

Rewards Agent: 742.43, Rewards Disc: 0.69, Rewards Eval: 741.18, Total Timesteps: 1730000 episode:172 

Rewards Agent: 729.00, Rewards Disc: 0.80, Rewards Eval: 802.37, Total Timesteps: 1740000 episode:173 

Rewards Agent: 746.68, Rewards Disc: 0.66, Rewards Eval: 668.40, Total Timesteps: 1750000 episode:174 

Rewards Agent: 712.58, Rewards Disc: 0.77, Rewards Eval: 609.13, Total Timesteps: 1760000 episode:175 

Rewards Agent: 718.98, Rewards Disc: 0.83, Rewards Eval: 760.28, Total Timesteps: 1770000 episode:176 

Rewards Agent: 727.81, Rewards Disc: 0.79, Rewards Eval: 784.78, Total Timesteps: 1780000 episode:177 

Rewards Agent: 744.67, Rewards Disc: 0.80, Rewards Eval: 791.70, Total Timesteps: 1790000 episode:178 

Rewards Agent: 725.08, Rewards Disc: 0.79, Rewards Eval: 799.17, Total Timesteps: 1800000 episode:179 

Rewards Agent: 745.93, Rewards Disc: 0.72, Rewards Eval: 775.75, Total Timesteps: 1810000 episode:180 

Rewards Agent: 734.96, Rewards Disc: 0.73, Rewards Eval: 755.60, Total Timesteps: 1820000 episode:181 

Rewards Agent: 759.73, Rewards Disc: 0.69, Rewards Eval: 736.67, Total Timesteps: 1830000 episode:182 

Rewards Agent: 747.00, Rewards Disc: 0.71, Rewards Eval: 842.00, Total Timesteps: 1840000 episode:183 

Rewards Agent: 758.93, Rewards Disc: 0.84, Rewards Eval: 762.65, Total Timesteps: 1850000 episode:184 

Rewards Agent: 737.58, Rewards Disc: 0.82, Rewards Eval: 797.37, Total Timesteps: 1860000 episode:185 

Rewards Agent: 737.42, Rewards Disc: 0.83, Rewards Eval: 814.44, Total Timesteps: 1870000 episode:186 

Rewards Agent: 703.16, Rewards Disc: 0.79, Rewards Eval: 835.25, Total Timesteps: 1880000 episode:187 

Rewards Agent: 745.84, Rewards Disc: 0.79, Rewards Eval: 714.66, Total Timesteps: 1890000 episode:188 

