For Seed: 1 

2022-02-02 03:17:53.218163: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-02 03:18:01.630720: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:0a:00.0, compute capability: 7.0
Rewards Agent: 905.93, Rewards Eval: 864.13, Total Timesteps: 2180000 episode:217 

Rewards Agent: 923.19, Rewards Eval: 1038.94, Total Timesteps: 2190000 episode:218 

Rewards Agent: 926.44, Rewards Eval: 1000.76, Total Timesteps: 2200000 episode:219 

Rewards Agent: 809.54, Rewards Eval: 876.88, Total Timesteps: 2210000 episode:220 

Rewards Agent: 954.72, Rewards Eval: 1061.86, Total Timesteps: 2220000 episode:221 

Rewards Agent: 843.07, Rewards Eval: 958.49, Total Timesteps: 2230000 episode:222 

Rewards Agent: 833.01, Rewards Eval: 1110.31, Total Timesteps: 2240000 episode:223 

Rewards Agent: 827.01, Rewards Eval: 845.71, Total Timesteps: 2250000 episode:224 

Rewards Agent: 899.28, Rewards Eval: 1094.58, Total Timesteps: 2260000 episode:225 

Rewards Agent: 913.22, Rewards Eval: 1023.11, Total Timesteps: 2270000 episode:226 

Rewards Agent: 939.20, Rewards Eval: 869.88, Total Timesteps: 2280000 episode:227 

Rewards Agent: 965.09, Rewards Eval: 1006.56, Total Timesteps: 2290000 episode:228 

Rewards Agent: 990.50, Rewards Eval: 973.03, Total Timesteps: 2300000 episode:229 

Rewards Agent: 929.23, Rewards Eval: 1102.51, Total Timesteps: 2310000 episode:230 

Rewards Agent: 967.31, Rewards Eval: 968.26, Total Timesteps: 2320000 episode:231 

Rewards Agent: 883.24, Rewards Eval: 805.75, Total Timesteps: 2330000 episode:232 

Rewards Agent: 1010.71, Rewards Eval: 1016.32, Total Timesteps: 2340000 episode:233 

Rewards Agent: 896.93, Rewards Eval: 918.63, Total Timesteps: 2350000 episode:234 

Rewards Agent: 964.99, Rewards Eval: 1016.05, Total Timesteps: 2360000 episode:235 

Rewards Agent: 1029.34, Rewards Eval: 973.76, Total Timesteps: 2370000 episode:236 

Rewards Agent: 999.79, Rewards Eval: 1159.18, Total Timesteps: 2380000 episode:237 

Rewards Agent: 909.82, Rewards Eval: 1120.00, Total Timesteps: 2390000 episode:238 

Rewards Agent: 1012.44, Rewards Eval: 1146.57, Total Timesteps: 2400000 episode:239 

Rewards Agent: 1007.42, Rewards Eval: 1099.87, Total Timesteps: 2410000 episode:240 

Rewards Agent: 989.54, Rewards Eval: 1044.77, Total Timesteps: 2420000 episode:241 

Rewards Agent: 900.55, Rewards Eval: 931.32, Total Timesteps: 2430000 episode:242 

Rewards Agent: 943.79, Rewards Eval: 1118.44, Total Timesteps: 2440000 episode:243 

Rewards Agent: 1058.07, Rewards Eval: 946.16, Total Timesteps: 2450000 episode:244 

Rewards Agent: 935.45, Rewards Eval: 891.83, Total Timesteps: 2460000 episode:245 

Rewards Agent: 916.70, Rewards Eval: 1019.00, Total Timesteps: 2470000 episode:246 

Rewards Agent: 927.94, Rewards Eval: 973.71, Total Timesteps: 2480000 episode:247 

Rewards Agent: 979.53, Rewards Eval: 1171.60, Total Timesteps: 2490000 episode:248 

Rewards Agent: 1074.51, Rewards Eval: 1021.60, Total Timesteps: 2500000 episode:249 

Rewards Agent: 961.59, Rewards Eval: 894.52, Total Timesteps: 2510000 episode:250 

Rewards Agent: 1037.86, Rewards Eval: 1071.76, Total Timesteps: 2520000 episode:251 

Rewards Agent: 1029.89, Rewards Eval: 1036.29, Total Timesteps: 2530000 episode:252 

Rewards Agent: 1024.31, Rewards Eval: 792.71, Total Timesteps: 2540000 episode:253 

Rewards Agent: 1039.13, Rewards Eval: 1176.89, Total Timesteps: 2550000 episode:254 

Rewards Agent: 938.23, Rewards Eval: 999.18, Total Timesteps: 2560000 episode:255 

Rewards Agent: 1048.90, Rewards Eval: 1023.71, Total Timesteps: 2570000 episode:256 

Rewards Agent: 996.52, Rewards Eval: 898.68, Total Timesteps: 2580000 episode:257 

Rewards Agent: 1057.16, Rewards Eval: 1142.04, Total Timesteps: 2590000 episode:258 

Rewards Agent: 1070.02, Rewards Eval: 1056.16, Total Timesteps: 2600000 episode:259 

Rewards Agent: 1048.67, Rewards Eval: 877.42, Total Timesteps: 2610000 episode:260 

Rewards Agent: 1057.37, Rewards Eval: 943.53, Total Timesteps: 2620000 episode:261 

Rewards Agent: 1003.68, Rewards Eval: 1066.80, Total Timesteps: 2630000 episode:262 

Rewards Agent: 1108.34, Rewards Eval: 1104.18, Total Timesteps: 2640000 episode:263 

Rewards Agent: 1075.43, Rewards Eval: 1005.81, Total Timesteps: 2650000 episode:264 

Rewards Agent: 936.30, Rewards Eval: 1096.32, Total Timesteps: 2660000 episode:265 

Rewards Agent: 1028.37, Rewards Eval: 1079.74, Total Timesteps: 2670000 episode:266 

Rewards Agent: 1091.76, Rewards Eval: 965.12, Total Timesteps: 2680000 episode:267 

Rewards Agent: 1122.64, Rewards Eval: 1089.17, Total Timesteps: 2690000 episode:268 

Rewards Agent: 1058.88, Rewards Eval: 1114.03, Total Timesteps: 2700000 episode:269 

Rewards Agent: 953.83, Rewards Eval: 1120.62, Total Timesteps: 2710000 episode:270 

Rewards Agent: 1065.81, Rewards Eval: 1203.06, Total Timesteps: 2720000 episode:271 

Rewards Agent: 1031.45, Rewards Eval: 1129.56, Total Timesteps: 2730000 episode:272 

Rewards Agent: 1085.78, Rewards Eval: 1214.93, Total Timesteps: 2740000 episode:273 

Rewards Agent: 852.59, Rewards Eval: 997.43, Total Timesteps: 2750000 episode:274 

Rewards Agent: 1075.44, Rewards Eval: 1136.80, Total Timesteps: 2760000 episode:275 

Rewards Agent: 1039.49, Rewards Eval: 1179.59, Total Timesteps: 2770000 episode:276 

Rewards Agent: 918.04, Rewards Eval: 1164.02, Total Timesteps: 2780000 episode:277 

Rewards Agent: 1072.29, Rewards Eval: 1105.73, Total Timesteps: 2790000 episode:278 

Rewards Agent: 1083.85, Rewards Eval: 1071.20, Total Timesteps: 2800000 episode:279 

Rewards Agent: 1103.36, Rewards Eval: 1244.65, Total Timesteps: 2810000 episode:280 

Rewards Agent: 992.05, Rewards Eval: 1052.76, Total Timesteps: 2820000 episode:281 

Rewards Agent: 1053.42, Rewards Eval: 1126.22, Total Timesteps: 2830000 episode:282 

Rewards Agent: 972.05, Rewards Eval: 1087.18, Total Timesteps: 2840000 episode:283 

Rewards Agent: 892.80, Rewards Eval: 1238.02, Total Timesteps: 2850000 episode:284 

