
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:57:28.193203: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:57:34.100129: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:89:00.0, compute capability: 7.0
Rewards Agent: 293.35, Rewards Eval: 389.58, Total Timesteps: 870000 episode:86 

Rewards Agent: 300.68, Rewards Eval: 238.60, Total Timesteps: 880000 episode:87 

Rewards Agent: 280.19, Rewards Eval: 362.72, Total Timesteps: 890000 episode:88 

Rewards Agent: 248.02, Rewards Eval: 139.61, Total Timesteps: 900000 episode:89 

Rewards Agent: 291.86, Rewards Eval: 320.98, Total Timesteps: 910000 episode:90 

Rewards Agent: 274.69, Rewards Eval: 227.61, Total Timesteps: 920000 episode:91 

Rewards Agent: 268.92, Rewards Eval: 290.03, Total Timesteps: 930000 episode:92 

Rewards Agent: 298.14, Rewards Eval: 362.08, Total Timesteps: 940000 episode:93 

Rewards Agent: 264.46, Rewards Eval: 338.20, Total Timesteps: 950000 episode:94 

Rewards Agent: 295.59, Rewards Eval: 335.34, Total Timesteps: 960000 episode:95 

Rewards Agent: 285.90, Rewards Eval: 345.47, Total Timesteps: 970000 episode:96 

Rewards Agent: 275.99, Rewards Eval: 352.40, Total Timesteps: 980000 episode:97 

Rewards Agent: 266.86, Rewards Eval: 333.34, Total Timesteps: 990000 episode:98 

Rewards Agent: 316.91, Rewards Eval: 217.03, Total Timesteps: 1000000 episode:99 

Rewards Agent: 297.13, Rewards Eval: 361.35, Total Timesteps: 1010000 episode:100 

Rewards Agent: 287.17, Rewards Eval: 298.07, Total Timesteps: 1020000 episode:101 

Rewards Agent: 266.45, Rewards Eval: 365.66, Total Timesteps: 1030000 episode:102 

Rewards Agent: 304.23, Rewards Eval: 297.26, Total Timesteps: 1040000 episode:103 

Rewards Agent: 289.77, Rewards Eval: 401.48, Total Timesteps: 1050000 episode:104 

Rewards Agent: 286.79, Rewards Eval: 346.21, Total Timesteps: 1060000 episode:105 

Rewards Agent: 316.25, Rewards Eval: 333.57, Total Timesteps: 1070000 episode:106 

Rewards Agent: 289.97, Rewards Eval: 363.95, Total Timesteps: 1080000 episode:107 

Rewards Agent: 281.53, Rewards Eval: 203.34, Total Timesteps: 1090000 episode:108 

Rewards Agent: 330.52, Rewards Eval: 315.68, Total Timesteps: 1100000 episode:109 

Rewards Agent: 341.65, Rewards Eval: 166.83, Total Timesteps: 1110000 episode:110 

Rewards Agent: 298.52, Rewards Eval: 292.92, Total Timesteps: 1120000 episode:111 

Rewards Agent: 328.71, Rewards Eval: 204.52, Total Timesteps: 1130000 episode:112 

Rewards Agent: 315.37, Rewards Eval: 373.34, Total Timesteps: 1140000 episode:113 

Rewards Agent: 342.73, Rewards Eval: 380.10, Total Timesteps: 1150000 episode:114 

Rewards Agent: 354.38, Rewards Eval: 440.65, Total Timesteps: 1160000 episode:115 

Rewards Agent: 343.60, Rewards Eval: 399.89, Total Timesteps: 1170000 episode:116 

Rewards Agent: 368.39, Rewards Eval: 358.28, Total Timesteps: 1180000 episode:117 

Rewards Agent: 388.90, Rewards Eval: 451.30, Total Timesteps: 1190000 episode:118 

Rewards Agent: 365.61, Rewards Eval: 475.86, Total Timesteps: 1200000 episode:119 

Rewards Agent: 374.64, Rewards Eval: 444.23, Total Timesteps: 1210000 episode:120 

Rewards Agent: 385.06, Rewards Eval: 310.22, Total Timesteps: 1220000 episode:121 

Rewards Agent: 366.48, Rewards Eval: 478.06, Total Timesteps: 1230000 episode:122 

Rewards Agent: 376.37, Rewards Eval: 380.11, Total Timesteps: 1240000 episode:123 

Rewards Agent: 391.41, Rewards Eval: 343.75, Total Timesteps: 1250000 episode:124 

Rewards Agent: 396.11, Rewards Eval: 269.29, Total Timesteps: 1260000 episode:125 

Rewards Agent: 407.25, Rewards Eval: 291.01, Total Timesteps: 1270000 episode:126 

Rewards Agent: 376.31, Rewards Eval: 435.10, Total Timesteps: 1280000 episode:127 

Rewards Agent: 359.71, Rewards Eval: 264.83, Total Timesteps: 1290000 episode:128 

Rewards Agent: 314.84, Rewards Eval: 428.16, Total Timesteps: 1300000 episode:129 

Rewards Agent: 412.72, Rewards Eval: 463.07, Total Timesteps: 1310000 episode:130 

Rewards Agent: 419.69, Rewards Eval: 421.46, Total Timesteps: 1320000 episode:131 

Rewards Agent: 443.67, Rewards Eval: 415.32, Total Timesteps: 1330000 episode:132 

Rewards Agent: 443.69, Rewards Eval: 453.42, Total Timesteps: 1340000 episode:133 

Rewards Agent: 436.72, Rewards Eval: 398.21, Total Timesteps: 1350000 episode:134 

Rewards Agent: 460.92, Rewards Eval: 341.17, Total Timesteps: 1360000 episode:135 

Rewards Agent: 481.40, Rewards Eval: 574.58, Total Timesteps: 1370000 episode:136 

Rewards Agent: 494.88, Rewards Eval: 552.07, Total Timesteps: 1380000 episode:137 

Rewards Agent: 476.55, Rewards Eval: 372.43, Total Timesteps: 1390000 episode:138 

