For Seed: 3 

Rewards Tr: 782.16, Rewards Val: 738.80, Rewards Disc: 0.74, Rewards Eval: 558.14, Total Timesteps: 32250000 episode:128 

Rewards Tr: 765.03, Rewards Val: 807.86, Rewards Disc: 0.71, Rewards Eval: 708.37, Total Timesteps: 32500000 episode:129 

Rewards Tr: 719.42, Rewards Val: 731.61, Rewards Disc: 0.72, Rewards Eval: 978.31, Total Timesteps: 32750000 episode:130 

Rewards Tr: 782.69, Rewards Val: 771.17, Rewards Disc: 0.69, Rewards Eval: 752.44, Total Timesteps: 33000000 episode:131 

Rewards Tr: 717.06, Rewards Val: 737.25, Rewards Disc: 0.73, Rewards Eval: 791.13, Total Timesteps: 33250000 episode:132 

Rewards Tr: 784.69, Rewards Val: 739.75, Rewards Disc: 0.68, Rewards Eval: 833.86, Total Timesteps: 33500000 episode:133 

Rewards Tr: 702.10, Rewards Val: 740.88, Rewards Disc: 0.69, Rewards Eval: 809.78, Total Timesteps: 33750000 episode:134 

Rewards Tr: 763.13, Rewards Val: 707.36, Rewards Disc: 0.70, Rewards Eval: 649.37, Total Timesteps: 34000000 episode:135 

Rewards Tr: 696.98, Rewards Val: 725.91, Rewards Disc: 0.64, Rewards Eval: 422.58, Total Timesteps: 34250000 episode:136 

Rewards Tr: 626.29, Rewards Val: 632.13, Rewards Disc: 0.68, Rewards Eval: 759.61, Total Timesteps: 34500000 episode:137 

Rewards Tr: 670.43, Rewards Val: 653.16, Rewards Disc: 0.69, Rewards Eval: 617.78, Total Timesteps: 34750000 episode:138 

Rewards Tr: 676.28, Rewards Val: 675.00, Rewards Disc: 0.69, Rewards Eval: 541.76, Total Timesteps: 35000000 episode:139 

Rewards Tr: 659.36, Rewards Val: 636.58, Rewards Disc: 0.68, Rewards Eval: 622.67, Total Timesteps: 35250000 episode:140 

Rewards Tr: 773.86, Rewards Val: 766.54, Rewards Disc: 0.64, Rewards Eval: 650.99, Total Timesteps: 35500000 episode:141 

Rewards Tr: 771.36, Rewards Val: 739.21, Rewards Disc: 0.66, Rewards Eval: 801.84, Total Timesteps: 35750000 episode:142 

Rewards Tr: 782.70, Rewards Val: 773.51, Rewards Disc: 0.69, Rewards Eval: 778.31, Total Timesteps: 36000000 episode:143 

Rewards Tr: 705.91, Rewards Val: 741.29, Rewards Disc: 0.71, Rewards Eval: 793.71, Total Timesteps: 36250000 episode:144 

Rewards Tr: 732.52, Rewards Val: 723.96, Rewards Disc: 0.74, Rewards Eval: 715.92, Total Timesteps: 36500000 episode:145 

Rewards Tr: 790.10, Rewards Val: 763.36, Rewards Disc: 0.66, Rewards Eval: 651.10, Total Timesteps: 36750000 episode:146 

Rewards Tr: 801.13, Rewards Val: 791.76, Rewards Disc: 0.67, Rewards Eval: 887.52, Total Timesteps: 37000000 episode:147 

Rewards Tr: 799.18, Rewards Val: 810.64, Rewards Disc: 0.73, Rewards Eval: 909.35, Total Timesteps: 37250000 episode:148 

Rewards Tr: 826.20, Rewards Val: 812.65, Rewards Disc: 0.75, Rewards Eval: 763.95, Total Timesteps: 37500000 episode:149 

Rewards Tr: 865.83, Rewards Val: 862.79, Rewards Disc: 0.73, Rewards Eval: 872.71, Total Timesteps: 37750000 episode:150 

Rewards Tr: 842.77, Rewards Val: 857.43, Rewards Disc: 0.74, Rewards Eval: 732.32, Total Timesteps: 38000000 episode:151 

Rewards Tr: 844.30, Rewards Val: 845.09, Rewards Disc: 0.73, Rewards Eval: 743.10, Total Timesteps: 38250000 episode:152 

Rewards Tr: 803.07, Rewards Val: 792.51, Rewards Disc: 0.76, Rewards Eval: 639.98, Total Timesteps: 38500000 episode:153 

Rewards Tr: 828.84, Rewards Val: 846.82, Rewards Disc: 0.70, Rewards Eval: 926.87, Total Timesteps: 38750000 episode:154 

Rewards Tr: 827.55, Rewards Val: 819.25, Rewards Disc: 0.69, Rewards Eval: 536.00, Total Timesteps: 39000000 episode:155 

Rewards Tr: 869.16, Rewards Val: 837.16, Rewards Disc: 0.72, Rewards Eval: 884.59, Total Timesteps: 39250000 episode:156 

Rewards Tr: 862.16, Rewards Val: 874.90, Rewards Disc: 0.72, Rewards Eval: 941.18, Total Timesteps: 39500000 episode:157 

Rewards Tr: 864.40, Rewards Val: 879.12, Rewards Disc: 0.74, Rewards Eval: 867.82, Total Timesteps: 39750000 episode:158 

Rewards Tr: 865.59, Rewards Val: 859.11, Rewards Disc: 0.70, Rewards Eval: 721.78, Total Timesteps: 40000000 episode:159 

Rewards Tr: 874.34, Rewards Val: 857.06, Rewards Disc: 0.70, Rewards Eval: 861.48, Total Timesteps: 40250000 episode:160 

Rewards Tr: 881.69, Rewards Val: 884.98, Rewards Disc: 0.74, Rewards Eval: 871.67, Total Timesteps: 40500000 episode:161 

Rewards Tr: 899.12, Rewards Val: 875.67, Rewards Disc: 0.73, Rewards Eval: 704.56, Total Timesteps: 40750000 episode:162 

Rewards Tr: 902.65, Rewards Val: 894.64, Rewards Disc: 0.76, Rewards Eval: 921.32, Total Timesteps: 41000000 episode:163 

Rewards Tr: 875.46, Rewards Val: 865.81, Rewards Disc: 0.72, Rewards Eval: 752.89, Total Timesteps: 41250000 episode:164 

Rewards Tr: 871.44, Rewards Val: 885.62, Rewards Disc: 0.72, Rewards Eval: 734.48, Total Timesteps: 41500000 episode:165 

Rewards Tr: 897.66, Rewards Val: 863.85, Rewards Disc: 0.75, Rewards Eval: 929.18, Total Timesteps: 41750000 episode:166 

Rewards Tr: 894.69, Rewards Val: 866.83, Rewards Disc: 0.71, Rewards Eval: 964.33, Total Timesteps: 42000000 episode:167 

Rewards Tr: 885.51, Rewards Val: 877.22, Rewards Disc: 0.72, Rewards Eval: 774.55, Total Timesteps: 42250000 episode:168 

Rewards Tr: 889.63, Rewards Val: 950.11, Rewards Disc: 0.73, Rewards Eval: 949.83, Total Timesteps: 42500000 episode:169 

Rewards Tr: 883.54, Rewards Val: 900.76, Rewards Disc: 0.74, Rewards Eval: 796.16, Total Timesteps: 42750000 episode:170 

Rewards Tr: 916.33, Rewards Val: 928.95, Rewards Disc: 0.77, Rewards Eval: 891.68, Total Timesteps: 43000000 episode:171 

Rewards Tr: 862.96, Rewards Val: 874.55, Rewards Disc: 0.77, Rewards Eval: 502.25, Total Timesteps: 43250000 episode:172 

Rewards Tr: 903.32, Rewards Val: 928.56, Rewards Disc: 0.71, Rewards Eval: 882.91, Total Timesteps: 43500000 episode:173 

Rewards Tr: 921.97, Rewards Val: 904.91, Rewards Disc: 0.70, Rewards Eval: 885.50, Total Timesteps: 43750000 episode:174 

Rewards Tr: 947.50, Rewards Val: 922.70, Rewards Disc: 0.75, Rewards Eval: 928.34, Total Timesteps: 44000000 episode:175 

Rewards Tr: 920.17, Rewards Val: 944.09, Rewards Disc: 0.77, Rewards Eval: 944.67, Total Timesteps: 44250000 episode:176 

Rewards Tr: 911.82, Rewards Val: 934.85, Rewards Disc: 0.77, Rewards Eval: 1016.29, Total Timesteps: 44500000 episode:177 

Rewards Tr: 919.75, Rewards Val: 929.97, Rewards Disc: 0.72, Rewards Eval: 751.86, Total Timesteps: 44750000 episode:178 

Rewards Tr: 922.66, Rewards Val: 895.65, Rewards Disc: 0.76, Rewards Eval: 939.81, Total Timesteps: 45000000 episode:179 

Rewards Tr: 913.96, Rewards Val: 885.09, Rewards Disc: 0.75, Rewards Eval: 940.13, Total Timesteps: 45250000 episode:180 

Rewards Tr: 863.77, Rewards Val: 885.47, Rewards Disc: 0.64, Rewards Eval: 977.70, Total Timesteps: 45500000 episode:181 

Rewards Tr: 926.99, Rewards Val: 911.69, Rewards Disc: 0.70, Rewards Eval: 828.74, Total Timesteps: 45750000 episode:182 

Rewards Tr: 894.09, Rewards Val: 939.62, Rewards Disc: 0.74, Rewards Eval: 647.91, Total Timesteps: 46000000 episode:183 

Rewards Tr: 911.96, Rewards Val: 919.13, Rewards Disc: 0.77, Rewards Eval: 1030.52, Total Timesteps: 46250000 episode:184 

Rewards Tr: 914.68, Rewards Val: 908.96, Rewards Disc: 0.76, Rewards Eval: 844.20, Total Timesteps: 46500000 episode:185 

Rewards Tr: 884.20, Rewards Val: 870.41, Rewards Disc: 0.77, Rewards Eval: 826.95, Total Timesteps: 46750000 episode:186 

Rewards Tr: 865.95, Rewards Val: 898.44, Rewards Disc: 0.73, Rewards Eval: 830.11, Total Timesteps: 47000000 episode:187 

