For Seed: 103 

Rewards Tr: 21.46, Rewards Val: 20.71, Rewards Eval: -5.78, Total Timesteps: 30741060 episode:75 

Rewards Tr: 21.69, Rewards Val: 21.69, Rewards Eval: 22.86, Total Timesteps: 31341060 episode:76 

Rewards Tr: 27.45, Rewards Val: 25.80, Rewards Eval: 10.20, Total Timesteps: 31941060 episode:77 

Rewards Tr: 21.97, Rewards Val: 24.51, Rewards Eval: 25.76, Total Timesteps: 32541060 episode:78 

Rewards Tr: 28.90, Rewards Val: 28.33, Rewards Eval: 24.27, Total Timesteps: 33141060 episode:79 

Rewards Tr: 29.86, Rewards Val: 29.49, Rewards Eval: 39.28, Total Timesteps: 33741060 episode:80 

Rewards Tr: 35.10, Rewards Val: 34.51, Rewards Eval: 44.30, Total Timesteps: 34341060 episode:81 

Rewards Tr: 37.64, Rewards Val: 36.76, Rewards Eval: 26.14, Total Timesteps: 34941060 episode:82 

Rewards Tr: 39.05, Rewards Val: 38.56, Rewards Eval: 25.18, Total Timesteps: 35541060 episode:83 

Rewards Tr: 43.23, Rewards Val: 42.44, Rewards Eval: 27.46, Total Timesteps: 36141060 episode:84 

Rewards Tr: 44.90, Rewards Val: 44.63, Rewards Eval: 28.73, Total Timesteps: 36741060 episode:85 

Rewards Tr: 49.13, Rewards Val: 51.15, Rewards Eval: 39.75, Total Timesteps: 37341060 episode:86 

Rewards Tr: 49.64, Rewards Val: 49.00, Rewards Eval: 73.17, Total Timesteps: 37941060 episode:87 

Rewards Tr: 56.23, Rewards Val: 55.51, Rewards Eval: 34.18, Total Timesteps: 38541060 episode:88 

Rewards Tr: 57.68, Rewards Val: 54.12, Rewards Eval: 21.71, Total Timesteps: 39141060 episode:89 

Rewards Tr: 62.25, Rewards Val: 61.63, Rewards Eval: 48.48, Total Timesteps: 39741060 episode:90 

Rewards Tr: 63.43, Rewards Val: 65.00, Rewards Eval: 28.78, Total Timesteps: 40341060 episode:91 

Rewards Tr: 69.29, Rewards Val: 63.90, Rewards Eval: 71.24, Total Timesteps: 40941060 episode:92 

Rewards Tr: 72.61, Rewards Val: 73.40, Rewards Eval: 90.38, Total Timesteps: 41541060 episode:93 

