For Seed: 1 

Rewards Tr: 819.31, Rewards Disc: 0.82, Rewards Eval: 787.29, Total Timesteps: 6421200 episode:108 

Rewards Tr: 813.71, Rewards Disc: 0.83, Rewards Eval: 691.58, Total Timesteps: 6511010 episode:109 

Rewards Tr: 822.88, Rewards Disc: 0.82, Rewards Eval: 898.90, Total Timesteps: 6603760 episode:110 

Rewards Tr: 865.98, Rewards Disc: 0.83, Rewards Eval: 867.45, Total Timesteps: 6708250 episode:111 

Rewards Tr: 814.35, Rewards Disc: 0.84, Rewards Eval: 709.78, Total Timesteps: 6800490 episode:112 

Rewards Tr: 811.12, Rewards Disc: 0.78, Rewards Eval: 1082.77, Total Timesteps: 6891310 episode:113 

Rewards Tr: 848.20, Rewards Disc: 0.80, Rewards Eval: 1268.63, Total Timesteps: 6985320 episode:114 

Rewards Tr: 870.16, Rewards Disc: 0.81, Rewards Eval: 955.93, Total Timesteps: 7090280 episode:115 

Rewards Tr: 845.38, Rewards Disc: 0.82, Rewards Eval: 803.52, Total Timesteps: 7189700 episode:116 

Rewards Tr: 873.73, Rewards Disc: 0.81, Rewards Eval: 1003.90, Total Timesteps: 7298200 episode:117 

Rewards Tr: 908.86, Rewards Disc: 0.81, Rewards Eval: 819.14, Total Timesteps: 7408110 episode:118 

Rewards Tr: 865.21, Rewards Disc: 0.81, Rewards Eval: 900.41, Total Timesteps: 7506420 episode:119 

Rewards Tr: 903.53, Rewards Disc: 0.82, Rewards Eval: 774.10, Total Timesteps: 7612330 episode:120 

Rewards Tr: 876.56, Rewards Disc: 0.81, Rewards Eval: 883.80, Total Timesteps: 7711620 episode:121 

Rewards Tr: 839.51, Rewards Disc: 0.81, Rewards Eval: 864.42, Total Timesteps: 7814990 episode:122 

Rewards Tr: 836.50, Rewards Disc: 0.83, Rewards Eval: 947.61, Total Timesteps: 7913790 episode:123 

Rewards Tr: 884.11, Rewards Disc: 0.81, Rewards Eval: 926.38, Total Timesteps: 8008780 episode:124 

Rewards Tr: 858.07, Rewards Disc: 0.81, Rewards Eval: 975.24, Total Timesteps: 8105700 episode:125 

Rewards Tr: 858.49, Rewards Disc: 0.82, Rewards Eval: 1156.78, Total Timesteps: 8200540 episode:126 

Rewards Tr: 873.90, Rewards Disc: 0.82, Rewards Eval: 902.72, Total Timesteps: 8295360 episode:127 

Rewards Tr: 857.45, Rewards Disc: 0.81, Rewards Eval: 1071.78, Total Timesteps: 8390130 episode:128 

Rewards Tr: 857.34, Rewards Disc: 0.83, Rewards Eval: 1018.79, Total Timesteps: 8497410 episode:129 

Rewards Tr: 938.70, Rewards Disc: 0.83, Rewards Eval: 981.36, Total Timesteps: 8609150 episode:130 

Rewards Tr: 899.64, Rewards Disc: 0.82, Rewards Eval: 945.93, Total Timesteps: 8713490 episode:131 

Rewards Tr: 976.76, Rewards Disc: 0.82, Rewards Eval: 889.85, Total Timesteps: 8836750 episode:132 

Rewards Tr: 910.26, Rewards Disc: 0.83, Rewards Eval: 1048.57, Total Timesteps: 8936400 episode:133 

Rewards Tr: 935.02, Rewards Disc: 0.82, Rewards Eval: 1255.38, Total Timesteps: 9040900 episode:134 

Rewards Tr: 985.29, Rewards Disc: 0.82, Rewards Eval: 919.24, Total Timesteps: 9163680 episode:135 

Rewards Tr: 949.06, Rewards Disc: 0.83, Rewards Eval: 849.94, Total Timesteps: 9271720 episode:136 

Rewards Tr: 970.71, Rewards Disc: 0.82, Rewards Eval: 1281.52, Total Timesteps: 9383060 episode:137 

Rewards Tr: 999.72, Rewards Disc: 0.83, Rewards Eval: 899.02, Total Timesteps: 9508610 episode:138 

Rewards Tr: 937.03, Rewards Disc: 0.84, Rewards Eval: 1152.12, Total Timesteps: 9611980 episode:139 

Rewards Tr: 986.47, Rewards Disc: 0.81, Rewards Eval: 964.35, Total Timesteps: 9728980 episode:140 

Rewards Tr: 1009.19, Rewards Disc: 0.83, Rewards Eval: 1180.27, Total Timesteps: 9855270 episode:141 

Rewards Tr: 1015.07, Rewards Disc: 0.84, Rewards Eval: 1165.22, Total Timesteps: 9982690 episode:142 

Rewards Tr: 1046.43, Rewards Disc: 0.82, Rewards Eval: 798.88, Total Timesteps: 10103080 episode:143 

Rewards Tr: 997.33, Rewards Disc: 0.84, Rewards Eval: 902.77, Total Timesteps: 10217280 episode:144 

Rewards Tr: 1059.17, Rewards Disc: 0.83, Rewards Eval: 1072.84, Total Timesteps: 10353930 episode:145 

Rewards Tr: 1020.49, Rewards Disc: 0.82, Rewards Eval: 1190.41, Total Timesteps: 10480360 episode:146 

Rewards Tr: 971.13, Rewards Disc: 0.84, Rewards Eval: 1289.64, Total Timesteps: 10587520 episode:147 

Rewards Tr: 1018.41, Rewards Disc: 0.84, Rewards Eval: 1038.43, Total Timesteps: 10702730 episode:148 

Rewards Tr: 944.36, Rewards Disc: 0.84, Rewards Eval: 1064.99, Total Timesteps: 10813690 episode:149 

Rewards Tr: 939.03, Rewards Disc: 0.83, Rewards Eval: 1016.39, Total Timesteps: 10916730 episode:150 

Rewards Tr: 997.30, Rewards Disc: 0.83, Rewards Eval: 983.21, Total Timesteps: 11037460 episode:151 

Rewards Tr: 997.07, Rewards Disc: 0.85, Rewards Eval: 935.15, Total Timesteps: 11161290 episode:152 

Rewards Tr: 1004.23, Rewards Disc: 0.83, Rewards Eval: 1386.32, Total Timesteps: 11279550 episode:153 

Rewards Tr: 1045.97, Rewards Disc: 0.84, Rewards Eval: 999.66, Total Timesteps: 11403670 episode:154 

Rewards Tr: 1086.69, Rewards Disc: 0.84, Rewards Eval: 980.30, Total Timesteps: 11538070 episode:155 

Rewards Tr: 1017.93, Rewards Disc: 0.82, Rewards Eval: 1074.95, Total Timesteps: 11654030 episode:156 

Rewards Tr: 1022.12, Rewards Disc: 0.84, Rewards Eval: 943.20, Total Timesteps: 11776170 episode:157 

Rewards Tr: 1084.36, Rewards Disc: 0.85, Rewards Eval: 846.75, Total Timesteps: 11907540 episode:158 

Rewards Tr: 1087.58, Rewards Disc: 0.83, Rewards Eval: 1032.92, Total Timesteps: 12037910 episode:159 

Rewards Tr: 1032.17, Rewards Disc: 0.84, Rewards Eval: 1152.16, Total Timesteps: 12157640 episode:160 

Rewards Tr: 1117.07, Rewards Disc: 0.84, Rewards Eval: 1189.27, Total Timesteps: 12295420 episode:161 

Rewards Tr: 1144.76, Rewards Disc: 0.85, Rewards Eval: 1013.00, Total Timesteps: 12433210 episode:162 

Rewards Tr: 1216.42, Rewards Disc: 0.86, Rewards Eval: 1200.88, Total Timesteps: 12590760 episode:163 

Rewards Tr: 1189.77, Rewards Disc: 0.85, Rewards Eval: 1054.73, Total Timesteps: 12746650 episode:164 

Rewards Tr: 1134.10, Rewards Disc: 0.85, Rewards Eval: 1309.98, Total Timesteps: 12884460 episode:165 

Rewards Tr: 1128.72, Rewards Disc: 0.83, Rewards Eval: 977.39, Total Timesteps: 13027730 episode:166 

Rewards Tr: 1109.37, Rewards Disc: 0.86, Rewards Eval: 1092.64, Total Timesteps: 13173610 episode:167 

Rewards Tr: 1181.62, Rewards Disc: 0.84, Rewards Eval: 893.43, Total Timesteps: 13331040 episode:168 

Rewards Tr: 1169.71, Rewards Disc: 0.84, Rewards Eval: 1509.31, Total Timesteps: 13487260 episode:169 

Rewards Tr: 1240.70, Rewards Disc: 0.86, Rewards Eval: 1192.77, Total Timesteps: 13655210 episode:170 

Rewards Tr: 1240.27, Rewards Disc: 0.85, Rewards Eval: 1082.40, Total Timesteps: 13811950 episode:171 

Rewards Tr: 1201.81, Rewards Disc: 0.83, Rewards Eval: 1146.88, Total Timesteps: 13964590 episode:172 

Rewards Tr: 1175.84, Rewards Disc: 0.85, Rewards Eval: 1664.78, Total Timesteps: 14113200 episode:173 

Rewards Tr: 1184.66, Rewards Disc: 0.84, Rewards Eval: 1202.22, Total Timesteps: 14261450 episode:174 

Rewards Tr: 1199.00, Rewards Disc: 0.86, Rewards Eval: 1274.34, Total Timesteps: 14425180 episode:175 

Rewards Tr: 1156.00, Rewards Disc: 0.84, Rewards Eval: 1141.27, Total Timesteps: 14577840 episode:176 

Rewards Tr: 1155.04, Rewards Disc: 0.84, Rewards Eval: 1367.48, Total Timesteps: 14724560 episode:177 

Rewards Tr: 1123.97, Rewards Disc: 0.84, Rewards Eval: 1387.67, Total Timesteps: 14864240 episode:178 

Rewards Tr: 1158.31, Rewards Disc: 0.84, Rewards Eval: 1036.18, Total Timesteps: 15007200 episode:179 

Rewards Tr: 1131.13, Rewards Disc: 0.85, Rewards Eval: 1056.44, Total Timesteps: 15153790 episode:180 

Rewards Tr: 1091.14, Rewards Disc: 0.84, Rewards Eval: 979.40, Total Timesteps: 15293480 episode:181 

Rewards Tr: 1053.84, Rewards Disc: 0.85, Rewards Eval: 1088.91, Total Timesteps: 15421990 episode:182 

Rewards Tr: 1086.30, Rewards Disc: 0.84, Rewards Eval: 1174.43, Total Timesteps: 15554670 episode:183 

Rewards Tr: 1224.90, Rewards Disc: 0.84, Rewards Eval: 1097.27, Total Timesteps: 15730170 episode:184 

Rewards Tr: 1223.48, Rewards Disc: 0.85, Rewards Eval: 923.14, Total Timesteps: 15895340 episode:185 

Rewards Tr: 1100.97, Rewards Disc: 0.84, Rewards Eval: 1106.16, Total Timesteps: 16044200 episode:186 

Rewards Tr: 1138.95, Rewards Disc: 0.85, Rewards Eval: 977.07, Total Timesteps: 16203710 episode:187 

Rewards Tr: 1169.27, Rewards Disc: 0.83, Rewards Eval: 1205.08, Total Timesteps: 16352950 episode:188 

Rewards Tr: 1131.59, Rewards Disc: 0.85, Rewards Eval: 1165.26, Total Timesteps: 16514660 episode:189 

Rewards Tr: 1222.73, Rewards Disc: 0.85, Rewards Eval: 1465.06, Total Timesteps: 16673480 episode:190 

Rewards Tr: 1248.52, Rewards Disc: 0.84, Rewards Eval: 1216.88, Total Timesteps: 16842110 episode:191 

Rewards Tr: 1264.23, Rewards Disc: 0.85, Rewards Eval: 1260.08, Total Timesteps: 17002950 episode:192 

Rewards Tr: 1286.67, Rewards Disc: 0.86, Rewards Eval: 1086.14, Total Timesteps: 17179440 episode:193 

Rewards Tr: 1205.00, Rewards Disc: 0.84, Rewards Eval: 831.71, Total Timesteps: 17334780 episode:194 

Rewards Tr: 1131.93, Rewards Disc: 0.85, Rewards Eval: 1439.18, Total Timesteps: 17481770 episode:195 

Rewards Tr: 1198.52, Rewards Disc: 0.84, Rewards Eval: 1243.04, Total Timesteps: 17634600 episode:196 

Rewards Tr: 1179.23, Rewards Disc: 0.85, Rewards Eval: 1624.02, Total Timesteps: 17789160 episode:197 

Rewards Tr: 1196.87, Rewards Disc: 0.84, Rewards Eval: 1118.17, Total Timesteps: 17940980 episode:198 

Rewards Tr: 1186.93, Rewards Disc: 0.83, Rewards Eval: 1111.77, Total Timesteps: 18094700 episode:199 

Rewards Tr: 1167.06, Rewards Disc: 0.85, Rewards Eval: 1691.32, Total Timesteps: 18247230 episode:200 

Rewards Tr: 1282.71, Rewards Disc: 0.87, Rewards Eval: 1204.55, Total Timesteps: 18425060 episode:201 

Rewards Tr: 1248.08, Rewards Disc: 0.86, Rewards Eval: 1180.70, Total Timesteps: 18594530 episode:202 

Rewards Tr: 1206.35, Rewards Disc: 0.84, Rewards Eval: 1078.40, Total Timesteps: 18753770 episode:203 

Rewards Tr: 1197.00, Rewards Disc: 0.84, Rewards Eval: 1298.04, Total Timesteps: 18917550 episode:204 

Rewards Tr: 1222.76, Rewards Disc: 0.86, Rewards Eval: 1148.49, Total Timesteps: 19073310 episode:205 

Rewards Tr: 1092.88, Rewards Disc: 0.85, Rewards Eval: 999.01, Total Timesteps: 19202860 episode:206 

Rewards Tr: 1146.50, Rewards Disc: 0.86, Rewards Eval: 1307.67, Total Timesteps: 19352180 episode:207 

Rewards Tr: 1151.93, Rewards Disc: 0.85, Rewards Eval: 919.74, Total Timesteps: 19506550 episode:208 

Rewards Tr: 1152.02, Rewards Disc: 0.84, Rewards Eval: 1031.17, Total Timesteps: 19642970 episode:209 

Rewards Tr: 1143.51, Rewards Disc: 0.85, Rewards Eval: 1047.93, Total Timesteps: 19786480 episode:210 

Rewards Tr: 1180.80, Rewards Disc: 0.86, Rewards Eval: 1427.25, Total Timesteps: 19937610 episode:211 

Rewards Tr: 1230.55, Rewards Disc: 0.83, Rewards Eval: 1019.52, Total Timesteps: 20091880 episode:212 

Rewards Tr: 1114.96, Rewards Disc: 0.85, Rewards Eval: 1433.21, Total Timesteps: 20228190 episode:213 

Rewards Tr: 1246.08, Rewards Disc: 0.85, Rewards Eval: 1323.83, Total Timesteps: 20388390 episode:214 

Rewards Tr: 1270.03, Rewards Disc: 0.86, Rewards Eval: 1140.81, Total Timesteps: 20549740 episode:215 

Rewards Tr: 1124.42, Rewards Disc: 0.86, Rewards Eval: 1873.43, Total Timesteps: 20683230 episode:216 

Rewards Tr: 1209.03, Rewards Disc: 0.85, Rewards Eval: 1378.71, Total Timesteps: 20837660 episode:217 

Rewards Tr: 1251.05, Rewards Disc: 0.86, Rewards Eval: 1392.49, Total Timesteps: 20988810 episode:218 

Rewards Tr: 1218.72, Rewards Disc: 0.88, Rewards Eval: 1274.24, Total Timesteps: 21136250 episode:219 

Rewards Tr: 1191.65, Rewards Disc: 0.85, Rewards Eval: 1130.82, Total Timesteps: 21292790 episode:220 

Rewards Tr: 1238.27, Rewards Disc: 0.86, Rewards Eval: 1202.42, Total Timesteps: 21460140 episode:221 

Rewards Tr: 1325.25, Rewards Disc: 0.86, Rewards Eval: 1200.33, Total Timesteps: 21626300 episode:222 

Rewards Tr: 1253.13, Rewards Disc: 0.83, Rewards Eval: 1219.51, Total Timesteps: 21794820 episode:223 

Rewards Tr: 1318.82, Rewards Disc: 0.84, Rewards Eval: 1412.48, Total Timesteps: 21963060 episode:224 

Rewards Tr: 1214.30, Rewards Disc: 0.86, Rewards Eval: 1175.02, Total Timesteps: 22117650 episode:225 

Rewards Tr: 1230.95, Rewards Disc: 0.87, Rewards Eval: 1150.89, Total Timesteps: 22270650 episode:226 

Rewards Tr: 1286.52, Rewards Disc: 0.84, Rewards Eval: 962.29, Total Timesteps: 22447420 episode:227 

Rewards Tr: 1423.70, Rewards Disc: 0.87, Rewards Eval: 1480.00, Total Timesteps: 22630130 episode:228 

Rewards Tr: 1261.78, Rewards Disc: 0.85, Rewards Eval: 1098.68, Total Timesteps: 22797160 episode:229 

Rewards Tr: 1236.30, Rewards Disc: 0.85, Rewards Eval: 1281.81, Total Timesteps: 22958500 episode:230 

Rewards Tr: 1295.25, Rewards Disc: 0.87, Rewards Eval: 1463.99, Total Timesteps: 23126210 episode:231 

Rewards Tr: 1259.19, Rewards Disc: 0.84, Rewards Eval: 1408.20, Total Timesteps: 23289720 episode:232 

Rewards Tr: 1178.50, Rewards Disc: 0.85, Rewards Eval: 1314.80, Total Timesteps: 23434780 episode:233 

