For Seed: 1 

Rewards Tr: 885.15, Rewards Val: 891.06, Rewards Disc: 10.19, Rewards Eval: 1611.23, Total Timesteps: 6732300 episode:82 

Rewards Tr: 857.80, Rewards Val: 880.85, Rewards Disc: 10.56, Rewards Eval: 1239.52, Total Timesteps: 6921050 episode:83 

Rewards Tr: 1262.53, Rewards Val: 1130.56, Rewards Disc: 10.40, Rewards Eval: 1432.26, Total Timesteps: 7181800 episode:84 

Rewards Tr: 1165.80, Rewards Val: 1271.86, Rewards Disc: 6.96, Rewards Eval: 922.36, Total Timesteps: 7438030 episode:85 

Rewards Tr: 1169.72, Rewards Val: 1235.80, Rewards Disc: 9.37, Rewards Eval: 818.20, Total Timesteps: 7691640 episode:86 

Rewards Tr: 1521.12, Rewards Val: 1397.02, Rewards Disc: 7.68, Rewards Eval: 925.11, Total Timesteps: 7977160 episode:87 

Rewards Tr: 1336.14, Rewards Val: 1350.20, Rewards Disc: 8.36, Rewards Eval: 1229.49, Total Timesteps: 8236520 episode:88 

Rewards Tr: 1202.16, Rewards Val: 1087.59, Rewards Disc: 12.11, Rewards Eval: 1530.42, Total Timesteps: 8470220 episode:89 

Rewards Tr: 1197.16, Rewards Val: 1327.55, Rewards Disc: 10.50, Rewards Eval: 903.88, Total Timesteps: 8731270 episode:90 

Rewards Tr: 1233.87, Rewards Val: 1225.94, Rewards Disc: 11.71, Rewards Eval: 1354.47, Total Timesteps: 8960430 episode:91 

Rewards Tr: 1720.69, Rewards Val: 1711.46, Rewards Disc: 8.65, Rewards Eval: 1094.73, Total Timesteps: 9287760 episode:92 

Rewards Tr: 911.70, Rewards Val: 937.77, Rewards Disc: 15.91, Rewards Eval: 1656.56, Total Timesteps: 9453740 episode:93 

Rewards Tr: 985.84, Rewards Val: 939.09, Rewards Disc: 17.22, Rewards Eval: 1693.07, Total Timesteps: 9639080 episode:94 

Rewards Tr: 911.79, Rewards Val: 895.83, Rewards Disc: 17.53, Rewards Eval: 1322.80, Total Timesteps: 9805530 episode:95 

Rewards Tr: 534.59, Rewards Val: 541.29, Rewards Disc: 20.68, Rewards Eval: 1236.91, Total Timesteps: 9905400 episode:96 

Rewards Tr: 574.43, Rewards Val: 575.19, Rewards Disc: 20.49, Rewards Eval: 1011.28, Total Timesteps: 10014200 episode:97 

Rewards Tr: 594.32, Rewards Val: 588.09, Rewards Disc: 18.28, Rewards Eval: 1169.27, Total Timesteps: 10124320 episode:98 

Rewards Tr: 629.38, Rewards Val: 633.40, Rewards Disc: 16.47, Rewards Eval: 1490.39, Total Timesteps: 10245690 episode:99 

Rewards Tr: 654.20, Rewards Val: 654.97, Rewards Disc: 13.58, Rewards Eval: 1531.72, Total Timesteps: 10379670 episode:100 

Rewards Tr: 663.17, Rewards Val: 675.65, Rewards Disc: 15.17, Rewards Eval: 1578.52, Total Timesteps: 10518530 episode:101 

Rewards Tr: 690.14, Rewards Val: 697.00, Rewards Disc: 10.05, Rewards Eval: 1357.72, Total Timesteps: 10671150 episode:102 

Rewards Tr: 753.59, Rewards Val: 747.73, Rewards Disc: 12.02, Rewards Eval: 1736.00, Total Timesteps: 10838570 episode:103 

