For Seed: 1 

Rewards Tr: 1006.19, Rewards Disc: 6.75, Rewards Eval: 871.83, Total Timesteps: 4979030 episode:78 

Rewards Tr: 937.33, Rewards Disc: 6.68, Rewards Eval: 1557.65, Total Timesteps: 5106970 episode:79 

Rewards Tr: 999.07, Rewards Disc: 2.04, Rewards Eval: 921.02, Total Timesteps: 5250230 episode:80 

Rewards Tr: 1137.18, Rewards Disc: 1.99, Rewards Eval: 965.07, Total Timesteps: 5423400 episode:81 

Rewards Tr: 1184.47, Rewards Disc: 2.91, Rewards Eval: 1312.05, Total Timesteps: 5596350 episode:82 

Rewards Tr: 930.75, Rewards Disc: 7.85, Rewards Eval: 1259.75, Total Timesteps: 5718650 episode:83 

Rewards Tr: 1107.93, Rewards Disc: 5.14, Rewards Eval: 907.33, Total Timesteps: 5874170 episode:84 

Rewards Tr: 849.97, Rewards Disc: 9.31, Rewards Eval: 1493.79, Total Timesteps: 5985390 episode:85 

Rewards Tr: 1003.15, Rewards Disc: 6.88, Rewards Eval: 827.13, Total Timesteps: 6120390 episode:86 

Rewards Tr: 1029.49, Rewards Disc: 5.39, Rewards Eval: 1285.77, Total Timesteps: 6273960 episode:87 

Rewards Tr: 1048.04, Rewards Disc: 4.83, Rewards Eval: 1120.03, Total Timesteps: 6422510 episode:88 

Rewards Tr: 1002.88, Rewards Disc: 6.76, Rewards Eval: 1294.83, Total Timesteps: 6553560 episode:89 

Rewards Tr: 929.37, Rewards Disc: 6.81, Rewards Eval: 1268.83, Total Timesteps: 6668040 episode:90 

Rewards Tr: 953.78, Rewards Disc: 6.02, Rewards Eval: 1454.05, Total Timesteps: 6806210 episode:91 

Rewards Tr: 1174.31, Rewards Disc: 4.31, Rewards Eval: 1563.55, Total Timesteps: 6974780 episode:92 

Rewards Tr: 1018.79, Rewards Disc: 7.22, Rewards Eval: 1449.23, Total Timesteps: 7113350 episode:93 

Rewards Tr: 1003.27, Rewards Disc: 5.29, Rewards Eval: 1254.12, Total Timesteps: 7254250 episode:94 

Rewards Tr: 972.89, Rewards Disc: 4.90, Rewards Eval: 1359.60, Total Timesteps: 7381610 episode:95 

Rewards Tr: 1088.48, Rewards Disc: 5.08, Rewards Eval: 1607.57, Total Timesteps: 7526600 episode:96 

Rewards Tr: 1000.57, Rewards Disc: 7.26, Rewards Eval: 1395.45, Total Timesteps: 7656240 episode:97 

Rewards Tr: 942.62, Rewards Disc: 7.86, Rewards Eval: 1834.68, Total Timesteps: 7800160 episode:98 

Rewards Tr: 1170.82, Rewards Disc: 5.48, Rewards Eval: 1293.78, Total Timesteps: 7966110 episode:99 

Rewards Tr: 1055.10, Rewards Disc: 5.24, Rewards Eval: 1610.45, Total Timesteps: 8109610 episode:100 

Rewards Tr: 1142.20, Rewards Disc: 5.10, Rewards Eval: 981.30, Total Timesteps: 8269240 episode:101 

Rewards Tr: 1072.98, Rewards Disc: 6.55, Rewards Eval: 1798.29, Total Timesteps: 8418900 episode:102 

Rewards Tr: 1128.80, Rewards Disc: 6.49, Rewards Eval: 1958.14, Total Timesteps: 8570640 episode:103 

Rewards Tr: 1061.95, Rewards Disc: 7.01, Rewards Eval: 1097.60, Total Timesteps: 8709900 episode:104 

Rewards Tr: 1096.12, Rewards Disc: 6.67, Rewards Eval: 1484.75, Total Timesteps: 8867500 episode:105 

Rewards Tr: 1205.36, Rewards Disc: 4.87, Rewards Eval: 1550.50, Total Timesteps: 9044250 episode:106 

Rewards Tr: 1150.89, Rewards Disc: 5.05, Rewards Eval: 1468.56, Total Timesteps: 9200820 episode:107 

Rewards Tr: 991.43, Rewards Disc: 7.73, Rewards Eval: 1385.20, Total Timesteps: 9336310 episode:108 

Rewards Tr: 954.72, Rewards Disc: 7.30, Rewards Eval: 1286.80, Total Timesteps: 9464980 episode:109 

Rewards Tr: 1060.68, Rewards Disc: 6.17, Rewards Eval: 1149.88, Total Timesteps: 9604560 episode:110 

Rewards Tr: 1162.56, Rewards Disc: 7.26, Rewards Eval: 1456.92, Total Timesteps: 9762020 episode:111 

Rewards Tr: 1175.47, Rewards Disc: 7.55, Rewards Eval: 1590.00, Total Timesteps: 9925190 episode:112 

Rewards Tr: 1195.24, Rewards Disc: 6.42, Rewards Eval: 1558.88, Total Timesteps: 10086680 episode:113 

Rewards Tr: 1028.67, Rewards Disc: 8.06, Rewards Eval: 1561.16, Total Timesteps: 10219770 episode:114 

Rewards Tr: 1069.16, Rewards Disc: 7.65, Rewards Eval: 1706.88, Total Timesteps: 10371750 episode:115 

Rewards Tr: 1298.92, Rewards Disc: 5.84, Rewards Eval: 1197.68, Total Timesteps: 10554330 episode:116 

Rewards Tr: 1201.87, Rewards Disc: 7.65, Rewards Eval: 1512.72, Total Timesteps: 10712850 episode:117 

Rewards Tr: 1157.36, Rewards Disc: 7.17, Rewards Eval: 1083.91, Total Timesteps: 10876070 episode:118 

Rewards Tr: 1105.77, Rewards Disc: 6.54, Rewards Eval: 1051.83, Total Timesteps: 11034470 episode:119 

Rewards Tr: 1157.15, Rewards Disc: 6.45, Rewards Eval: 1397.91, Total Timesteps: 11188700 episode:120 

Rewards Tr: 1131.71, Rewards Disc: 6.53, Rewards Eval: 1401.03, Total Timesteps: 11347410 episode:121 

Rewards Tr: 965.53, Rewards Disc: 8.15, Rewards Eval: 1709.65, Total Timesteps: 11486890 episode:122 

