For Seed: 1 

Rewards Tr: 975.04, Rewards Disc: 0.94, Rewards Eval: 887.55, Total Timesteps: 9243900 episode:158 

Rewards Tr: 947.69, Rewards Disc: 1.96, Rewards Eval: 1022.83, Total Timesteps: 9333440 episode:159 

Rewards Tr: 953.91, Rewards Disc: 1.75, Rewards Eval: 933.66, Total Timesteps: 9421090 episode:160 

Rewards Tr: 988.98, Rewards Disc: 1.43, Rewards Eval: 811.18, Total Timesteps: 9513220 episode:161 

Rewards Tr: 988.06, Rewards Disc: 1.56, Rewards Eval: 814.28, Total Timesteps: 9605680 episode:162 

Rewards Tr: 972.62, Rewards Disc: 1.68, Rewards Eval: 927.25, Total Timesteps: 9695010 episode:163 

Rewards Tr: 994.96, Rewards Disc: 1.22, Rewards Eval: 730.89, Total Timesteps: 9788100 episode:164 

Rewards Tr: 1019.68, Rewards Disc: 1.51, Rewards Eval: 1031.26, Total Timesteps: 9882010 episode:165 

Rewards Tr: 1018.43, Rewards Disc: 1.50, Rewards Eval: 1053.39, Total Timesteps: 9978080 episode:166 

Rewards Tr: 1017.42, Rewards Disc: 1.05, Rewards Eval: 1062.37, Total Timesteps: 10076600 episode:167 

Rewards Tr: 1014.89, Rewards Disc: 1.46, Rewards Eval: 1118.21, Total Timesteps: 10170800 episode:168 

Rewards Tr: 981.49, Rewards Disc: 1.63, Rewards Eval: 799.89, Total Timesteps: 10263790 episode:169 

Rewards Tr: 1015.90, Rewards Disc: 1.62, Rewards Eval: 771.23, Total Timesteps: 10358160 episode:170 

Rewards Tr: 1009.12, Rewards Disc: 1.65, Rewards Eval: 789.24, Total Timesteps: 10448030 episode:171 

Rewards Tr: 1053.25, Rewards Disc: 0.95, Rewards Eval: 960.74, Total Timesteps: 10551950 episode:172 

Rewards Tr: 1015.32, Rewards Disc: 1.74, Rewards Eval: 1063.07, Total Timesteps: 10640810 episode:173 

Rewards Tr: 999.97, Rewards Disc: 1.62, Rewards Eval: 900.15, Total Timesteps: 10734890 episode:174 

Rewards Tr: 1041.77, Rewards Disc: 1.35, Rewards Eval: 907.43, Total Timesteps: 10838450 episode:175 

Rewards Tr: 1027.29, Rewards Disc: 1.15, Rewards Eval: 889.92, Total Timesteps: 10931440 episode:176 

Rewards Tr: 1048.16, Rewards Disc: 0.92, Rewards Eval: 924.84, Total Timesteps: 11031330 episode:177 

Rewards Tr: 1036.33, Rewards Disc: 1.58, Rewards Eval: 880.84, Total Timesteps: 11127750 episode:178 

Rewards Tr: 1022.31, Rewards Disc: 1.31, Rewards Eval: 969.96, Total Timesteps: 11222820 episode:179 

Rewards Tr: 997.82, Rewards Disc: 1.41, Rewards Eval: 805.07, Total Timesteps: 11314770 episode:180 

Rewards Tr: 1039.19, Rewards Disc: 1.20, Rewards Eval: 1380.38, Total Timesteps: 11407440 episode:181 

Rewards Tr: 1038.48, Rewards Disc: 1.42, Rewards Eval: 908.72, Total Timesteps: 11502140 episode:182 

Rewards Tr: 1039.66, Rewards Disc: 1.08, Rewards Eval: 848.15, Total Timesteps: 11596520 episode:183 

Rewards Tr: 1029.28, Rewards Disc: 0.85, Rewards Eval: 977.53, Total Timesteps: 11693100 episode:184 

Rewards Tr: 1002.49, Rewards Disc: 1.32, Rewards Eval: 786.77, Total Timesteps: 11782000 episode:185 

Rewards Tr: 991.04, Rewards Disc: 1.70, Rewards Eval: 731.16, Total Timesteps: 11873910 episode:186 

Rewards Tr: 971.67, Rewards Disc: 1.44, Rewards Eval: 803.72, Total Timesteps: 11962630 episode:187 

Rewards Tr: 985.48, Rewards Disc: 1.53, Rewards Eval: 844.10, Total Timesteps: 12060260 episode:188 

Rewards Tr: 1006.46, Rewards Disc: 1.48, Rewards Eval: 724.14, Total Timesteps: 12149850 episode:189 

Rewards Tr: 1012.07, Rewards Disc: 1.31, Rewards Eval: 883.61, Total Timesteps: 12243650 episode:190 

Rewards Tr: 1029.46, Rewards Disc: 1.33, Rewards Eval: 804.30, Total Timesteps: 12341540 episode:191 

Rewards Tr: 1035.31, Rewards Disc: 1.29, Rewards Eval: 1012.20, Total Timesteps: 12438710 episode:192 

Rewards Tr: 1059.56, Rewards Disc: 0.81, Rewards Eval: 890.48, Total Timesteps: 12537730 episode:193 

Rewards Tr: 999.56, Rewards Disc: 1.53, Rewards Eval: 875.52, Total Timesteps: 12627430 episode:194 

Rewards Tr: 1059.06, Rewards Disc: 0.85, Rewards Eval: 874.14, Total Timesteps: 12723670 episode:195 

Rewards Tr: 1021.12, Rewards Disc: 1.48, Rewards Eval: 705.69, Total Timesteps: 12814690 episode:196 

Rewards Tr: 1006.48, Rewards Disc: 1.12, Rewards Eval: 959.72, Total Timesteps: 12907920 episode:197 

Rewards Tr: 1028.74, Rewards Disc: 1.27, Rewards Eval: 1002.27, Total Timesteps: 13004640 episode:198 

Rewards Tr: 1023.12, Rewards Disc: 1.18, Rewards Eval: 738.29, Total Timesteps: 13093830 episode:199 

Rewards Tr: 1066.23, Rewards Disc: 1.20, Rewards Eval: 773.53, Total Timesteps: 13193690 episode:200 

Rewards Tr: 1081.39, Rewards Disc: 1.21, Rewards Eval: 740.06, Total Timesteps: 13295620 episode:201 

Rewards Tr: 1035.06, Rewards Disc: 1.36, Rewards Eval: 867.39, Total Timesteps: 13386660 episode:202 

Rewards Tr: 1074.89, Rewards Disc: 0.98, Rewards Eval: 825.47, Total Timesteps: 13487330 episode:203 

Rewards Tr: 1037.12, Rewards Disc: 1.18, Rewards Eval: 1062.37, Total Timesteps: 13587390 episode:204 

Rewards Tr: 1036.59, Rewards Disc: 1.20, Rewards Eval: 813.67, Total Timesteps: 13681750 episode:205 

Rewards Tr: 1073.23, Rewards Disc: 0.82, Rewards Eval: 776.04, Total Timesteps: 13782830 episode:206 

