
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 903.37, Rewards Val: 901.18, Rewards Eval: 855.84, Total Timesteps: 23991400 episode:83 

Rewards Tr: 898.58, Rewards Val: 917.66, Rewards Eval: 814.48, Total Timesteps: 24591400 episode:84 

Rewards Tr: 920.14, Rewards Val: 917.73, Rewards Eval: 935.70, Total Timesteps: 25191400 episode:85 

Rewards Tr: 875.96, Rewards Val: 900.94, Rewards Eval: 906.17, Total Timesteps: 25791400 episode:86 

Rewards Tr: 886.81, Rewards Val: 912.44, Rewards Eval: 965.24, Total Timesteps: 26391400 episode:87 

Rewards Tr: 893.64, Rewards Val: 891.15, Rewards Eval: 980.78, Total Timesteps: 26991400 episode:88 

Rewards Tr: 917.22, Rewards Val: 911.49, Rewards Eval: 1002.11, Total Timesteps: 27591400 episode:89 

Rewards Tr: 935.61, Rewards Val: 939.85, Rewards Eval: 1008.65, Total Timesteps: 28191400 episode:90 

Rewards Tr: 951.46, Rewards Val: 954.93, Rewards Eval: 867.24, Total Timesteps: 28791400 episode:91 

Rewards Tr: 932.79, Rewards Val: 950.87, Rewards Eval: 1009.69, Total Timesteps: 29391400 episode:92 

Rewards Tr: 927.80, Rewards Val: 932.76, Rewards Eval: 1017.20, Total Timesteps: 29991400 episode:93 

Rewards Tr: 927.69, Rewards Val: 935.98, Rewards Eval: 980.44, Total Timesteps: 30591400 episode:94 

Rewards Tr: 926.08, Rewards Val: 926.12, Rewards Eval: 927.76, Total Timesteps: 31191400 episode:95 

Rewards Tr: 912.42, Rewards Val: 901.63, Rewards Eval: 862.39, Total Timesteps: 31791400 episode:96 

Rewards Tr: 919.82, Rewards Val: 916.15, Rewards Eval: 877.14, Total Timesteps: 32391400 episode:97 

Rewards Tr: 931.20, Rewards Val: 935.22, Rewards Eval: 928.59, Total Timesteps: 32991400 episode:98 

Rewards Tr: 956.97, Rewards Val: 940.42, Rewards Eval: 1007.07, Total Timesteps: 33591400 episode:99 

Rewards Tr: 988.56, Rewards Val: 977.24, Rewards Eval: 1011.26, Total Timesteps: 34191400 episode:100 

Rewards Tr: 972.19, Rewards Val: 967.44, Rewards Eval: 1014.87, Total Timesteps: 34791400 episode:101 

Rewards Tr: 964.03, Rewards Val: 957.38, Rewards Eval: 1006.46, Total Timesteps: 35391400 episode:102 

Rewards Tr: 943.19, Rewards Val: 966.05, Rewards Eval: 929.21, Total Timesteps: 35991400 episode:103 

