
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 101 

Rewards Tr: 176.56, Rewards Eval: 165.58, Total Timesteps: 54084550 episode:210 

Rewards Tr: 178.22, Rewards Eval: 162.67, Total Timesteps: 54384550 episode:211 

Rewards Tr: 172.51, Rewards Eval: 177.16, Total Timesteps: 54684550 episode:212 

Rewards Tr: 178.57, Rewards Eval: 162.26, Total Timesteps: 54984550 episode:213 

Rewards Tr: 180.12, Rewards Eval: 171.31, Total Timesteps: 55284550 episode:214 

Rewards Tr: 178.14, Rewards Eval: 196.53, Total Timesteps: 55584550 episode:215 

Rewards Tr: 175.65, Rewards Eval: 181.29, Total Timesteps: 55884550 episode:216 

Rewards Tr: 176.59, Rewards Eval: 129.97, Total Timesteps: 56184550 episode:217 

Rewards Tr: 176.05, Rewards Eval: 167.48, Total Timesteps: 56484550 episode:218 

Rewards Tr: 176.72, Rewards Eval: 158.48, Total Timesteps: 56784550 episode:219 

Rewards Tr: 175.62, Rewards Eval: 172.70, Total Timesteps: 57084550 episode:220 

Rewards Tr: 179.14, Rewards Eval: 181.82, Total Timesteps: 57384550 episode:221 

Rewards Tr: 178.54, Rewards Eval: 185.18, Total Timesteps: 57684550 episode:222 

Rewards Tr: 179.04, Rewards Eval: 187.03, Total Timesteps: 57984550 episode:223 

Rewards Tr: 178.93, Rewards Eval: 182.75, Total Timesteps: 58284550 episode:224 

Rewards Tr: 178.41, Rewards Eval: 181.99, Total Timesteps: 58584550 episode:225 

Rewards Tr: 181.32, Rewards Eval: 169.72, Total Timesteps: 58884550 episode:226 

Rewards Tr: 177.85, Rewards Eval: 192.99, Total Timesteps: 59184550 episode:227 

Rewards Tr: 176.32, Rewards Eval: 174.11, Total Timesteps: 59484550 episode:228 

Rewards Tr: 181.53, Rewards Eval: 176.06, Total Timesteps: 59784550 episode:229 

Rewards Tr: 181.30, Rewards Eval: 181.79, Total Timesteps: 60084550 episode:230 

Rewards Tr: 175.32, Rewards Eval: 151.22, Total Timesteps: 60384550 episode:231 

Rewards Tr: 175.84, Rewards Eval: 167.21, Total Timesteps: 60684550 episode:232 

Rewards Tr: 177.19, Rewards Eval: 159.18, Total Timesteps: 60984550 episode:233 

Rewards Tr: 178.09, Rewards Eval: 181.16, Total Timesteps: 61284550 episode:234 

Rewards Tr: 182.09, Rewards Eval: 169.53, Total Timesteps: 61584550 episode:235 

Rewards Tr: 180.37, Rewards Eval: 194.59, Total Timesteps: 61884550 episode:236 

Rewards Tr: 176.62, Rewards Eval: 166.30, Total Timesteps: 62184550 episode:237 

Rewards Tr: 179.51, Rewards Eval: 181.51, Total Timesteps: 62484550 episode:238 

Rewards Tr: 183.12, Rewards Eval: 195.20, Total Timesteps: 62784550 episode:239 

Rewards Tr: 183.96, Rewards Eval: 162.05, Total Timesteps: 63084550 episode:240 

Rewards Tr: 180.57, Rewards Eval: 160.79, Total Timesteps: 63384550 episode:241 

Rewards Tr: 178.95, Rewards Eval: 177.77, Total Timesteps: 63684550 episode:242 

Rewards Tr: 180.22, Rewards Eval: 195.23, Total Timesteps: 63984550 episode:243 

Rewards Tr: 177.41, Rewards Eval: 173.61, Total Timesteps: 64284550 episode:244 

Rewards Tr: 177.02, Rewards Eval: 175.50, Total Timesteps: 64584550 episode:245 

Rewards Tr: 180.78, Rewards Eval: 198.19, Total Timesteps: 64884550 episode:246 

Rewards Tr: 178.39, Rewards Eval: 193.13, Total Timesteps: 65184550 episode:247 

Rewards Tr: 178.66, Rewards Eval: 179.19, Total Timesteps: 65484550 episode:248 

