For Seed: 1 

Rewards Tr: 145.32, Rewards Eval: 152.89, Total Timesteps: 21563920 episode:126 

Rewards Tr: 151.54, Rewards Eval: 154.19, Total Timesteps: 21763920 episode:127 

Rewards Tr: 147.66, Rewards Eval: 158.84, Total Timesteps: 21963920 episode:128 

Rewards Tr: 150.20, Rewards Eval: 143.77, Total Timesteps: 22163920 episode:129 

Rewards Tr: 153.79, Rewards Eval: 141.42, Total Timesteps: 22363920 episode:130 

Rewards Tr: 153.36, Rewards Eval: 139.18, Total Timesteps: 22563920 episode:131 

Rewards Tr: 155.62, Rewards Eval: 140.44, Total Timesteps: 22763920 episode:132 

Rewards Tr: 154.96, Rewards Eval: 160.82, Total Timesteps: 22963920 episode:133 

Rewards Tr: 157.80, Rewards Eval: 127.90, Total Timesteps: 23163920 episode:134 

Rewards Tr: 154.02, Rewards Eval: 133.20, Total Timesteps: 23363920 episode:135 

Rewards Tr: 160.34, Rewards Eval: 175.02, Total Timesteps: 23563920 episode:136 

Rewards Tr: 158.34, Rewards Eval: 152.93, Total Timesteps: 23763920 episode:137 

Rewards Tr: 158.90, Rewards Eval: 162.84, Total Timesteps: 23963920 episode:138 

Rewards Tr: 167.22, Rewards Eval: 165.51, Total Timesteps: 24163920 episode:139 

Rewards Tr: 158.66, Rewards Eval: 143.74, Total Timesteps: 24363920 episode:140 

Rewards Tr: 159.42, Rewards Eval: 172.32, Total Timesteps: 24563920 episode:141 

Rewards Tr: 161.87, Rewards Eval: 160.94, Total Timesteps: 24763920 episode:142 

Rewards Tr: 163.37, Rewards Eval: 135.95, Total Timesteps: 24963920 episode:143 

Rewards Tr: 158.94, Rewards Eval: 171.19, Total Timesteps: 25163920 episode:144 

Rewards Tr: 162.20, Rewards Eval: 137.24, Total Timesteps: 25363920 episode:145 

Rewards Tr: 160.48, Rewards Eval: 156.56, Total Timesteps: 25563920 episode:146 

Rewards Tr: 163.66, Rewards Eval: 161.48, Total Timesteps: 25763920 episode:147 

Rewards Tr: 165.21, Rewards Eval: 135.98, Total Timesteps: 25963920 episode:148 

Rewards Tr: 168.59, Rewards Eval: 134.65, Total Timesteps: 26163920 episode:149 

Rewards Tr: 166.47, Rewards Eval: 159.57, Total Timesteps: 26363920 episode:150 

Rewards Tr: 165.34, Rewards Eval: 177.91, Total Timesteps: 26563920 episode:151 

Rewards Tr: 167.62, Rewards Eval: 192.74, Total Timesteps: 26763920 episode:152 

Rewards Tr: 166.73, Rewards Eval: 161.19, Total Timesteps: 26963920 episode:153 

Rewards Tr: 168.25, Rewards Eval: 176.27, Total Timesteps: 27163920 episode:154 

Rewards Tr: 169.66, Rewards Eval: 145.78, Total Timesteps: 27363920 episode:155 

Rewards Tr: 171.24, Rewards Eval: 142.86, Total Timesteps: 27563920 episode:156 

Rewards Tr: 166.17, Rewards Eval: 185.53, Total Timesteps: 27763920 episode:157 

Rewards Tr: 166.77, Rewards Eval: 154.70, Total Timesteps: 27963920 episode:158 

Rewards Tr: 166.41, Rewards Eval: 172.86, Total Timesteps: 28163920 episode:159 

Rewards Tr: 167.34, Rewards Eval: 186.79, Total Timesteps: 28363920 episode:160 

Rewards Tr: 168.30, Rewards Eval: 162.93, Total Timesteps: 28563920 episode:161 

