For Seed: 1 

Rewards Tr: 36.00, Rewards Val: 39.29, Rewards Eval: 37.62, Total Timesteps: 27691710 episode:89 

Rewards Tr: 37.54, Rewards Val: 41.35, Rewards Eval: 28.01, Total Timesteps: 28091710 episode:90 

Rewards Tr: 41.83, Rewards Val: 46.77, Rewards Eval: 54.41, Total Timesteps: 28491710 episode:91 

Rewards Tr: 46.77, Rewards Val: 45.87, Rewards Eval: 58.79, Total Timesteps: 28891710 episode:92 

Rewards Tr: 47.86, Rewards Val: 46.33, Rewards Eval: 51.69, Total Timesteps: 29291710 episode:93 

Rewards Tr: 48.40, Rewards Val: 50.10, Rewards Eval: 76.35, Total Timesteps: 29691710 episode:94 

Rewards Tr: 54.27, Rewards Val: 50.73, Rewards Eval: 68.20, Total Timesteps: 30091710 episode:95 

Rewards Tr: 51.33, Rewards Val: 52.73, Rewards Eval: 52.49, Total Timesteps: 30491710 episode:96 

Rewards Tr: 58.94, Rewards Val: 58.64, Rewards Eval: 44.60, Total Timesteps: 30891710 episode:97 

Rewards Tr: 54.49, Rewards Val: 61.54, Rewards Eval: 65.31, Total Timesteps: 31291710 episode:98 

Rewards Tr: 56.72, Rewards Val: 61.02, Rewards Eval: 51.77, Total Timesteps: 31691710 episode:99 

Rewards Tr: 64.57, Rewards Val: 69.81, Rewards Eval: 46.92, Total Timesteps: 32091710 episode:100 

Rewards Tr: 67.97, Rewards Val: 63.83, Rewards Eval: 55.75, Total Timesteps: 32491710 episode:101 

Rewards Tr: 69.10, Rewards Val: 68.40, Rewards Eval: 73.65, Total Timesteps: 32891710 episode:102 

Rewards Tr: 71.34, Rewards Val: 69.79, Rewards Eval: 56.21, Total Timesteps: 33291710 episode:103 

Rewards Tr: 74.11, Rewards Val: 77.69, Rewards Eval: 72.24, Total Timesteps: 33691710 episode:104 

Rewards Tr: 77.72, Rewards Val: 76.80, Rewards Eval: 64.62, Total Timesteps: 34091710 episode:105 

Rewards Tr: 81.02, Rewards Val: 79.55, Rewards Eval: 58.54, Total Timesteps: 34491710 episode:106 

Rewards Tr: 85.29, Rewards Val: 86.72, Rewards Eval: 52.12, Total Timesteps: 34891710 episode:107 

Rewards Tr: 90.18, Rewards Val: 90.61, Rewards Eval: 79.38, Total Timesteps: 35291710 episode:108 

Rewards Tr: 92.75, Rewards Val: 97.37, Rewards Eval: 65.05, Total Timesteps: 35691710 episode:109 

Rewards Tr: 95.95, Rewards Val: 98.41, Rewards Eval: 94.56, Total Timesteps: 36091710 episode:110 

Rewards Tr: 100.21, Rewards Val: 105.70, Rewards Eval: 92.80, Total Timesteps: 36491710 episode:111 

Rewards Tr: 103.96, Rewards Val: 104.65, Rewards Eval: 84.98, Total Timesteps: 36891710 episode:112 

Rewards Tr: 111.30, Rewards Val: 108.61, Rewards Eval: 105.34, Total Timesteps: 37291710 episode:113 

Rewards Tr: 112.52, Rewards Val: 113.94, Rewards Eval: 88.86, Total Timesteps: 37691710 episode:114 

Rewards Tr: 116.50, Rewards Val: 113.43, Rewards Eval: 91.20, Total Timesteps: 38091710 episode:115 

Rewards Tr: 123.91, Rewards Val: 120.39, Rewards Eval: 82.52, Total Timesteps: 38491710 episode:116 

Rewards Tr: 124.41, Rewards Val: 122.45, Rewards Eval: 98.04, Total Timesteps: 38891710 episode:117 

Rewards Tr: 120.79, Rewards Val: 124.67, Rewards Eval: 94.98, Total Timesteps: 39291710 episode:118 

Rewards Tr: 122.23, Rewards Val: 126.88, Rewards Eval: 108.70, Total Timesteps: 39691710 episode:119 

Rewards Tr: 129.28, Rewards Val: 127.33, Rewards Eval: 136.02, Total Timesteps: 40091710 episode:120 

Rewards Tr: 132.46, Rewards Val: 127.57, Rewards Eval: 99.37, Total Timesteps: 40491710 episode:121 

