For Seed: 102 

Rewards Tr: 17.42, Rewards Disc: 1.13, Rewards Eval: 7.55, Total Timesteps: 14527910 episode:75 

Rewards Tr: 17.67, Rewards Disc: 1.12, Rewards Eval: 8.66, Total Timesteps: 14827910 episode:76 

Rewards Tr: 18.20, Rewards Disc: 1.12, Rewards Eval: 9.71, Total Timesteps: 15127910 episode:77 

Rewards Tr: 20.28, Rewards Disc: 1.10, Rewards Eval: 18.10, Total Timesteps: 15427910 episode:78 

Rewards Tr: 17.89, Rewards Disc: 1.12, Rewards Eval: 30.16, Total Timesteps: 15727910 episode:79 

Rewards Tr: 24.87, Rewards Disc: 1.05, Rewards Eval: 27.04, Total Timesteps: 16027910 episode:80 

Rewards Tr: 26.11, Rewards Disc: 1.04, Rewards Eval: 25.93, Total Timesteps: 16327910 episode:81 

Rewards Tr: 31.36, Rewards Disc: 0.99, Rewards Eval: 25.00, Total Timesteps: 16627910 episode:82 

Rewards Tr: 29.82, Rewards Disc: 1.00, Rewards Eval: 37.07, Total Timesteps: 16927910 episode:83 

Rewards Tr: 32.33, Rewards Disc: 0.98, Rewards Eval: 27.18, Total Timesteps: 17227910 episode:84 

Rewards Tr: 32.94, Rewards Disc: 0.97, Rewards Eval: 22.02, Total Timesteps: 17527910 episode:85 

Rewards Tr: 33.92, Rewards Disc: 0.96, Rewards Eval: 34.87, Total Timesteps: 17827910 episode:86 

Rewards Tr: 35.79, Rewards Disc: 0.94, Rewards Eval: 18.29, Total Timesteps: 18127910 episode:87 

Rewards Tr: 37.87, Rewards Disc: 0.92, Rewards Eval: 33.42, Total Timesteps: 18427910 episode:88 

Rewards Tr: 38.52, Rewards Disc: 0.91, Rewards Eval: 12.89, Total Timesteps: 18727910 episode:89 

Rewards Tr: 45.72, Rewards Disc: 0.84, Rewards Eval: 12.45, Total Timesteps: 19027910 episode:90 

Rewards Tr: 43.97, Rewards Disc: 0.86, Rewards Eval: 45.85, Total Timesteps: 19327910 episode:91 

Rewards Tr: 46.95, Rewards Disc: 0.83, Rewards Eval: 54.59, Total Timesteps: 19627910 episode:92 

Rewards Tr: 46.39, Rewards Disc: 0.84, Rewards Eval: 39.98, Total Timesteps: 19927910 episode:93 

Rewards Tr: 55.30, Rewards Disc: 0.75, Rewards Eval: 45.61, Total Timesteps: 20227910 episode:94 

Rewards Tr: 59.19, Rewards Disc: 0.71, Rewards Eval: 63.78, Total Timesteps: 20527910 episode:95 

Rewards Tr: 62.68, Rewards Disc: 0.67, Rewards Eval: 33.04, Total Timesteps: 20827910 episode:96 

Rewards Tr: 64.94, Rewards Disc: 0.65, Rewards Eval: 64.62, Total Timesteps: 21127910 episode:97 

Rewards Tr: 68.07, Rewards Disc: 0.62, Rewards Eval: 78.09, Total Timesteps: 21427910 episode:98 

Rewards Tr: 76.31, Rewards Disc: 0.54, Rewards Eval: 64.87, Total Timesteps: 21727910 episode:99 

Rewards Tr: 80.02, Rewards Disc: 0.50, Rewards Eval: 66.04, Total Timesteps: 22027910 episode:100 

Rewards Tr: 83.14, Rewards Disc: 0.47, Rewards Eval: 75.88, Total Timesteps: 22327910 episode:101 

Rewards Tr: 87.89, Rewards Disc: 0.42, Rewards Eval: 70.33, Total Timesteps: 22627910 episode:102 

Rewards Tr: 93.47, Rewards Disc: 0.37, Rewards Eval: 94.09, Total Timesteps: 22927910 episode:103 

Rewards Tr: 97.06, Rewards Disc: 0.33, Rewards Eval: 95.09, Total Timesteps: 23227910 episode:104 

Rewards Tr: 103.50, Rewards Disc: 0.26, Rewards Eval: 82.31, Total Timesteps: 23527910 episode:105 

Rewards Tr: 107.10, Rewards Disc: 0.23, Rewards Eval: 115.58, Total Timesteps: 23827910 episode:106 

Rewards Tr: 112.30, Rewards Disc: 0.18, Rewards Eval: 92.19, Total Timesteps: 24127910 episode:107 

Rewards Tr: 94.23, Rewards Disc: 0.36, Rewards Eval: 77.21, Total Timesteps: 24427910 episode:108 

Rewards Tr: 95.16, Rewards Disc: 0.35, Rewards Eval: 101.89, Total Timesteps: 24727910 episode:109 

Rewards Tr: 95.95, Rewards Disc: 0.34, Rewards Eval: 81.10, Total Timesteps: 25027910 episode:110 

Rewards Tr: 100.39, Rewards Disc: 0.30, Rewards Eval: 92.15, Total Timesteps: 25327910 episode:111 

Rewards Tr: 96.64, Rewards Disc: 0.33, Rewards Eval: 89.41, Total Timesteps: 25627910 episode:112 

Rewards Tr: 109.70, Rewards Disc: 0.20, Rewards Eval: 90.72, Total Timesteps: 25927910 episode:113 

Rewards Tr: 111.83, Rewards Disc: 0.18, Rewards Eval: 82.82, Total Timesteps: 26227910 episode:114 

Rewards Tr: 119.36, Rewards Disc: 0.11, Rewards Eval: 123.55, Total Timesteps: 26527910 episode:115 

Rewards Tr: 107.76, Rewards Disc: 0.22, Rewards Eval: 112.16, Total Timesteps: 26827910 episode:116 

Rewards Tr: 129.31, Rewards Disc: 0.01, Rewards Eval: 133.62, Total Timesteps: 27127910 episode:117 

Rewards Tr: 117.74, Rewards Disc: 0.12, Rewards Eval: 111.59, Total Timesteps: 27427910 episode:118 

Rewards Tr: 120.25, Rewards Disc: 0.10, Rewards Eval: 114.19, Total Timesteps: 27727910 episode:119 

Rewards Tr: 124.58, Rewards Disc: 0.05, Rewards Eval: 117.64, Total Timesteps: 28027910 episode:120 

Rewards Tr: 108.77, Rewards Disc: 0.21, Rewards Eval: 117.12, Total Timesteps: 28327910 episode:121 

Rewards Tr: 112.01, Rewards Disc: 0.18, Rewards Eval: 133.28, Total Timesteps: 28627910 episode:122 

Rewards Tr: 97.78, Rewards Disc: 0.32, Rewards Eval: 121.63, Total Timesteps: 28927910 episode:123 

