
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 10.55, Rewards Eval: 0.00, Total Timesteps: 9130 episode:0 
Rewards Tr: 353.77, Rewards Eval: 305.12, Total Timesteps: 11813110 episode:147 

Rewards Tr: 369.62, Rewards Eval: 320.61, Total Timesteps: 11895480 episode:148 

Rewards Tr: 416.81, Rewards Eval: 328.16, Total Timesteps: 11991090 episode:149 

Rewards Tr: 453.91, Rewards Eval: 503.26, Total Timesteps: 12118080 episode:150 

Rewards Tr: 498.11, Rewards Eval: 527.06, Total Timesteps: 12260580 episode:151 

Rewards Tr: 532.99, Rewards Eval: 347.79, Total Timesteps: 12432320 episode:152 

Rewards Tr: 524.91, Rewards Eval: 463.36, Total Timesteps: 12600780 episode:153 

Rewards Tr: 539.78, Rewards Eval: 431.02, Total Timesteps: 12762480 episode:154 

Rewards Tr: 571.08, Rewards Eval: 322.90, Total Timesteps: 12934420 episode:155 

Rewards Tr: 581.31, Rewards Eval: 336.87, Total Timesteps: 13086020 episode:156 

Rewards Tr: 526.22, Rewards Eval: 345.83, Total Timesteps: 13208220 episode:157 

Rewards Tr: 509.10, Rewards Eval: 478.27, Total Timesteps: 13316220 episode:158 

Rewards Tr: 534.20, Rewards Eval: 359.86, Total Timesteps: 13429620 episode:159 

Rewards Tr: 587.69, Rewards Eval: 505.21, Total Timesteps: 13572500 episode:160 

Rewards Tr: 686.40, Rewards Eval: 494.29, Total Timesteps: 13763000 episode:161 

Rewards Tr: 683.61, Rewards Eval: 640.53, Total Timesteps: 13947610 episode:162 

Rewards Tr: 641.55, Rewards Eval: 420.44, Total Timesteps: 14123100 episode:163 

Rewards Tr: 724.22, Rewards Eval: 410.47, Total Timesteps: 14320790 episode:164 

Rewards Tr: 689.02, Rewards Eval: 342.70, Total Timesteps: 14493530 episode:165 

Rewards Tr: 700.62, Rewards Eval: 379.55, Total Timesteps: 14656110 episode:166 

Rewards Tr: 631.51, Rewards Eval: 397.10, Total Timesteps: 14777280 episode:167 

Rewards Tr: 607.46, Rewards Eval: 417.73, Total Timesteps: 14902400 episode:168 

Rewards Tr: 620.55, Rewards Eval: 516.21, Total Timesteps: 15035230 episode:169 

Rewards Tr: 721.63, Rewards Eval: 504.63, Total Timesteps: 15168240 episode:170 

Rewards Tr: 754.95, Rewards Eval: 365.08, Total Timesteps: 15349780 episode:171 

Rewards Tr: 925.29, Rewards Eval: 394.84, Total Timesteps: 15567160 episode:172 

Rewards Tr: 864.07, Rewards Eval: 642.32, Total Timesteps: 15771400 episode:173 

Rewards Tr: 880.58, Rewards Eval: 453.36, Total Timesteps: 15964800 episode:174 

Rewards Tr: 899.92, Rewards Eval: 360.16, Total Timesteps: 16152270 episode:175 

Rewards Tr: 857.93, Rewards Eval: 402.74, Total Timesteps: 16326340 episode:176 

Rewards Tr: 837.99, Rewards Eval: 449.81, Total Timesteps: 16498740 episode:177 

Rewards Tr: 810.86, Rewards Eval: 683.43, Total Timesteps: 16647530 episode:178 

Rewards Tr: 816.78, Rewards Eval: 517.24, Total Timesteps: 16804760 episode:179 

Rewards Tr: 890.56, Rewards Eval: 586.30, Total Timesteps: 16973520 episode:180 

Rewards Tr: 903.95, Rewards Eval: 632.93, Total Timesteps: 17166860 episode:181 

