For Seed: 103 

Rewards Tr: 85.38, Rewards Val: 82.95, Rewards Eval: 113.03, Total Timesteps: 42700690 episode:106 

Rewards Tr: 91.07, Rewards Val: 86.27, Rewards Eval: 75.20, Total Timesteps: 43250820 episode:107 

Rewards Tr: 95.23, Rewards Val: 93.56, Rewards Eval: 113.47, Total Timesteps: 43819260 episode:108 

Rewards Tr: 84.73, Rewards Val: 86.25, Rewards Eval: 106.79, Total Timesteps: 44328050 episode:109 

Rewards Tr: 92.98, Rewards Val: 95.01, Rewards Eval: 125.42, Total Timesteps: 44870070 episode:110 

Rewards Tr: 112.74, Rewards Val: 109.94, Rewards Eval: 106.90, Total Timesteps: 45461940 episode:111 

Rewards Tr: 111.26, Rewards Val: 110.72, Rewards Eval: 136.05, Total Timesteps: 46045250 episode:112 

Rewards Tr: 112.47, Rewards Val: 111.62, Rewards Eval: 95.53, Total Timesteps: 46595350 episode:113 

Rewards Tr: 114.26, Rewards Val: 113.42, Rewards Eval: 101.35, Total Timesteps: 47145970 episode:114 

Rewards Tr: 124.00, Rewards Val: 119.66, Rewards Eval: 123.87, Total Timesteps: 47720840 episode:115 

Rewards Tr: 114.09, Rewards Val: 116.85, Rewards Eval: 128.43, Total Timesteps: 48254230 episode:116 

Rewards Tr: 107.95, Rewards Val: 109.74, Rewards Eval: 143.78, Total Timesteps: 48771330 episode:117 

Rewards Tr: 126.02, Rewards Val: 126.45, Rewards Eval: 127.75, Total Timesteps: 49325820 episode:118 

Rewards Tr: 132.81, Rewards Val: 133.94, Rewards Eval: 118.73, Total Timesteps: 49892720 episode:119 

Rewards Tr: 133.10, Rewards Val: 127.37, Rewards Eval: 85.68, Total Timesteps: 50442190 episode:120 

Rewards Tr: 124.45, Rewards Val: 125.25, Rewards Eval: 132.26, Total Timesteps: 50975760 episode:121 

Rewards Tr: 112.56, Rewards Val: 110.75, Rewards Eval: 153.85, Total Timesteps: 51442610 episode:122 

Rewards Tr: 135.84, Rewards Val: 135.60, Rewards Eval: 86.00, Total Timesteps: 52025960 episode:123 

Rewards Tr: 123.08, Rewards Val: 125.73, Rewards Eval: 174.28, Total Timesteps: 52564540 episode:124 

Rewards Tr: 140.09, Rewards Val: 143.28, Rewards Eval: 135.87, Total Timesteps: 53156430 episode:125 

Rewards Tr: 130.34, Rewards Val: 125.68, Rewards Eval: 157.64, Total Timesteps: 53683450 episode:126 

Rewards Tr: 129.00, Rewards Val: 130.79, Rewards Eval: 165.13, Total Timesteps: 54255300 episode:127 

Rewards Tr: 133.35, Rewards Val: 134.65, Rewards Eval: 152.76, Total Timesteps: 54830430 episode:128 

Rewards Tr: 132.43, Rewards Val: 131.65, Rewards Eval: 108.72, Total Timesteps: 55406000 episode:129 

Rewards Tr: 138.99, Rewards Val: 139.25, Rewards Eval: 176.04, Total Timesteps: 55981540 episode:130 

Rewards Tr: 133.52, Rewards Val: 135.23, Rewards Eval: 143.70, Total Timesteps: 56540510 episode:131 

Rewards Tr: 141.72, Rewards Val: 143.13, Rewards Eval: 177.23, Total Timesteps: 57116390 episode:132 

Rewards Tr: 135.62, Rewards Val: 133.73, Rewards Eval: 173.34, Total Timesteps: 57667950 episode:133 

Rewards Tr: 138.24, Rewards Val: 143.19, Rewards Eval: 151.06, Total Timesteps: 58243710 episode:134 

Rewards Tr: 140.85, Rewards Val: 143.31, Rewards Eval: 155.36, Total Timesteps: 58819620 episode:135 

Rewards Tr: 136.10, Rewards Val: 140.45, Rewards Eval: 156.96, Total Timesteps: 59386610 episode:136 

Rewards Tr: 129.96, Rewards Val: 128.64, Rewards Eval: 152.22, Total Timesteps: 59929900 episode:137 

Rewards Tr: 149.14, Rewards Val: 153.36, Rewards Eval: 133.11, Total Timesteps: 60529900 episode:138 

Rewards Tr: 133.99, Rewards Val: 132.47, Rewards Eval: 172.81, Total Timesteps: 61105690 episode:139 

Rewards Tr: 141.15, Rewards Val: 145.49, Rewards Eval: 97.97, Total Timesteps: 61705690 episode:140 

Rewards Tr: 136.34, Rewards Val: 129.18, Rewards Eval: 135.34, Total Timesteps: 62231700 episode:141 

Rewards Tr: 148.89, Rewards Val: 144.65, Rewards Eval: 170.23, Total Timesteps: 62831700 episode:142 

Rewards Tr: 143.73, Rewards Val: 144.57, Rewards Eval: 148.85, Total Timesteps: 63431700 episode:143 

Rewards Tr: 140.11, Rewards Val: 145.08, Rewards Eval: 188.12, Total Timesteps: 63998600 episode:144 

Rewards Tr: 147.60, Rewards Val: 146.30, Rewards Eval: 151.59, Total Timesteps: 64586280 episode:145 

Rewards Tr: 144.70, Rewards Val: 152.23, Rewards Eval: 151.26, Total Timesteps: 65178350 episode:146 

Rewards Tr: 149.99, Rewards Val: 145.11, Rewards Eval: 139.91, Total Timesteps: 65770440 episode:147 

Rewards Tr: 150.58, Rewards Val: 148.22, Rewards Eval: 157.36, Total Timesteps: 66370440 episode:148 

Rewards Tr: 149.97, Rewards Val: 154.08, Rewards Eval: 142.88, Total Timesteps: 66954430 episode:149 

Rewards Tr: 158.93, Rewards Val: 153.86, Rewards Eval: 157.24, Total Timesteps: 67554430 episode:150 

Rewards Tr: 160.65, Rewards Val: 156.80, Rewards Eval: 203.60, Total Timesteps: 68154430 episode:151 

Rewards Tr: 143.95, Rewards Val: 150.23, Rewards Eval: 151.70, Total Timesteps: 68722880 episode:152 

Rewards Tr: 158.73, Rewards Val: 156.25, Rewards Eval: 136.61, Total Timesteps: 69322880 episode:153 

Rewards Tr: 144.96, Rewards Val: 143.19, Rewards Eval: 168.99, Total Timesteps: 69899300 episode:154 

Rewards Tr: 152.31, Rewards Val: 153.89, Rewards Eval: 147.58, Total Timesteps: 70491390 episode:155 

Rewards Tr: 152.02, Rewards Val: 151.28, Rewards Eval: 129.77, Total Timesteps: 71074960 episode:156 

Rewards Tr: 161.63, Rewards Val: 161.58, Rewards Eval: 173.37, Total Timesteps: 71674960 episode:157 

Rewards Tr: 157.71, Rewards Val: 157.60, Rewards Eval: 182.86, Total Timesteps: 72274960 episode:158 

Rewards Tr: 152.20, Rewards Val: 155.71, Rewards Eval: 136.43, Total Timesteps: 72850440 episode:159 

Rewards Tr: 152.30, Rewards Val: 150.14, Rewards Eval: 164.38, Total Timesteps: 73450440 episode:160 

Rewards Tr: 151.48, Rewards Val: 156.40, Rewards Eval: 191.60, Total Timesteps: 74025670 episode:161 

Rewards Tr: 150.40, Rewards Val: 144.45, Rewards Eval: 163.37, Total Timesteps: 74601270 episode:162 

Rewards Tr: 154.28, Rewards Val: 155.32, Rewards Eval: 144.14, Total Timesteps: 75193250 episode:163 

Rewards Tr: 148.36, Rewards Val: 147.69, Rewards Eval: 169.10, Total Timesteps: 75751600 episode:164 

Rewards Tr: 155.12, Rewards Val: 159.47, Rewards Eval: 163.47, Total Timesteps: 76318160 episode:165 

Rewards Tr: 153.14, Rewards Val: 150.48, Rewards Eval: 178.48, Total Timesteps: 76893070 episode:166 

Rewards Tr: 159.57, Rewards Val: 157.67, Rewards Eval: 189.09, Total Timesteps: 77484770 episode:167 

Rewards Tr: 154.23, Rewards Val: 157.51, Rewards Eval: 153.84, Total Timesteps: 78084770 episode:168 

Rewards Tr: 166.42, Rewards Val: 166.39, Rewards Eval: 141.15, Total Timesteps: 78684770 episode:169 

Rewards Tr: 162.06, Rewards Val: 157.38, Rewards Eval: 165.01, Total Timesteps: 79268000 episode:170 

Rewards Tr: 166.36, Rewards Val: 168.15, Rewards Eval: 163.51, Total Timesteps: 79868000 episode:171 

Rewards Tr: 149.79, Rewards Val: 155.77, Rewards Eval: 155.65, Total Timesteps: 80451390 episode:172 

Rewards Tr: 154.20, Rewards Val: 158.60, Rewards Eval: 146.30, Total Timesteps: 81034320 episode:173 

Rewards Tr: 158.31, Rewards Val: 160.79, Rewards Eval: 149.93, Total Timesteps: 81626020 episode:174 

Rewards Tr: 158.57, Rewards Val: 158.62, Rewards Eval: 166.41, Total Timesteps: 82210510 episode:175 

Rewards Tr: 157.50, Rewards Val: 161.42, Rewards Eval: 146.61, Total Timesteps: 82810510 episode:176 

Rewards Tr: 155.48, Rewards Val: 161.99, Rewards Eval: 154.96, Total Timesteps: 83410510 episode:177 

Rewards Tr: 165.26, Rewards Val: 161.43, Rewards Eval: 164.01, Total Timesteps: 83993420 episode:178 

Rewards Tr: 147.68, Rewards Val: 152.87, Rewards Eval: 159.23, Total Timesteps: 84551510 episode:179 

Rewards Tr: 152.56, Rewards Val: 155.25, Rewards Eval: 166.86, Total Timesteps: 85126270 episode:180 

Rewards Tr: 161.29, Rewards Val: 162.14, Rewards Eval: 153.91, Total Timesteps: 85726270 episode:181 

Rewards Tr: 163.34, Rewards Val: 166.59, Rewards Eval: 167.08, Total Timesteps: 86326270 episode:182 

Rewards Tr: 149.86, Rewards Val: 152.67, Rewards Eval: 180.87, Total Timesteps: 86909120 episode:183 

Rewards Tr: 155.91, Rewards Val: 154.51, Rewards Eval: 178.69, Total Timesteps: 87466550 episode:184 

Rewards Tr: 163.46, Rewards Val: 162.45, Rewards Eval: 177.01, Total Timesteps: 88066550 episode:185 

Rewards Tr: 165.90, Rewards Val: 166.64, Rewards Eval: 198.00, Total Timesteps: 88649750 episode:186 

Rewards Tr: 168.37, Rewards Val: 166.24, Rewards Eval: 175.39, Total Timesteps: 89233130 episode:187 

Rewards Tr: 164.84, Rewards Val: 168.91, Rewards Eval: 147.56, Total Timesteps: 89816270 episode:188 

Rewards Tr: 145.02, Rewards Val: 139.26, Rewards Eval: 156.96, Total Timesteps: 90356850 episode:189 

Rewards Tr: 172.41, Rewards Val: 168.72, Rewards Eval: 143.15, Total Timesteps: 90956850 episode:190 

Rewards Tr: 159.00, Rewards Val: 157.34, Rewards Eval: 147.13, Total Timesteps: 91548500 episode:191 

Rewards Tr: 172.05, Rewards Val: 171.73, Rewards Eval: 176.56, Total Timesteps: 92148500 episode:192 

Rewards Tr: 156.98, Rewards Val: 156.41, Rewards Eval: 145.80, Total Timesteps: 92740180 episode:193 

Rewards Tr: 163.16, Rewards Val: 168.90, Rewards Eval: 157.24, Total Timesteps: 93340180 episode:194 

Rewards Tr: 150.69, Rewards Val: 152.57, Rewards Eval: 175.16, Total Timesteps: 93881870 episode:195 

Rewards Tr: 155.80, Rewards Val: 157.89, Rewards Eval: 181.21, Total Timesteps: 94465120 episode:196 

Rewards Tr: 166.24, Rewards Val: 162.54, Rewards Eval: 182.79, Total Timesteps: 95065120 episode:197 

Rewards Tr: 162.17, Rewards Val: 160.22, Rewards Eval: 104.38, Total Timesteps: 95665120 episode:198 

Rewards Tr: 160.01, Rewards Val: 159.75, Rewards Eval: 171.22, Total Timesteps: 96257000 episode:199 

Rewards Tr: 155.30, Rewards Val: 155.48, Rewards Eval: 160.45, Total Timesteps: 96857000 episode:200 

Rewards Tr: 159.04, Rewards Val: 164.64, Rewards Eval: 167.94, Total Timesteps: 97440300 episode:201 

Rewards Tr: 166.29, Rewards Val: 161.61, Rewards Eval: 166.18, Total Timesteps: 98040300 episode:202 

Rewards Tr: 155.81, Rewards Val: 157.70, Rewards Eval: 165.97, Total Timesteps: 98615160 episode:203 

Rewards Tr: 168.10, Rewards Val: 163.87, Rewards Eval: 173.39, Total Timesteps: 99215160 episode:204 

Rewards Tr: 155.78, Rewards Val: 151.85, Rewards Eval: 188.73, Total Timesteps: 99798300 episode:205 

Rewards Tr: 157.23, Rewards Val: 155.39, Rewards Eval: 172.01, Total Timesteps: 100364780 episode:206 

Rewards Tr: 160.70, Rewards Val: 160.28, Rewards Eval: 126.24, Total Timesteps: 100948100 episode:207 

Rewards Tr: 156.26, Rewards Val: 158.22, Rewards Eval: 179.04, Total Timesteps: 101539630 episode:208 

Rewards Tr: 155.59, Rewards Val: 151.42, Rewards Eval: 187.62, Total Timesteps: 102089060 episode:209 

Rewards Tr: 165.34, Rewards Val: 167.47, Rewards Eval: 168.51, Total Timesteps: 102689060 episode:210 

Rewards Tr: 156.57, Rewards Val: 158.59, Rewards Eval: 149.61, Total Timesteps: 103289060 episode:211 

Rewards Tr: 172.49, Rewards Val: 169.64, Rewards Eval: 184.74, Total Timesteps: 103889060 episode:212 

Rewards Tr: 172.88, Rewards Val: 171.26, Rewards Eval: 188.59, Total Timesteps: 104480560 episode:213 

Rewards Tr: 169.51, Rewards Val: 167.27, Rewards Eval: 162.89, Total Timesteps: 105064990 episode:214 

Rewards Tr: 169.95, Rewards Val: 165.50, Rewards Eval: 187.58, Total Timesteps: 105664990 episode:215 

Rewards Tr: 163.97, Rewards Val: 163.20, Rewards Eval: 167.37, Total Timesteps: 106239500 episode:216 

Rewards Tr: 160.06, Rewards Val: 163.64, Rewards Eval: 187.14, Total Timesteps: 106822680 episode:217 

Rewards Tr: 160.36, Rewards Val: 159.91, Rewards Eval: 178.01, Total Timesteps: 107388670 episode:218 

Rewards Tr: 171.92, Rewards Val: 173.39, Rewards Eval: 217.54, Total Timesteps: 107971680 episode:219 

Rewards Tr: 166.58, Rewards Val: 165.20, Rewards Eval: 139.43, Total Timesteps: 108571680 episode:220 

Rewards Tr: 172.07, Rewards Val: 170.08, Rewards Eval: 201.09, Total Timesteps: 109163240 episode:221 

Rewards Tr: 171.10, Rewards Val: 174.55, Rewards Eval: 159.76, Total Timesteps: 109763240 episode:222 

Rewards Tr: 168.09, Rewards Val: 172.32, Rewards Eval: 180.95, Total Timesteps: 110363240 episode:223 

Rewards Tr: 168.63, Rewards Val: 169.09, Rewards Eval: 148.86, Total Timesteps: 110954780 episode:224 

Rewards Tr: 168.41, Rewards Val: 168.04, Rewards Eval: 181.12, Total Timesteps: 111546180 episode:225 

Rewards Tr: 149.88, Rewards Val: 154.80, Rewards Eval: 175.88, Total Timesteps: 112128940 episode:226 

Rewards Tr: 163.06, Rewards Val: 159.76, Rewards Eval: 172.39, Total Timesteps: 112711990 episode:227 

Rewards Tr: 166.14, Rewards Val: 166.01, Rewards Eval: 174.87, Total Timesteps: 113303330 episode:228 

Rewards Tr: 163.25, Rewards Val: 161.97, Rewards Eval: 174.10, Total Timesteps: 113877780 episode:229 

Rewards Tr: 168.30, Rewards Val: 172.43, Rewards Eval: 170.29, Total Timesteps: 114460760 episode:230 

Rewards Tr: 150.49, Rewards Val: 155.10, Rewards Eval: 162.60, Total Timesteps: 115009360 episode:231 

Rewards Tr: 164.93, Rewards Val: 166.65, Rewards Eval: 177.16, Total Timesteps: 115575460 episode:232 

Rewards Tr: 177.86, Rewards Val: 176.04, Rewards Eval: 180.74, Total Timesteps: 116175460 episode:233 

Rewards Tr: 150.32, Rewards Val: 151.44, Rewards Eval: 179.28, Total Timesteps: 116732960 episode:234 

Rewards Tr: 173.43, Rewards Val: 172.88, Rewards Eval: 180.83, Total Timesteps: 117332960 episode:235 

Rewards Tr: 165.05, Rewards Val: 161.16, Rewards Eval: 167.83, Total Timesteps: 117916040 episode:236 

Rewards Tr: 165.30, Rewards Val: 169.20, Rewards Eval: 148.26, Total Timesteps: 118498810 episode:237 

Rewards Tr: 165.30, Rewards Val: 164.59, Rewards Eval: 163.25, Total Timesteps: 119098810 episode:238 

Rewards Tr: 165.04, Rewards Val: 168.21, Rewards Eval: 163.37, Total Timesteps: 119681810 episode:239 

Rewards Tr: 164.11, Rewards Val: 164.53, Rewards Eval: 200.69, Total Timesteps: 120273200 episode:240 

