
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 11.12, Rewards Eval: 0.00, Total Timesteps: 8290 episode:0 
Rewards Tr: 448.11, Rewards Eval: 434.80, Total Timesteps: 6173960 episode:90 

Rewards Tr: 455.32, Rewards Eval: 430.95, Total Timesteps: 6357860 episode:91 

Rewards Tr: 437.50, Rewards Eval: 373.71, Total Timesteps: 6506770 episode:92 

Rewards Tr: 441.73, Rewards Eval: 411.24, Total Timesteps: 6665740 episode:93 

Rewards Tr: 428.48, Rewards Eval: 360.84, Total Timesteps: 6810120 episode:94 

Rewards Tr: 437.70, Rewards Eval: 403.27, Total Timesteps: 6970680 episode:95 

Rewards Tr: 428.80, Rewards Eval: 397.76, Total Timesteps: 7124570 episode:96 

Rewards Tr: 407.92, Rewards Eval: 457.98, Total Timesteps: 7252590 episode:97 

Rewards Tr: 402.21, Rewards Eval: 335.52, Total Timesteps: 7381120 episode:98 

Rewards Tr: 380.93, Rewards Eval: 343.95, Total Timesteps: 7505630 episode:99 

Rewards Tr: 370.60, Rewards Eval: 321.87, Total Timesteps: 7625880 episode:100 

Rewards Tr: 356.98, Rewards Eval: 315.39, Total Timesteps: 7726930 episode:101 

Rewards Tr: 343.48, Rewards Eval: 337.02, Total Timesteps: 7822250 episode:102 

Rewards Tr: 333.57, Rewards Eval: 334.13, Total Timesteps: 7913140 episode:103 

Rewards Tr: 331.46, Rewards Eval: 309.69, Total Timesteps: 8005570 episode:104 

Rewards Tr: 329.55, Rewards Eval: 296.84, Total Timesteps: 8097460 episode:105 

Rewards Tr: 318.23, Rewards Eval: 293.98, Total Timesteps: 8176350 episode:106 

Rewards Tr: 321.54, Rewards Eval: 284.67, Total Timesteps: 8259910 episode:107 

Rewards Tr: 311.90, Rewards Eval: 297.40, Total Timesteps: 8337260 episode:108 

Rewards Tr: 304.86, Rewards Eval: 300.27, Total Timesteps: 8409840 episode:109 

Rewards Tr: 315.51, Rewards Eval: 295.05, Total Timesteps: 8496990 episode:110 

Rewards Tr: 312.13, Rewards Eval: 321.20, Total Timesteps: 8569470 episode:111 

Rewards Tr: 305.19, Rewards Eval: 314.36, Total Timesteps: 8649490 episode:112 

Rewards Tr: 311.76, Rewards Eval: 254.47, Total Timesteps: 8728580 episode:113 

Rewards Tr: 311.37, Rewards Eval: 294.64, Total Timesteps: 8799620 episode:114 

Rewards Tr: 309.56, Rewards Eval: 338.72, Total Timesteps: 8868770 episode:115 

Rewards Tr: 299.59, Rewards Eval: 266.97, Total Timesteps: 8941580 episode:116 

Rewards Tr: 307.26, Rewards Eval: 360.02, Total Timesteps: 9015230 episode:117 

Rewards Tr: 316.85, Rewards Eval: 327.77, Total Timesteps: 9089820 episode:118 

Rewards Tr: 335.85, Rewards Eval: 275.87, Total Timesteps: 9170530 episode:119 

Rewards Tr: 323.76, Rewards Eval: 295.21, Total Timesteps: 9248790 episode:120 

Rewards Tr: 324.83, Rewards Eval: 343.01, Total Timesteps: 9322820 episode:121 

Rewards Tr: 344.94, Rewards Eval: 300.64, Total Timesteps: 9402580 episode:122 

Rewards Tr: 363.64, Rewards Eval: 354.68, Total Timesteps: 9489440 episode:123 

Rewards Tr: 347.44, Rewards Eval: 372.24, Total Timesteps: 9570020 episode:124 

Rewards Tr: 351.09, Rewards Eval: 301.24, Total Timesteps: 9650420 episode:125 

Rewards Tr: 364.02, Rewards Eval: 329.49, Total Timesteps: 9732390 episode:126 

Rewards Tr: 380.43, Rewards Eval: 448.19, Total Timesteps: 9830300 episode:127 

Rewards Tr: 432.64, Rewards Eval: 445.97, Total Timesteps: 9944070 episode:128 

Rewards Tr: 451.09, Rewards Eval: 386.81, Total Timesteps: 10066930 episode:129 

Rewards Tr: 511.86, Rewards Eval: 970.00, Total Timesteps: 10226740 episode:130 

Rewards Tr: 478.00, Rewards Eval: 369.56, Total Timesteps: 10377770 episode:131 

Rewards Tr: 509.78, Rewards Eval: 525.67, Total Timesteps: 10541930 episode:132 

Rewards Tr: 480.75, Rewards Eval: 407.03, Total Timesteps: 10675090 episode:133 

Rewards Tr: 429.54, Rewards Eval: 466.24, Total Timesteps: 10782480 episode:134 

Rewards Tr: 428.18, Rewards Eval: 499.42, Total Timesteps: 10886000 episode:135 

Rewards Tr: 433.29, Rewards Eval: 518.26, Total Timesteps: 10993100 episode:136 

Rewards Tr: 447.84, Rewards Eval: 479.79, Total Timesteps: 11105540 episode:137 

Rewards Tr: 474.97, Rewards Eval: 427.16, Total Timesteps: 11240010 episode:138 

Rewards Tr: 505.44, Rewards Eval: 576.61, Total Timesteps: 11391080 episode:139 

Rewards Tr: 537.08, Rewards Eval: 412.92, Total Timesteps: 11551890 episode:140 

Rewards Tr: 527.93, Rewards Eval: 436.82, Total Timesteps: 11711340 episode:141 

Rewards Tr: 518.78, Rewards Eval: 475.24, Total Timesteps: 11866480 episode:142 

Rewards Tr: 537.81, Rewards Eval: 642.64, Total Timesteps: 12014420 episode:143 

Rewards Tr: 469.33, Rewards Eval: 806.15, Total Timesteps: 12134270 episode:144 

Rewards Tr: 495.50, Rewards Eval: 667.95, Total Timesteps: 12253890 episode:145 

Rewards Tr: 533.53, Rewards Eval: 419.75, Total Timesteps: 12393360 episode:146 

Rewards Tr: 611.92, Rewards Eval: 539.58, Total Timesteps: 12556780 episode:147 

Rewards Tr: 623.13, Rewards Eval: 763.67, Total Timesteps: 12715740 episode:148 

Rewards Tr: 642.62, Rewards Eval: 495.82, Total Timesteps: 12895710 episode:149 

Rewards Tr: 768.46, Rewards Eval: 422.57, Total Timesteps: 13101460 episode:150 

Rewards Tr: 740.12, Rewards Eval: 534.84, Total Timesteps: 13317030 episode:151 

Rewards Tr: 731.10, Rewards Eval: 849.49, Total Timesteps: 13532940 episode:152 

Rewards Tr: 753.05, Rewards Eval: 715.97, Total Timesteps: 13736840 episode:153 

Rewards Tr: 732.48, Rewards Eval: 1032.24, Total Timesteps: 13929930 episode:154 

Rewards Tr: 681.40, Rewards Eval: 546.18, Total Timesteps: 14110130 episode:155 

Rewards Tr: 629.25, Rewards Eval: 742.08, Total Timesteps: 14261110 episode:156 

Rewards Tr: 635.14, Rewards Eval: 697.14, Total Timesteps: 14404420 episode:157 

Rewards Tr: 638.87, Rewards Eval: 709.21, Total Timesteps: 14546750 episode:158 

Rewards Tr: 615.36, Rewards Eval: 1084.02, Total Timesteps: 14690420 episode:159 

Rewards Tr: 714.01, Rewards Eval: 634.59, Total Timesteps: 14850760 episode:160 

Rewards Tr: 794.07, Rewards Eval: 769.55, Total Timesteps: 15063250 episode:161 

Rewards Tr: 789.19, Rewards Eval: 922.53, Total Timesteps: 15273510 episode:162 

Rewards Tr: 778.62, Rewards Eval: 1330.85, Total Timesteps: 15478200 episode:163 

Rewards Tr: 831.09, Rewards Eval: 983.35, Total Timesteps: 15684230 episode:164 

Rewards Tr: 769.76, Rewards Eval: 599.91, Total Timesteps: 15874400 episode:165 

Rewards Tr: 700.03, Rewards Eval: 527.10, Total Timesteps: 16032130 episode:166 

Rewards Tr: 750.58, Rewards Eval: 913.75, Total Timesteps: 16194370 episode:167 

Rewards Tr: 800.74, Rewards Eval: 1043.22, Total Timesteps: 16387290 episode:168 

Rewards Tr: 834.22, Rewards Eval: 1021.91, Total Timesteps: 16586940 episode:169 

Rewards Tr: 728.80, Rewards Eval: 726.22, Total Timesteps: 16764500 episode:170 

Rewards Tr: 779.47, Rewards Eval: 833.49, Total Timesteps: 16948230 episode:171 

Rewards Tr: 763.58, Rewards Eval: 750.90, Total Timesteps: 17113830 episode:172 

Rewards Tr: 724.97, Rewards Eval: 635.65, Total Timesteps: 17259820 episode:173 

Rewards Tr: 712.38, Rewards Eval: 612.16, Total Timesteps: 17409860 episode:174 

Rewards Tr: 756.80, Rewards Eval: 857.57, Total Timesteps: 17565200 episode:175 

Rewards Tr: 815.77, Rewards Eval: 793.81, Total Timesteps: 17746010 episode:176 

Rewards Tr: 895.83, Rewards Eval: 781.76, Total Timesteps: 17968270 episode:177 

Rewards Tr: 956.60, Rewards Eval: 790.14, Total Timesteps: 18225990 episode:178 

Rewards Tr: 931.19, Rewards Eval: 523.32, Total Timesteps: 18457470 episode:179 

Rewards Tr: 964.55, Rewards Eval: 1041.86, Total Timesteps: 18687830 episode:180 

Rewards Tr: 824.57, Rewards Eval: 750.97, Total Timesteps: 18859120 episode:181 

Rewards Tr: 830.08, Rewards Eval: 929.50, Total Timesteps: 19031990 episode:182 

Rewards Tr: 908.85, Rewards Eval: 749.75, Total Timesteps: 19216070 episode:183 

