For Seed: 1 

Rewards Tr: 52.96, Rewards Disc: -0.08, Rewards Eval: 41.80, Total Timesteps: 12134410 episode:80 

Rewards Tr: 57.34, Rewards Disc: -0.06, Rewards Eval: 48.83, Total Timesteps: 12334410 episode:81 

Rewards Tr: 48.34, Rewards Disc: 0.08, Rewards Eval: 77.24, Total Timesteps: 12534410 episode:82 

Rewards Tr: 55.25, Rewards Disc: 0.03, Rewards Eval: 33.70, Total Timesteps: 12734410 episode:83 

Rewards Tr: 64.03, Rewards Disc: -0.00, Rewards Eval: 39.36, Total Timesteps: 12934410 episode:84 

Rewards Tr: 64.96, Rewards Disc: 0.00, Rewards Eval: 34.83, Total Timesteps: 13134410 episode:85 

Rewards Tr: 66.82, Rewards Disc: 0.03, Rewards Eval: 55.76, Total Timesteps: 13334410 episode:86 

Rewards Tr: 69.25, Rewards Disc: 0.07, Rewards Eval: 64.97, Total Timesteps: 13534410 episode:87 

Rewards Tr: 79.79, Rewards Disc: -0.03, Rewards Eval: 63.52, Total Timesteps: 13734410 episode:88 

Rewards Tr: 84.36, Rewards Disc: -0.01, Rewards Eval: 65.82, Total Timesteps: 13934410 episode:89 

Rewards Tr: 89.43, Rewards Disc: 0.01, Rewards Eval: 80.44, Total Timesteps: 14134410 episode:90 

Rewards Tr: 92.42, Rewards Disc: -0.01, Rewards Eval: 89.13, Total Timesteps: 14334410 episode:91 

Rewards Tr: 98.62, Rewards Disc: -0.00, Rewards Eval: 70.01, Total Timesteps: 14534410 episode:92 

Rewards Tr: 101.58, Rewards Disc: 0.00, Rewards Eval: 99.73, Total Timesteps: 14734410 episode:93 

Rewards Tr: 81.63, Rewards Disc: 0.26, Rewards Eval: 83.67, Total Timesteps: 14934410 episode:94 

Rewards Tr: 87.89, Rewards Disc: 0.20, Rewards Eval: 88.05, Total Timesteps: 15134410 episode:95 

Rewards Tr: 92.89, Rewards Disc: 0.19, Rewards Eval: 98.90, Total Timesteps: 15334410 episode:96 

Rewards Tr: 98.48, Rewards Disc: 0.18, Rewards Eval: 94.59, Total Timesteps: 15534410 episode:97 

Rewards Tr: 96.24, Rewards Disc: 0.29, Rewards Eval: 76.78, Total Timesteps: 15734410 episode:98 

Rewards Tr: 102.67, Rewards Disc: 0.22, Rewards Eval: 89.59, Total Timesteps: 15934410 episode:99 

Rewards Tr: 107.32, Rewards Disc: 0.18, Rewards Eval: 92.30, Total Timesteps: 16134410 episode:100 

Rewards Tr: 105.29, Rewards Disc: 0.24, Rewards Eval: 105.92, Total Timesteps: 16334410 episode:101 

Rewards Tr: 113.60, Rewards Disc: 0.20, Rewards Eval: 107.32, Total Timesteps: 16534410 episode:102 

Rewards Tr: 111.78, Rewards Disc: 0.22, Rewards Eval: 120.64, Total Timesteps: 16734410 episode:103 

Rewards Tr: 116.07, Rewards Disc: 0.12, Rewards Eval: 110.00, Total Timesteps: 16934410 episode:104 

