For Seed: 1 

Rewards Tr: 19.93, Rewards Disc: -0.01, Rewards Eval: -22.39, Total Timesteps: 9746920 episode:72 

Rewards Tr: 23.81, Rewards Disc: -0.04, Rewards Eval: -0.12, Total Timesteps: 9946920 episode:73 

Rewards Tr: 25.82, Rewards Disc: -0.04, Rewards Eval: 6.96, Total Timesteps: 10146920 episode:74 

Rewards Tr: 25.57, Rewards Disc: 0.03, Rewards Eval: 10.62, Total Timesteps: 10346920 episode:75 

Rewards Tr: 24.85, Rewards Disc: 0.09, Rewards Eval: 16.12, Total Timesteps: 10546920 episode:76 

Rewards Tr: 28.23, Rewards Disc: 0.03, Rewards Eval: 37.25, Total Timesteps: 10746920 episode:77 

Rewards Tr: 31.28, Rewards Disc: 0.01, Rewards Eval: 40.40, Total Timesteps: 10946920 episode:78 

Rewards Tr: 32.60, Rewards Disc: 0.01, Rewards Eval: 8.92, Total Timesteps: 11146920 episode:79 

Rewards Tr: 36.96, Rewards Disc: -0.01, Rewards Eval: 1.32, Total Timesteps: 11346920 episode:80 

Rewards Tr: 38.09, Rewards Disc: -0.01, Rewards Eval: 14.52, Total Timesteps: 11546920 episode:81 

Rewards Tr: 40.97, Rewards Disc: 0.00, Rewards Eval: 27.89, Total Timesteps: 11746920 episode:82 

Rewards Tr: 40.16, Rewards Disc: -0.01, Rewards Eval: 49.06, Total Timesteps: 11946920 episode:83 

Rewards Tr: 41.45, Rewards Disc: -0.02, Rewards Eval: 2.80, Total Timesteps: 12146920 episode:84 

Rewards Tr: 43.39, Rewards Disc: -0.02, Rewards Eval: 28.11, Total Timesteps: 12346920 episode:85 

Rewards Tr: 40.77, Rewards Disc: 0.04, Rewards Eval: 24.22, Total Timesteps: 12546920 episode:86 

Rewards Tr: 47.04, Rewards Disc: 0.00, Rewards Eval: 41.60, Total Timesteps: 12746920 episode:87 

Rewards Tr: 48.36, Rewards Disc: 0.03, Rewards Eval: 29.97, Total Timesteps: 12946920 episode:88 

Rewards Tr: 52.89, Rewards Disc: -0.03, Rewards Eval: 14.38, Total Timesteps: 13146920 episode:89 

Rewards Tr: 52.06, Rewards Disc: -0.00, Rewards Eval: 35.16, Total Timesteps: 13346920 episode:90 

Rewards Tr: 54.89, Rewards Disc: -0.01, Rewards Eval: 48.41, Total Timesteps: 13546920 episode:91 

Rewards Tr: 59.58, Rewards Disc: 0.04, Rewards Eval: 57.86, Total Timesteps: 13746920 episode:92 

Rewards Tr: 58.94, Rewards Disc: 0.01, Rewards Eval: 25.23, Total Timesteps: 13946920 episode:93 

Rewards Tr: 63.97, Rewards Disc: 0.01, Rewards Eval: 51.37, Total Timesteps: 14146920 episode:94 

Rewards Tr: 68.10, Rewards Disc: 0.01, Rewards Eval: 76.43, Total Timesteps: 14346920 episode:95 

Rewards Tr: 69.33, Rewards Disc: -0.01, Rewards Eval: 53.56, Total Timesteps: 14546920 episode:96 

Rewards Tr: 73.88, Rewards Disc: -0.01, Rewards Eval: 64.24, Total Timesteps: 14746920 episode:97 

Rewards Tr: 82.33, Rewards Disc: -0.05, Rewards Eval: 55.64, Total Timesteps: 14946920 episode:98 

Rewards Tr: 82.98, Rewards Disc: -0.02, Rewards Eval: 59.34, Total Timesteps: 15146920 episode:99 

Rewards Tr: 89.06, Rewards Disc: 0.02, Rewards Eval: 81.34, Total Timesteps: 15346920 episode:100 

Rewards Tr: 94.61, Rewards Disc: -0.03, Rewards Eval: 73.45, Total Timesteps: 15546920 episode:101 

Rewards Tr: 99.20, Rewards Disc: 0.02, Rewards Eval: 87.98, Total Timesteps: 15746920 episode:102 

Rewards Tr: 104.89, Rewards Disc: 0.03, Rewards Eval: 83.08, Total Timesteps: 15946920 episode:103 

Rewards Tr: 99.13, Rewards Disc: 0.09, Rewards Eval: 99.55, Total Timesteps: 16146920 episode:104 

Rewards Tr: 110.37, Rewards Disc: 0.06, Rewards Eval: 65.73, Total Timesteps: 16346920 episode:105 

Rewards Tr: 80.02, Rewards Disc: 0.39, Rewards Eval: 66.07, Total Timesteps: 16497330 episode:106 

Rewards Tr: 77.12, Rewards Disc: 0.41, Rewards Eval: 83.66, Total Timesteps: 16631340 episode:107 

Rewards Tr: 94.27, Rewards Disc: 0.27, Rewards Eval: 99.44, Total Timesteps: 16806510 episode:108 

Rewards Tr: 94.26, Rewards Disc: 0.25, Rewards Eval: 84.09, Total Timesteps: 16989980 episode:109 

Rewards Tr: 104.05, Rewards Disc: 0.20, Rewards Eval: 90.35, Total Timesteps: 17173340 episode:110 

Rewards Tr: 95.64, Rewards Disc: 0.30, Rewards Eval: 103.67, Total Timesteps: 17339870 episode:111 

Rewards Tr: 83.95, Rewards Disc: 0.45, Rewards Eval: 83.08, Total Timesteps: 17482010 episode:112 

Rewards Tr: 104.59, Rewards Disc: 0.25, Rewards Eval: 88.60, Total Timesteps: 17665930 episode:113 

Rewards Tr: 94.28, Rewards Disc: 0.40, Rewards Eval: 86.13, Total Timesteps: 17832950 episode:114 

Rewards Tr: 81.22, Rewards Disc: 0.53, Rewards Eval: 103.13, Total Timesteps: 17975880 episode:115 

Rewards Tr: 105.88, Rewards Disc: 0.24, Rewards Eval: 74.57, Total Timesteps: 18159250 episode:116 

Rewards Tr: 83.52, Rewards Disc: 0.50, Rewards Eval: 113.54, Total Timesteps: 18310570 episode:117 

Rewards Tr: 131.55, Rewards Disc: 0.04, Rewards Eval: 117.47, Total Timesteps: 18510570 episode:118 

Rewards Tr: 106.74, Rewards Disc: 0.28, Rewards Eval: 104.79, Total Timesteps: 18710570 episode:119 

Rewards Tr: 101.58, Rewards Disc: 0.32, Rewards Eval: 106.86, Total Timesteps: 18885800 episode:120 

Rewards Tr: 111.32, Rewards Disc: 0.19, Rewards Eval: 85.35, Total Timesteps: 19069450 episode:121 

Rewards Tr: 89.77, Rewards Disc: 0.37, Rewards Eval: 144.12, Total Timesteps: 19261430 episode:122 

Rewards Tr: 114.83, Rewards Disc: 0.13, Rewards Eval: 127.56, Total Timesteps: 19453490 episode:123 

Rewards Tr: 103.11, Rewards Disc: 0.24, Rewards Eval: 59.94, Total Timesteps: 19637370 episode:124 

Rewards Tr: 91.98, Rewards Disc: 0.42, Rewards Eval: 117.46, Total Timesteps: 19813290 episode:125 

Rewards Tr: 125.49, Rewards Disc: 0.08, Rewards Eval: 81.99, Total Timesteps: 20013290 episode:126 

Rewards Tr: 138.26, Rewards Disc: -0.06, Rewards Eval: 96.83, Total Timesteps: 20213290 episode:127 

Rewards Tr: 139.44, Rewards Disc: 0.01, Rewards Eval: 108.07, Total Timesteps: 20413290 episode:128 

Rewards Tr: 139.45, Rewards Disc: -0.02, Rewards Eval: 125.90, Total Timesteps: 20613290 episode:129 

Rewards Tr: 106.04, Rewards Disc: 0.34, Rewards Eval: 139.86, Total Timesteps: 20805410 episode:130 

Rewards Tr: 126.03, Rewards Disc: 0.19, Rewards Eval: 123.26, Total Timesteps: 20989190 episode:131 

Rewards Tr: 111.96, Rewards Disc: 0.31, Rewards Eval: 112.27, Total Timesteps: 21172920 episode:132 

Rewards Tr: 130.41, Rewards Disc: 0.14, Rewards Eval: 146.86, Total Timesteps: 21364760 episode:133 

Rewards Tr: 125.00, Rewards Disc: 0.20, Rewards Eval: 155.37, Total Timesteps: 21548370 episode:134 

Rewards Tr: 112.63, Rewards Disc: 0.35, Rewards Eval: 119.61, Total Timesteps: 21711190 episode:135 

Rewards Tr: 116.18, Rewards Disc: 0.27, Rewards Eval: 145.47, Total Timesteps: 21870970 episode:136 

Rewards Tr: 136.43, Rewards Disc: 0.11, Rewards Eval: 148.70, Total Timesteps: 22062790 episode:137 

Rewards Tr: 120.58, Rewards Disc: 0.34, Rewards Eval: 131.72, Total Timesteps: 22239210 episode:138 

Rewards Tr: 146.76, Rewards Disc: 0.04, Rewards Eval: 118.45, Total Timesteps: 22439210 episode:139 

Rewards Tr: 112.11, Rewards Disc: 0.42, Rewards Eval: 157.05, Total Timesteps: 22639210 episode:140 

Rewards Tr: 71.73, Rewards Disc: 0.81, Rewards Eval: 106.77, Total Timesteps: 22782280 episode:141 

