For Seed: 1 

Rewards Tr: 71.30, Rewards Eval: 76.20, Total Timesteps: 15702240 episode:112 

Rewards Tr: 75.43, Rewards Eval: 42.21, Total Timesteps: 15902240 episode:113 

Rewards Tr: 79.15, Rewards Eval: 90.69, Total Timesteps: 16093770 episode:114 

Rewards Tr: 83.18, Rewards Eval: 85.55, Total Timesteps: 16293770 episode:115 

Rewards Tr: 76.82, Rewards Eval: 78.35, Total Timesteps: 16460280 episode:116 

Rewards Tr: 87.08, Rewards Eval: 93.03, Total Timesteps: 16651790 episode:117 

Rewards Tr: 86.07, Rewards Eval: 70.08, Total Timesteps: 16827160 episode:118 

Rewards Tr: 84.68, Rewards Eval: 86.23, Total Timesteps: 16976220 episode:119 

Rewards Tr: 99.15, Rewards Eval: 114.23, Total Timesteps: 17159530 episode:120 

Rewards Tr: 89.02, Rewards Eval: 100.89, Total Timesteps: 17309300 episode:121 

Rewards Tr: 96.64, Rewards Eval: 134.38, Total Timesteps: 17500650 episode:122 

Rewards Tr: 109.18, Rewards Eval: 99.27, Total Timesteps: 17683670 episode:123 

Rewards Tr: 101.86, Rewards Eval: 136.87, Total Timesteps: 17867250 episode:124 

Rewards Tr: 113.37, Rewards Eval: 106.36, Total Timesteps: 18050820 episode:125 

Rewards Tr: 104.89, Rewards Eval: 137.45, Total Timesteps: 18234070 episode:126 

Rewards Tr: 113.75, Rewards Eval: 116.34, Total Timesteps: 18417590 episode:127 

Rewards Tr: 95.39, Rewards Eval: 140.83, Total Timesteps: 18567950 episode:128 

Rewards Tr: 116.10, Rewards Eval: 116.63, Total Timesteps: 18742620 episode:129 

Rewards Tr: 114.99, Rewards Eval: 123.33, Total Timesteps: 18934430 episode:130 

Rewards Tr: 125.57, Rewards Eval: 104.15, Total Timesteps: 19134430 episode:131 

Rewards Tr: 115.52, Rewards Eval: 126.75, Total Timesteps: 19326110 episode:132 

Rewards Tr: 123.62, Rewards Eval: 96.95, Total Timesteps: 19517970 episode:133 

Rewards Tr: 128.47, Rewards Eval: 95.03, Total Timesteps: 19709740 episode:134 

Rewards Tr: 142.83, Rewards Eval: 95.80, Total Timesteps: 19909740 episode:135 

Rewards Tr: 126.03, Rewards Eval: 141.40, Total Timesteps: 20085160 episode:136 

Rewards Tr: 119.71, Rewards Eval: 131.80, Total Timesteps: 20253780 episode:137 

Rewards Tr: 129.67, Rewards Eval: 79.35, Total Timesteps: 20453780 episode:138 

Rewards Tr: 122.08, Rewards Eval: 94.59, Total Timesteps: 20636980 episode:139 

Rewards Tr: 118.68, Rewards Eval: 146.01, Total Timesteps: 20804450 episode:140 

Rewards Tr: 125.55, Rewards Eval: 102.49, Total Timesteps: 20996200 episode:141 

Rewards Tr: 126.80, Rewards Eval: 128.20, Total Timesteps: 21171520 episode:142 

Rewards Tr: 139.94, Rewards Eval: 138.79, Total Timesteps: 21371520 episode:143 

Rewards Tr: 128.29, Rewards Eval: 119.29, Total Timesteps: 21547460 episode:144 

Rewards Tr: 133.83, Rewards Eval: 114.68, Total Timesteps: 21729310 episode:145 

Rewards Tr: 138.44, Rewards Eval: 142.21, Total Timesteps: 21921070 episode:146 

Rewards Tr: 124.68, Rewards Eval: 175.91, Total Timesteps: 22089280 episode:147 

Rewards Tr: 149.49, Rewards Eval: 151.42, Total Timesteps: 22289280 episode:148 

Rewards Tr: 148.56, Rewards Eval: 161.36, Total Timesteps: 22489280 episode:149 

Rewards Tr: 133.58, Rewards Eval: 134.23, Total Timesteps: 22664320 episode:150 

Rewards Tr: 142.02, Rewards Eval: 150.38, Total Timesteps: 22864320 episode:151 

Rewards Tr: 139.77, Rewards Eval: 139.85, Total Timesteps: 23047850 episode:152 

Rewards Tr: 141.43, Rewards Eval: 143.43, Total Timesteps: 23247850 episode:153 

Rewards Tr: 141.17, Rewards Eval: 167.73, Total Timesteps: 23439720 episode:154 

Rewards Tr: 144.74, Rewards Eval: 181.94, Total Timesteps: 23639720 episode:155 

Rewards Tr: 132.81, Rewards Eval: 184.23, Total Timesteps: 23815180 episode:156 

Rewards Tr: 140.67, Rewards Eval: 127.16, Total Timesteps: 24006840 episode:157 

Rewards Tr: 144.46, Rewards Eval: 170.85, Total Timesteps: 24198730 episode:158 

