For Seed: 102 

Rewards Tr: -5.77, Rewards Val: -8.18, Rewards Disc: 1.38, Rewards Eval: -41.81, Total Timesteps: 20770200 episode:60 

Rewards Tr: -6.42, Rewards Val: -2.47, Rewards Disc: 1.32, Rewards Eval: -10.63, Total Timesteps: 21370200 episode:61 

Rewards Tr: -1.75, Rewards Val: -10.11, Rewards Disc: 1.40, Rewards Eval: -61.67, Total Timesteps: 21970200 episode:62 

Rewards Tr: -4.16, Rewards Val: 1.71, Rewards Disc: 1.28, Rewards Eval: -34.27, Total Timesteps: 22570200 episode:63 

Rewards Tr: -0.46, Rewards Val: 0.38, Rewards Disc: 1.30, Rewards Eval: -37.17, Total Timesteps: 23170200 episode:64 

Rewards Tr: -1.13, Rewards Val: 1.13, Rewards Disc: 1.29, Rewards Eval: -28.84, Total Timesteps: 23770200 episode:65 

Rewards Tr: 0.64, Rewards Val: 2.66, Rewards Disc: 1.27, Rewards Eval: -35.16, Total Timesteps: 24370200 episode:66 

Rewards Tr: -1.86, Rewards Val: 4.61, Rewards Disc: 1.25, Rewards Eval: -13.04, Total Timesteps: 24970200 episode:67 

Rewards Tr: 4.80, Rewards Val: 8.16, Rewards Disc: 1.22, Rewards Eval: -25.80, Total Timesteps: 25570200 episode:68 

Rewards Tr: 10.20, Rewards Val: 9.88, Rewards Disc: 1.20, Rewards Eval: 11.51, Total Timesteps: 26170200 episode:69 

Rewards Tr: 11.53, Rewards Val: 15.33, Rewards Disc: 1.15, Rewards Eval: -9.62, Total Timesteps: 26770200 episode:70 

Rewards Tr: 11.27, Rewards Val: 9.89, Rewards Disc: 1.20, Rewards Eval: 13.88, Total Timesteps: 27370200 episode:71 

Rewards Tr: 10.22, Rewards Val: 14.70, Rewards Disc: 1.15, Rewards Eval: 22.23, Total Timesteps: 27970200 episode:72 

Rewards Tr: 12.21, Rewards Val: 15.98, Rewards Disc: 1.14, Rewards Eval: 6.66, Total Timesteps: 28570200 episode:73 

Rewards Tr: 13.43, Rewards Val: 13.83, Rewards Disc: 1.16, Rewards Eval: -27.04, Total Timesteps: 29170200 episode:74 

Rewards Tr: 14.03, Rewards Val: 15.95, Rewards Disc: 1.14, Rewards Eval: 15.75, Total Timesteps: 29770200 episode:75 

Rewards Tr: 16.50, Rewards Val: 16.97, Rewards Disc: 1.13, Rewards Eval: 12.09, Total Timesteps: 30370200 episode:76 

Rewards Tr: 20.93, Rewards Val: 19.14, Rewards Disc: 1.11, Rewards Eval: 2.20, Total Timesteps: 30970200 episode:77 

Rewards Tr: 20.72, Rewards Val: 22.02, Rewards Disc: 1.08, Rewards Eval: 30.34, Total Timesteps: 31570200 episode:78 

Rewards Tr: 25.92, Rewards Val: 24.70, Rewards Disc: 1.05, Rewards Eval: 29.56, Total Timesteps: 32170200 episode:79 

Rewards Tr: 26.56, Rewards Val: 29.72, Rewards Disc: 1.00, Rewards Eval: 9.98, Total Timesteps: 32770200 episode:80 

Rewards Tr: 30.10, Rewards Val: 29.52, Rewards Disc: 1.00, Rewards Eval: 23.80, Total Timesteps: 33370200 episode:81 

Rewards Tr: 31.17, Rewards Val: 35.70, Rewards Disc: 0.94, Rewards Eval: 14.64, Total Timesteps: 33970200 episode:82 

Rewards Tr: 32.07, Rewards Val: 29.46, Rewards Disc: 1.01, Rewards Eval: 15.75, Total Timesteps: 34570200 episode:83 

Rewards Tr: 34.05, Rewards Val: 33.98, Rewards Disc: 0.96, Rewards Eval: 53.85, Total Timesteps: 35170200 episode:84 

Rewards Tr: 33.62, Rewards Val: 36.55, Rewards Disc: 0.93, Rewards Eval: 53.90, Total Timesteps: 35770200 episode:85 

Rewards Tr: 38.53, Rewards Val: 38.50, Rewards Disc: 0.92, Rewards Eval: 7.17, Total Timesteps: 36370200 episode:86 

Rewards Tr: 44.72, Rewards Val: 44.49, Rewards Disc: 0.86, Rewards Eval: 23.11, Total Timesteps: 36970200 episode:87 

Rewards Tr: 42.39, Rewards Val: 44.76, Rewards Disc: 0.85, Rewards Eval: 61.49, Total Timesteps: 37570200 episode:88 

Rewards Tr: 47.97, Rewards Val: 45.67, Rewards Disc: 0.84, Rewards Eval: 57.49, Total Timesteps: 38170200 episode:89 

Rewards Tr: 47.53, Rewards Val: 49.84, Rewards Disc: 0.80, Rewards Eval: 35.05, Total Timesteps: 38770200 episode:90 

Rewards Tr: 52.02, Rewards Val: 52.28, Rewards Disc: 0.78, Rewards Eval: 9.85, Total Timesteps: 39370200 episode:91 

Rewards Tr: 57.31, Rewards Val: 54.85, Rewards Disc: 0.75, Rewards Eval: 68.48, Total Timesteps: 39970200 episode:92 

Rewards Tr: 53.27, Rewards Val: 54.31, Rewards Disc: 0.76, Rewards Eval: 65.42, Total Timesteps: 40570200 episode:93 

Rewards Tr: 57.16, Rewards Val: 59.43, Rewards Disc: 0.71, Rewards Eval: 44.58, Total Timesteps: 41170200 episode:94 

Rewards Tr: 64.27, Rewards Val: 64.98, Rewards Disc: 0.65, Rewards Eval: 54.22, Total Timesteps: 41770200 episode:95 

Rewards Tr: 66.77, Rewards Val: 65.93, Rewards Disc: 0.64, Rewards Eval: 61.17, Total Timesteps: 42370200 episode:96 

Rewards Tr: 67.98, Rewards Val: 69.73, Rewards Disc: 0.60, Rewards Eval: 84.30, Total Timesteps: 42970200 episode:97 

Rewards Tr: 74.06, Rewards Val: 70.40, Rewards Disc: 0.60, Rewards Eval: 79.12, Total Timesteps: 43570200 episode:98 

Rewards Tr: 80.50, Rewards Val: 78.65, Rewards Disc: 0.51, Rewards Eval: 40.05, Total Timesteps: 44170200 episode:99 

Rewards Tr: 83.58, Rewards Val: 83.70, Rewards Disc: 0.46, Rewards Eval: 64.30, Total Timesteps: 44770200 episode:100 

Rewards Tr: 88.00, Rewards Val: 89.32, Rewards Disc: 0.41, Rewards Eval: 89.23, Total Timesteps: 45370200 episode:101 

Rewards Tr: 97.80, Rewards Val: 98.63, Rewards Disc: 0.31, Rewards Eval: 68.52, Total Timesteps: 45970200 episode:102 

Rewards Tr: 100.99, Rewards Val: 97.90, Rewards Disc: 0.32, Rewards Eval: 111.03, Total Timesteps: 46570200 episode:103 

Rewards Tr: 106.96, Rewards Val: 110.30, Rewards Disc: 0.20, Rewards Eval: 87.82, Total Timesteps: 47170200 episode:104 

Rewards Tr: 107.27, Rewards Val: 109.19, Rewards Disc: 0.21, Rewards Eval: 98.34, Total Timesteps: 47770200 episode:105 

Rewards Tr: 111.68, Rewards Val: 115.29, Rewards Disc: 0.15, Rewards Eval: 146.43, Total Timesteps: 48370200 episode:106 

Rewards Tr: 99.42, Rewards Val: 96.79, Rewards Disc: 0.33, Rewards Eval: 103.03, Total Timesteps: 48970200 episode:107 

Rewards Tr: 95.77, Rewards Val: 93.64, Rewards Disc: 0.36, Rewards Eval: 114.02, Total Timesteps: 49570200 episode:108 

Rewards Tr: 99.60, Rewards Val: 97.49, Rewards Disc: 0.33, Rewards Eval: 117.04, Total Timesteps: 50170200 episode:109 

Rewards Tr: 105.51, Rewards Val: 109.06, Rewards Disc: 0.21, Rewards Eval: 95.25, Total Timesteps: 50770200 episode:110 

Rewards Tr: 112.75, Rewards Val: 106.52, Rewards Disc: 0.23, Rewards Eval: 108.00, Total Timesteps: 51370200 episode:111 

Rewards Tr: 115.47, Rewards Val: 112.58, Rewards Disc: 0.17, Rewards Eval: 113.72, Total Timesteps: 51970200 episode:112 

Rewards Tr: 121.13, Rewards Val: 119.57, Rewards Disc: 0.10, Rewards Eval: 110.70, Total Timesteps: 52570200 episode:113 

Rewards Tr: 116.77, Rewards Val: 119.65, Rewards Disc: 0.10, Rewards Eval: 112.01, Total Timesteps: 53170200 episode:114 

Rewards Tr: 103.24, Rewards Val: 99.27, Rewards Disc: 0.31, Rewards Eval: 107.13, Total Timesteps: 53770200 episode:115 

Rewards Tr: 118.80, Rewards Val: 114.27, Rewards Disc: 0.16, Rewards Eval: 125.11, Total Timesteps: 54370200 episode:116 

Rewards Tr: 120.12, Rewards Val: 118.27, Rewards Disc: 0.12, Rewards Eval: 136.19, Total Timesteps: 54970200 episode:117 

Rewards Tr: 116.56, Rewards Val: 122.17, Rewards Disc: 0.08, Rewards Eval: 145.23, Total Timesteps: 55570200 episode:118 

Rewards Tr: 109.26, Rewards Val: 113.17, Rewards Disc: 0.17, Rewards Eval: 109.42, Total Timesteps: 56170200 episode:119 

Rewards Tr: 127.80, Rewards Val: 124.55, Rewards Disc: 0.05, Rewards Eval: 100.88, Total Timesteps: 56770200 episode:120 

Rewards Tr: 132.84, Rewards Val: 131.18, Rewards Disc: -0.01, Rewards Eval: 141.05, Total Timesteps: 57370200 episode:121 

Rewards Tr: 114.94, Rewards Val: 115.21, Rewards Disc: 0.15, Rewards Eval: 128.82, Total Timesteps: 57970200 episode:122 

Rewards Tr: 101.68, Rewards Val: 100.50, Rewards Disc: 0.29, Rewards Eval: 123.83, Total Timesteps: 58570200 episode:123 

Rewards Tr: 105.03, Rewards Val: 103.28, Rewards Disc: 0.27, Rewards Eval: 139.65, Total Timesteps: 59170200 episode:124 

Rewards Tr: 82.55, Rewards Val: 79.88, Rewards Disc: 0.50, Rewards Eval: 99.97, Total Timesteps: 59737980 episode:125 

Rewards Tr: 102.49, Rewards Val: 102.43, Rewards Disc: 0.28, Rewards Eval: 104.00, Total Timesteps: 60337980 episode:126 

Rewards Tr: 103.68, Rewards Val: 102.26, Rewards Disc: 0.28, Rewards Eval: 110.21, Total Timesteps: 60937980 episode:127 

Rewards Tr: 103.47, Rewards Val: 104.64, Rewards Disc: 0.25, Rewards Eval: 106.80, Total Timesteps: 61537980 episode:128 

Rewards Tr: 124.63, Rewards Val: 126.09, Rewards Disc: 0.04, Rewards Eval: 86.56, Total Timesteps: 62137980 episode:129 

Rewards Tr: 113.27, Rewards Val: 114.18, Rewards Disc: 0.16, Rewards Eval: 96.62, Total Timesteps: 62737980 episode:130 

Rewards Tr: 108.10, Rewards Val: 108.09, Rewards Disc: 0.22, Rewards Eval: 52.49, Total Timesteps: 63337980 episode:131 

Rewards Tr: 103.61, Rewards Val: 107.63, Rewards Disc: 0.22, Rewards Eval: 79.44, Total Timesteps: 63937980 episode:132 

Rewards Tr: 104.91, Rewards Val: 104.86, Rewards Disc: 0.25, Rewards Eval: 56.31, Total Timesteps: 64537980 episode:133 

Rewards Tr: 96.83, Rewards Val: 101.01, Rewards Disc: 0.29, Rewards Eval: 31.29, Total Timesteps: 65137980 episode:134 

Rewards Tr: 93.95, Rewards Val: 98.10, Rewards Disc: 0.32, Rewards Eval: 22.83, Total Timesteps: 65737980 episode:135 

Rewards Tr: 92.42, Rewards Val: 95.15, Rewards Disc: 0.35, Rewards Eval: 45.08, Total Timesteps: 66337980 episode:136 

Rewards Tr: 90.60, Rewards Val: 92.28, Rewards Disc: 0.38, Rewards Eval: 40.83, Total Timesteps: 66937980 episode:137 

Rewards Tr: 95.35, Rewards Val: 94.81, Rewards Disc: 0.35, Rewards Eval: 32.52, Total Timesteps: 67537980 episode:138 

Rewards Tr: 106.73, Rewards Val: 100.85, Rewards Disc: 0.29, Rewards Eval: 43.99, Total Timesteps: 68137980 episode:139 

Rewards Tr: 100.29, Rewards Val: 98.96, Rewards Disc: 0.31, Rewards Eval: 63.88, Total Timesteps: 68737980 episode:140 

Rewards Tr: 107.31, Rewards Val: 104.23, Rewards Disc: 0.26, Rewards Eval: 50.84, Total Timesteps: 69337980 episode:141 

Rewards Tr: 82.29, Rewards Val: 77.34, Rewards Disc: 0.53, Rewards Eval: 54.18, Total Timesteps: 69937980 episode:142 

Rewards Tr: 70.98, Rewards Val: 75.27, Rewards Disc: 0.55, Rewards Eval: 79.99, Total Timesteps: 70537980 episode:143 

Rewards Tr: 83.73, Rewards Val: 88.61, Rewards Disc: 0.41, Rewards Eval: 64.07, Total Timesteps: 71137980 episode:144 

Rewards Tr: 78.14, Rewards Val: 82.53, Rewards Disc: 0.47, Rewards Eval: 86.93, Total Timesteps: 71737980 episode:145 

Rewards Tr: 107.08, Rewards Val: 110.95, Rewards Disc: 0.19, Rewards Eval: 120.57, Total Timesteps: 72337980 episode:146 

Rewards Tr: 123.32, Rewards Val: 125.07, Rewards Disc: 0.05, Rewards Eval: 140.12, Total Timesteps: 72937980 episode:147 

Rewards Tr: 133.04, Rewards Val: 136.94, Rewards Disc: -0.07, Rewards Eval: 102.23, Total Timesteps: 73537980 episode:148 

Rewards Tr: 139.38, Rewards Val: 136.14, Rewards Disc: -0.06, Rewards Eval: 93.20, Total Timesteps: 74137980 episode:149 

Rewards Tr: 148.08, Rewards Val: 147.45, Rewards Disc: -0.17, Rewards Eval: 124.68, Total Timesteps: 74737980 episode:150 

Rewards Tr: 154.95, Rewards Val: 151.17, Rewards Disc: -0.21, Rewards Eval: 124.85, Total Timesteps: 75337980 episode:151 

Rewards Tr: 149.58, Rewards Val: 151.97, Rewards Disc: -0.22, Rewards Eval: 150.49, Total Timesteps: 75937980 episode:152 

Rewards Tr: 127.72, Rewards Val: 125.99, Rewards Disc: 0.04, Rewards Eval: 179.74, Total Timesteps: 76537980 episode:153 

Rewards Tr: 129.70, Rewards Val: 129.50, Rewards Disc: 0.00, Rewards Eval: 182.76, Total Timesteps: 77137980 episode:154 

Rewards Tr: 135.83, Rewards Val: 129.96, Rewards Disc: 0.00, Rewards Eval: 143.19, Total Timesteps: 77737980 episode:155 

Rewards Tr: 129.83, Rewards Val: 132.76, Rewards Disc: -0.03, Rewards Eval: 157.43, Total Timesteps: 78337980 episode:156 

Rewards Tr: 133.11, Rewards Val: 130.89, Rewards Disc: -0.01, Rewards Eval: 161.85, Total Timesteps: 78937980 episode:157 

Rewards Tr: 145.96, Rewards Val: 147.88, Rewards Disc: -0.18, Rewards Eval: 159.47, Total Timesteps: 79537980 episode:158 

Rewards Tr: 140.49, Rewards Val: 141.25, Rewards Disc: -0.11, Rewards Eval: 184.70, Total Timesteps: 80137980 episode:159 

Rewards Tr: 134.06, Rewards Val: 130.85, Rewards Disc: -0.01, Rewards Eval: 135.02, Total Timesteps: 80737980 episode:160 

Rewards Tr: 112.62, Rewards Val: 119.11, Rewards Disc: 0.11, Rewards Eval: 93.89, Total Timesteps: 81337980 episode:161 

Rewards Tr: 94.88, Rewards Val: 94.14, Rewards Disc: 0.36, Rewards Eval: 148.31, Total Timesteps: 81929850 episode:162 

Rewards Tr: 88.92, Rewards Val: 86.39, Rewards Disc: 0.44, Rewards Eval: 110.15, Total Timesteps: 82529850 episode:163 

Rewards Tr: 101.65, Rewards Val: 100.41, Rewards Disc: 0.30, Rewards Eval: 161.32, Total Timesteps: 83129850 episode:164 

Rewards Tr: 135.11, Rewards Val: 132.91, Rewards Disc: -0.03, Rewards Eval: 152.17, Total Timesteps: 83729850 episode:165 

Rewards Tr: 138.97, Rewards Val: 139.78, Rewards Disc: -0.10, Rewards Eval: 127.02, Total Timesteps: 84329850 episode:166 

Rewards Tr: 110.12, Rewards Val: 114.58, Rewards Disc: 0.15, Rewards Eval: 144.32, Total Timesteps: 84929850 episode:167 

Rewards Tr: 131.26, Rewards Val: 133.37, Rewards Disc: -0.03, Rewards Eval: 98.58, Total Timesteps: 85529850 episode:168 

Rewards Tr: 140.81, Rewards Val: 137.36, Rewards Disc: -0.07, Rewards Eval: 96.31, Total Timesteps: 86129850 episode:169 

Rewards Tr: 137.76, Rewards Val: 131.78, Rewards Disc: -0.02, Rewards Eval: 108.28, Total Timesteps: 86729850 episode:170 

Rewards Tr: 131.55, Rewards Val: 129.37, Rewards Disc: 0.01, Rewards Eval: 110.76, Total Timesteps: 87329850 episode:171 

Rewards Tr: 136.45, Rewards Val: 135.95, Rewards Disc: -0.06, Rewards Eval: 87.24, Total Timesteps: 87929850 episode:172 

Rewards Tr: 133.94, Rewards Val: 137.44, Rewards Disc: -0.07, Rewards Eval: 80.10, Total Timesteps: 88529850 episode:173 

Rewards Tr: 130.49, Rewards Val: 133.71, Rewards Disc: -0.04, Rewards Eval: 102.09, Total Timesteps: 89129850 episode:174 

