For Seed: 1 


Rewards Tr: 750.68, Rewards Eval: 709.46, Total Timesteps: 5045430 episode:93 

Rewards Tr: 706.84, Rewards Eval: 611.95, Total Timesteps: 5116210 episode:94 

Rewards Tr: 758.13, Rewards Eval: 744.36, Total Timesteps: 5203360 episode:95 

Rewards Tr: 781.40, Rewards Eval: 852.21, Total Timesteps: 5286130 episode:96 

Rewards Tr: 763.93, Rewards Eval: 716.18, Total Timesteps: 5371800 episode:97 

Rewards Tr: 741.66, Rewards Eval: 661.04, Total Timesteps: 5448910 episode:98 

Rewards Tr: 794.67, Rewards Eval: 880.54, Total Timesteps: 5531400 episode:99 

Rewards Tr: 769.99, Rewards Eval: 866.14, Total Timesteps: 5619050 episode:100 

Rewards Tr: 791.41, Rewards Eval: 644.63, Total Timesteps: 5712570 episode:101 

Rewards Tr: 789.81, Rewards Eval: 867.36, Total Timesteps: 5800930 episode:102 

Rewards Tr: 752.36, Rewards Eval: 844.06, Total Timesteps: 5890940 episode:103 

Rewards Tr: 836.97, Rewards Eval: 638.83, Total Timesteps: 5990990 episode:104 

Rewards Tr: 845.57, Rewards Eval: 765.54, Total Timesteps: 6090550 episode:105 

Rewards Tr: 853.37, Rewards Eval: 720.61, Total Timesteps: 6182360 episode:106 

Rewards Tr: 849.90, Rewards Eval: 785.08, Total Timesteps: 6278680 episode:107 

Rewards Tr: 783.99, Rewards Eval: 1065.04, Total Timesteps: 6367050 episode:108 

Rewards Tr: 786.58, Rewards Eval: 694.62, Total Timesteps: 6446710 episode:109 

Rewards Tr: 837.83, Rewards Eval: 811.63, Total Timesteps: 6540170 episode:110 

Rewards Tr: 836.20, Rewards Eval: 770.18, Total Timesteps: 6621850 episode:111 

Rewards Tr: 761.99, Rewards Eval: 828.54, Total Timesteps: 6705030 episode:112 

Rewards Tr: 881.48, Rewards Eval: 787.05, Total Timesteps: 6804470 episode:113 

Rewards Tr: 909.28, Rewards Eval: 671.56, Total Timesteps: 6896010 episode:114 

Rewards Tr: 896.72, Rewards Eval: 778.59, Total Timesteps: 6989790 episode:115 

Rewards Tr: 773.51, Rewards Eval: 671.16, Total Timesteps: 7066190 episode:116 

Rewards Tr: 877.40, Rewards Eval: 736.02, Total Timesteps: 7153010 episode:117 

Rewards Tr: 781.51, Rewards Eval: 1017.61, Total Timesteps: 7227380 episode:118 

Rewards Tr: 791.54, Rewards Eval: 876.17, Total Timesteps: 7305240 episode:119 

Rewards Tr: 823.86, Rewards Eval: 935.17, Total Timesteps: 7383710 episode:120 

Rewards Tr: 768.35, Rewards Eval: 892.75, Total Timesteps: 7455270 episode:121 

Rewards Tr: 862.99, Rewards Eval: 763.39, Total Timesteps: 7545150 episode:122 

Rewards Tr: 919.15, Rewards Eval: 981.87, Total Timesteps: 7643860 episode:123 

Rewards Tr: 777.73, Rewards Eval: 954.55, Total Timesteps: 7715390 episode:124 

Rewards Tr: 829.67, Rewards Eval: 776.56, Total Timesteps: 7795640 episode:125 

Rewards Tr: 810.67, Rewards Eval: 828.81, Total Timesteps: 7872120 episode:126 

Rewards Tr: 854.50, Rewards Eval: 932.58, Total Timesteps: 7958910 episode:127 

Rewards Tr: 788.31, Rewards Eval: 833.63, Total Timesteps: 8035400 episode:128 

Rewards Tr: 969.58, Rewards Eval: 1153.84, Total Timesteps: 8139340 episode:129 

Rewards Tr: 868.51, Rewards Eval: 789.06, Total Timesteps: 8234220 episode:130 

Rewards Tr: 892.81, Rewards Eval: 1030.64, Total Timesteps: 8323540 episode:131 

Rewards Tr: 1006.66, Rewards Eval: 827.07, Total Timesteps: 8423590 episode:132 

Rewards Tr: 852.47, Rewards Eval: 1214.36, Total Timesteps: 8507730 episode:133 

Rewards Tr: 918.03, Rewards Eval: 932.45, Total Timesteps: 8602090 episode:134 

Rewards Tr: 1033.16, Rewards Eval: 1093.94, Total Timesteps: 8717420 episode:135 

Rewards Tr: 852.05, Rewards Eval: 727.78, Total Timesteps: 8799060 episode:136 

Rewards Tr: 986.25, Rewards Eval: 1049.38, Total Timesteps: 8903610 episode:137 

Rewards Tr: 915.25, Rewards Eval: 1121.07, Total Timesteps: 9000330 episode:138 

Rewards Tr: 1023.47, Rewards Eval: 997.62, Total Timesteps: 9112980 episode:139 

Rewards Tr: 992.63, Rewards Eval: 1520.00, Total Timesteps: 9223840 episode:140 

Rewards Tr: 984.12, Rewards Eval: 1470.11, Total Timesteps: 9332080 episode:141 

Rewards Tr: 1153.06, Rewards Eval: 1065.55, Total Timesteps: 9456190 episode:142 

Rewards Tr: 1213.00, Rewards Eval: 1188.92, Total Timesteps: 9598690 episode:143 

Rewards Tr: 973.92, Rewards Eval: 1183.14, Total Timesteps: 9700160 episode:144 

Rewards Tr: 1087.80, Rewards Eval: 920.98, Total Timesteps: 9812850 episode:145 

Rewards Tr: 963.90, Rewards Eval: 906.47, Total Timesteps: 9907060 episode:146 

Rewards Tr: 992.30, Rewards Eval: 1305.45, Total Timesteps: 10020170 episode:147 

Rewards Tr: 1119.50, Rewards Eval: 1393.00, Total Timesteps: 10144670 episode:148 

Rewards Tr: 927.30, Rewards Eval: 1115.37, Total Timesteps: 10241820 episode:149 

Rewards Tr: 1039.15, Rewards Eval: 755.26, Total Timesteps: 10365820 episode:150 

Rewards Tr: 949.75, Rewards Eval: 1528.44, Total Timesteps: 10452330 episode:151 

Rewards Tr: 1158.21, Rewards Eval: 977.66, Total Timesteps: 10574630 episode:152 

