
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 299.86, Rewards Val: 305.62, Rewards Disc: -0.00, Rewards Eval: 319.97, Total Timesteps: 6132370 episode:69 

Rewards Tr: 312.99, Rewards Val: 308.96, Rewards Disc: 0.11, Rewards Eval: 293.07, Total Timesteps: 6338730 episode:70 

Rewards Tr: 332.67, Rewards Val: 320.70, Rewards Disc: 0.12, Rewards Eval: 308.16, Total Timesteps: 6567510 episode:71 

Rewards Tr: 329.01, Rewards Val: 337.39, Rewards Disc: -0.10, Rewards Eval: 435.32, Total Timesteps: 6803580 episode:72 

Rewards Tr: 339.04, Rewards Val: 345.10, Rewards Disc: -0.09, Rewards Eval: 354.11, Total Timesteps: 7038110 episode:73 

Rewards Tr: 343.91, Rewards Val: 341.66, Rewards Disc: 0.12, Rewards Eval: 317.36, Total Timesteps: 7252080 episode:74 

Rewards Tr: 348.02, Rewards Val: 360.30, Rewards Disc: -0.09, Rewards Eval: 487.16, Total Timesteps: 7491540 episode:75 

Rewards Tr: 342.99, Rewards Val: 351.71, Rewards Disc: -0.02, Rewards Eval: 404.63, Total Timesteps: 7725630 episode:76 

Rewards Tr: 343.61, Rewards Val: 347.04, Rewards Disc: -0.01, Rewards Eval: 333.00, Total Timesteps: 7949670 episode:77 

Rewards Tr: 349.35, Rewards Val: 348.01, Rewards Disc: 0.08, Rewards Eval: 364.65, Total Timesteps: 8181680 episode:78 

Rewards Tr: 339.32, Rewards Val: 345.48, Rewards Disc: 0.08, Rewards Eval: 315.15, Total Timesteps: 8393920 episode:79 

Rewards Tr: 348.04, Rewards Val: 346.89, Rewards Disc: 0.03, Rewards Eval: 384.42, Total Timesteps: 8617010 episode:80 

Rewards Tr: 356.65, Rewards Val: 351.56, Rewards Disc: 0.02, Rewards Eval: 294.01, Total Timesteps: 8856670 episode:81 

Rewards Tr: 344.54, Rewards Val: 348.19, Rewards Disc: 0.11, Rewards Eval: 354.25, Total Timesteps: 9067340 episode:82 

Rewards Tr: 352.13, Rewards Val: 359.81, Rewards Disc: -0.02, Rewards Eval: 404.57, Total Timesteps: 9289280 episode:83 

Rewards Tr: 350.92, Rewards Val: 353.55, Rewards Disc: 0.09, Rewards Eval: 333.16, Total Timesteps: 9516080 episode:84 

Rewards Tr: 366.50, Rewards Val: 358.92, Rewards Disc: 0.03, Rewards Eval: 362.72, Total Timesteps: 9742300 episode:85 

Rewards Tr: 362.31, Rewards Val: 361.44, Rewards Disc: -0.11, Rewards Eval: 284.11, Total Timesteps: 9958720 episode:86 

Rewards Tr: 363.66, Rewards Val: 360.46, Rewards Disc: 0.00, Rewards Eval: 389.56, Total Timesteps: 10184020 episode:87 

Rewards Tr: 357.85, Rewards Val: 360.34, Rewards Disc: -0.07, Rewards Eval: 371.94, Total Timesteps: 10403300 episode:88 

Rewards Tr: 369.58, Rewards Val: 360.88, Rewards Disc: 0.09, Rewards Eval: 326.55, Total Timesteps: 10627140 episode:89 

Rewards Tr: 370.43, Rewards Val: 366.27, Rewards Disc: 0.05, Rewards Eval: 380.43, Total Timesteps: 10854980 episode:90 

Rewards Tr: 369.96, Rewards Val: 370.51, Rewards Disc: 0.06, Rewards Eval: 461.60, Total Timesteps: 11088320 episode:91 

Rewards Tr: 374.11, Rewards Val: 376.89, Rewards Disc: -0.06, Rewards Eval: 346.11, Total Timesteps: 11323990 episode:92 

Rewards Tr: 382.92, Rewards Val: 385.09, Rewards Disc: -0.11, Rewards Eval: 443.84, Total Timesteps: 11581760 episode:93 

Rewards Tr: 374.12, Rewards Val: 378.13, Rewards Disc: -0.03, Rewards Eval: 411.77, Total Timesteps: 11821810 episode:94 

Rewards Tr: 366.56, Rewards Val: 368.52, Rewards Disc: 0.06, Rewards Eval: 400.14, Total Timesteps: 12041940 episode:95 

Rewards Tr: 360.30, Rewards Val: 359.51, Rewards Disc: 0.04, Rewards Eval: 361.46, Total Timesteps: 12251230 episode:96 

Rewards Tr: 343.55, Rewards Val: 344.08, Rewards Disc: -0.03, Rewards Eval: 309.01, Total Timesteps: 12432420 episode:97 

Rewards Tr: 338.77, Rewards Val: 327.32, Rewards Disc: 0.02, Rewards Eval: 328.04, Total Timesteps: 12599590 episode:98 

Rewards Tr: 326.59, Rewards Val: 321.60, Rewards Disc: -0.02, Rewards Eval: 350.81, Total Timesteps: 12766660 episode:99 

Rewards Tr: 308.93, Rewards Val: 315.53, Rewards Disc: -0.01, Rewards Eval: 338.04, Total Timesteps: 12901960 episode:100 

Rewards Tr: 305.48, Rewards Val: 299.50, Rewards Disc: 0.00, Rewards Eval: 284.99, Total Timesteps: 13024590 episode:101 

Rewards Tr: 298.87, Rewards Val: 293.99, Rewards Disc: 0.04, Rewards Eval: 344.37, Total Timesteps: 13139570 episode:102 

Rewards Tr: 289.70, Rewards Val: 285.83, Rewards Disc: 0.05, Rewards Eval: 243.87, Total Timesteps: 13245890 episode:103 

Rewards Tr: 278.32, Rewards Val: 285.56, Rewards Disc: -0.03, Rewards Eval: 260.75, Total Timesteps: 13343830 episode:104 

Rewards Tr: 279.21, Rewards Val: 278.74, Rewards Disc: 0.01, Rewards Eval: 280.37, Total Timesteps: 13437430 episode:105 

Rewards Tr: 276.62, Rewards Val: 274.81, Rewards Disc: 0.02, Rewards Eval: 286.31, Total Timesteps: 13530790 episode:106 

Rewards Tr: 277.06, Rewards Val: 277.81, Rewards Disc: -0.01, Rewards Eval: 291.93, Total Timesteps: 13623200 episode:107 

Rewards Tr: 275.38, Rewards Val: 276.23, Rewards Disc: 0.01, Rewards Eval: 266.85, Total Timesteps: 13712410 episode:108 

Rewards Tr: 275.07, Rewards Val: 276.87, Rewards Disc: 0.02, Rewards Eval: 263.68, Total Timesteps: 13801420 episode:109 

Rewards Tr: 285.23, Rewards Val: 284.22, Rewards Disc: 0.01, Rewards Eval: 290.86, Total Timesteps: 13893880 episode:110 

Rewards Tr: 292.39, Rewards Val: 287.42, Rewards Disc: -0.01, Rewards Eval: 258.62, Total Timesteps: 13988980 episode:111 

Rewards Tr: 296.84, Rewards Val: 295.03, Rewards Disc: -0.01, Rewards Eval: 311.71, Total Timesteps: 14087420 episode:112 

Rewards Tr: 305.60, Rewards Val: 310.70, Rewards Disc: -0.02, Rewards Eval: 292.38, Total Timesteps: 14192860 episode:113 

Rewards Tr: 318.83, Rewards Val: 332.85, Rewards Disc: 0.00, Rewards Eval: 313.41, Total Timesteps: 14305500 episode:114 

Rewards Tr: 340.92, Rewards Val: 338.22, Rewards Disc: 0.08, Rewards Eval: 334.21, Total Timesteps: 14428630 episode:115 

Rewards Tr: 362.05, Rewards Val: 354.20, Rewards Disc: 0.03, Rewards Eval: 425.27, Total Timesteps: 14574060 episode:116 

Rewards Tr: 363.55, Rewards Val: 358.06, Rewards Disc: 0.11, Rewards Eval: 463.16, Total Timesteps: 14723520 episode:117 

Rewards Tr: 351.28, Rewards Val: 361.60, Rewards Disc: 0.19, Rewards Eval: 349.19, Total Timesteps: 14874620 episode:118 

Rewards Tr: 379.00, Rewards Val: 364.14, Rewards Disc: -0.01, Rewards Eval: 406.79, Total Timesteps: 15032400 episode:119 

Rewards Tr: 362.23, Rewards Val: 359.91, Rewards Disc: 0.06, Rewards Eval: 330.79, Total Timesteps: 15173980 episode:120 

Rewards Tr: 349.65, Rewards Val: 359.28, Rewards Disc: 0.04, Rewards Eval: 363.81, Total Timesteps: 15308830 episode:121 

Rewards Tr: 352.62, Rewards Val: 354.07, Rewards Disc: 0.11, Rewards Eval: 271.71, Total Timesteps: 15435550 episode:122 

Rewards Tr: 343.98, Rewards Val: 342.69, Rewards Disc: -0.01, Rewards Eval: 284.75, Total Timesteps: 15552850 episode:123 

Rewards Tr: 338.91, Rewards Val: 345.85, Rewards Disc: -0.05, Rewards Eval: 327.23, Total Timesteps: 15670090 episode:124 

Rewards Tr: 340.06, Rewards Val: 337.37, Rewards Disc: -0.01, Rewards Eval: 358.17, Total Timesteps: 15782700 episode:125 

Rewards Tr: 335.37, Rewards Val: 361.09, Rewards Disc: -0.22, Rewards Eval: 306.92, Total Timesteps: 15897710 episode:126 

Rewards Tr: 360.09, Rewards Val: 357.37, Rewards Disc: 0.09, Rewards Eval: 305.38, Total Timesteps: 16022290 episode:127 

Rewards Tr: 372.59, Rewards Val: 360.42, Rewards Disc: 0.28, Rewards Eval: 339.76, Total Timesteps: 16151530 episode:128 

Rewards Tr: 394.92, Rewards Val: 404.38, Rewards Disc: -0.08, Rewards Eval: 279.41, Total Timesteps: 16297210 episode:129 

Rewards Tr: 417.53, Rewards Val: 422.49, Rewards Disc: -0.08, Rewards Eval: 336.41, Total Timesteps: 16463730 episode:130 

Rewards Tr: 464.27, Rewards Val: 449.37, Rewards Disc: 0.16, Rewards Eval: 352.33, Total Timesteps: 16650510 episode:131 

Rewards Tr: 464.93, Rewards Val: 462.38, Rewards Disc: 0.17, Rewards Eval: 391.24, Total Timesteps: 16838900 episode:132 

Rewards Tr: 468.68, Rewards Val: 457.04, Rewards Disc: 0.10, Rewards Eval: 337.84, Total Timesteps: 17031680 episode:133 

Rewards Tr: 465.97, Rewards Val: 470.64, Rewards Disc: -0.08, Rewards Eval: 430.76, Total Timesteps: 17206820 episode:134 

Rewards Tr: 461.41, Rewards Val: 458.75, Rewards Disc: 0.04, Rewards Eval: 300.75, Total Timesteps: 17371260 episode:135 

Rewards Tr: 454.43, Rewards Val: 452.04, Rewards Disc: -0.12, Rewards Eval: 325.37, Total Timesteps: 17528540 episode:136 

Rewards Tr: 440.89, Rewards Val: 437.71, Rewards Disc: 0.17, Rewards Eval: 218.64, Total Timesteps: 17683270 episode:137 

Rewards Tr: 439.06, Rewards Val: 431.45, Rewards Disc: 0.20, Rewards Eval: 280.94, Total Timesteps: 17834970 episode:138 

Rewards Tr: 442.41, Rewards Val: 440.77, Rewards Disc: -0.13, Rewards Eval: 318.55, Total Timesteps: 17979060 episode:139 

Rewards Tr: 439.94, Rewards Val: 443.23, Rewards Disc: 0.05, Rewards Eval: 320.48, Total Timesteps: 18122150 episode:140 

Rewards Tr: 453.92, Rewards Val: 430.01, Rewards Disc: 0.19, Rewards Eval: 445.72, Total Timesteps: 18264710 episode:141 

Rewards Tr: 454.73, Rewards Val: 448.54, Rewards Disc: -0.04, Rewards Eval: 274.26, Total Timesteps: 18409530 episode:142 

