For Seed: 1 

Rewards Tr: 609.21, Rewards Val: 620.45, Rewards Disc: 0.60, Rewards Eval: 673.10, Total Timesteps: 8756590 episode:95 

Rewards Tr: 617.85, Rewards Val: 600.18, Rewards Disc: 0.84, Rewards Eval: 607.59, Total Timesteps: 8902700 episode:96 

Rewards Tr: 684.11, Rewards Val: 659.33, Rewards Disc: 0.32, Rewards Eval: 554.04, Total Timesteps: 9080700 episode:97 

Rewards Tr: 689.43, Rewards Val: 691.63, Rewards Disc: 0.06, Rewards Eval: 622.45, Total Timesteps: 9264550 episode:98 

Rewards Tr: 645.82, Rewards Val: 632.99, Rewards Disc: 0.59, Rewards Eval: 582.13, Total Timesteps: 9417740 episode:99 

Rewards Tr: 673.60, Rewards Val: 670.09, Rewards Disc: 0.37, Rewards Eval: 685.77, Total Timesteps: 9588750 episode:100 

Rewards Tr: 693.71, Rewards Val: 724.24, Rewards Disc: 0.02, Rewards Eval: 623.91, Total Timesteps: 9776640 episode:101 

Rewards Tr: 744.48, Rewards Val: 734.79, Rewards Disc: 0.28, Rewards Eval: 710.27, Total Timesteps: 9984630 episode:102 

Rewards Tr: 759.07, Rewards Val: 771.51, Rewards Disc: 0.09, Rewards Eval: 731.75, Total Timesteps: 10195680 episode:103 

Rewards Tr: 723.77, Rewards Val: 736.23, Rewards Disc: 0.11, Rewards Eval: 771.67, Total Timesteps: 10400660 episode:104 

Rewards Tr: 787.84, Rewards Val: 848.08, Rewards Disc: -0.91, Rewards Eval: 789.98, Total Timesteps: 10635570 episode:105 

Rewards Tr: 752.82, Rewards Val: 794.35, Rewards Disc: -0.22, Rewards Eval: 591.99, Total Timesteps: 10847920 episode:106 

Rewards Tr: 750.14, Rewards Val: 802.19, Rewards Disc: -0.34, Rewards Eval: 675.63, Total Timesteps: 11077610 episode:107 

Rewards Tr: 735.42, Rewards Val: 722.91, Rewards Disc: -0.11, Rewards Eval: 632.06, Total Timesteps: 11271620 episode:108 

Rewards Tr: 772.45, Rewards Val: 808.62, Rewards Disc: -0.81, Rewards Eval: 550.77, Total Timesteps: 11508390 episode:109 

Rewards Tr: 814.02, Rewards Val: 813.26, Rewards Disc: -1.03, Rewards Eval: 754.14, Total Timesteps: 11723770 episode:110 

Rewards Tr: 785.79, Rewards Val: 758.94, Rewards Disc: -0.12, Rewards Eval: 669.49, Total Timesteps: 11934540 episode:111 

Rewards Tr: 800.26, Rewards Val: 776.67, Rewards Disc: -0.31, Rewards Eval: 660.90, Total Timesteps: 12156000 episode:112 

Rewards Tr: 772.39, Rewards Val: 804.71, Rewards Disc: -0.41, Rewards Eval: 709.25, Total Timesteps: 12377560 episode:113 

