For Seed: 1 

Rewards Tr: 1272.90, Rewards Val: 1347.34, Rewards Eval: 1493.00, Total Timesteps: 11467120 episode:80 

Rewards Tr: 1444.56, Rewards Val: 1414.51, Rewards Eval: 1385.21, Total Timesteps: 11725150 episode:81 

Rewards Tr: 1414.14, Rewards Val: 1447.28, Rewards Eval: 1124.21, Total Timesteps: 11992270 episode:82 

Rewards Tr: 1791.52, Rewards Val: 1813.98, Rewards Eval: 1316.90, Total Timesteps: 12292800 episode:83 

Rewards Tr: 1317.76, Rewards Val: 1288.36, Rewards Eval: 1316.63, Total Timesteps: 12526650 episode:84 

Rewards Tr: 1303.35, Rewards Val: 1321.60, Rewards Eval: 1145.51, Total Timesteps: 12771200 episode:85 

Rewards Tr: 1118.63, Rewards Val: 1140.06, Rewards Eval: 1387.67, Total Timesteps: 12983780 episode:86 

Rewards Tr: 1475.64, Rewards Val: 1426.02, Rewards Eval: 1813.21, Total Timesteps: 13250210 episode:87 

Rewards Tr: 1361.64, Rewards Val: 1423.51, Rewards Eval: 1241.40, Total Timesteps: 13525270 episode:88 

Rewards Tr: 1740.87, Rewards Val: 1654.01, Rewards Eval: 1600.56, Total Timesteps: 13841500 episode:89 

Rewards Tr: 1375.80, Rewards Val: 1469.71, Rewards Eval: 1343.55, Total Timesteps: 14106600 episode:90 

Rewards Tr: 1588.93, Rewards Val: 1596.32, Rewards Eval: 1488.61, Total Timesteps: 14401050 episode:91 

Rewards Tr: 1423.51, Rewards Val: 1499.86, Rewards Eval: 1366.68, Total Timesteps: 14682810 episode:92 

Rewards Tr: 1342.02, Rewards Val: 1355.08, Rewards Eval: 1197.17, Total Timesteps: 14970500 episode:93 

Rewards Tr: 1343.80, Rewards Val: 1297.42, Rewards Eval: 2012.49, Total Timesteps: 15237220 episode:94 

Rewards Tr: 1336.77, Rewards Val: 1357.69, Rewards Eval: 1091.93, Total Timesteps: 15509950 episode:95 

Rewards Tr: 1497.99, Rewards Val: 1427.44, Rewards Eval: 1507.28, Total Timesteps: 15788450 episode:96 

Rewards Tr: 1594.82, Rewards Val: 1626.28, Rewards Eval: 1493.20, Total Timesteps: 16106710 episode:97 

Rewards Tr: 1654.75, Rewards Val: 1655.14, Rewards Eval: 1829.25, Total Timesteps: 16439030 episode:98 

Rewards Tr: 1512.25, Rewards Val: 1558.99, Rewards Eval: 1068.15, Total Timesteps: 16739830 episode:99 

Rewards Tr: 1424.69, Rewards Val: 1318.43, Rewards Eval: 1325.04, Total Timesteps: 17034380 episode:100 

