For Seed: 1 

Rewards Tr: 16.69, Rewards Eval: 0.00, Total Timesteps: 9520 episode:0 
Rewards Tr: 1676.86, Rewards Eval: 1513.08, Total Timesteps: 11917670 episode:99 

Rewards Tr: 1664.56, Rewards Eval: 2346.44, Total Timesteps: 12110850 episode:100 

Rewards Tr: 1660.75, Rewards Eval: 1770.96, Total Timesteps: 12304980 episode:101 

Rewards Tr: 1613.89, Rewards Eval: 1463.77, Total Timesteps: 12497440 episode:102 

Rewards Tr: 1696.05, Rewards Eval: 1012.71, Total Timesteps: 12697440 episode:103 

Rewards Tr: 1718.65, Rewards Eval: 1555.68, Total Timesteps: 12894410 episode:104 

Rewards Tr: 1734.20, Rewards Eval: 1662.96, Total Timesteps: 13089660 episode:105 

Rewards Tr: 1607.52, Rewards Eval: 1403.23, Total Timesteps: 13278640 episode:106 

Rewards Tr: 1593.74, Rewards Eval: 2140.85, Total Timesteps: 13470840 episode:107 

Rewards Tr: 1669.07, Rewards Eval: 1714.09, Total Timesteps: 13667280 episode:108 

Rewards Tr: 1713.31, Rewards Eval: 2100.39, Total Timesteps: 13867280 episode:109 

Rewards Tr: 1620.21, Rewards Eval: 1221.04, Total Timesteps: 14058230 episode:110 

Rewards Tr: 1583.36, Rewards Eval: 1144.47, Total Timesteps: 14256990 episode:111 

Rewards Tr: 1548.78, Rewards Eval: 2021.64, Total Timesteps: 14450700 episode:112 

Rewards Tr: 1560.07, Rewards Eval: 1389.22, Total Timesteps: 14642780 episode:113 

Rewards Tr: 1651.10, Rewards Eval: 1470.55, Total Timesteps: 14833590 episode:114 

Rewards Tr: 1732.37, Rewards Eval: 1637.23, Total Timesteps: 15030080 episode:115 

Rewards Tr: 1840.23, Rewards Eval: 1234.40, Total Timesteps: 15226130 episode:116 

Rewards Tr: 1761.57, Rewards Eval: 2027.07, Total Timesteps: 15426130 episode:117 

Rewards Tr: 1661.51, Rewards Eval: 1567.12, Total Timesteps: 15616090 episode:118 

Rewards Tr: 1632.50, Rewards Eval: 1552.61, Total Timesteps: 15808410 episode:119 

Rewards Tr: 1601.51, Rewards Eval: 1456.90, Total Timesteps: 16004190 episode:120 

Rewards Tr: 1738.12, Rewards Eval: 1337.88, Total Timesteps: 16200750 episode:121 

Rewards Tr: 1487.10, Rewards Eval: 1215.86, Total Timesteps: 16380170 episode:122 

Rewards Tr: 1755.61, Rewards Eval: 1722.77, Total Timesteps: 16577260 episode:123 

Rewards Tr: 1816.61, Rewards Eval: 1036.38, Total Timesteps: 16770250 episode:124 

Rewards Tr: 1541.17, Rewards Eval: 1558.44, Total Timesteps: 16957230 episode:125 

Rewards Tr: 1766.17, Rewards Eval: 1350.54, Total Timesteps: 17148960 episode:126 

Rewards Tr: 1786.65, Rewards Eval: 1171.94, Total Timesteps: 17344000 episode:127 

Rewards Tr: 1561.93, Rewards Eval: 1587.46, Total Timesteps: 17517300 episode:128 

Rewards Tr: 1554.96, Rewards Eval: 1386.34, Total Timesteps: 17701080 episode:129 

Rewards Tr: 1452.95, Rewards Eval: 1494.58, Total Timesteps: 17873130 episode:130 

Rewards Tr: 1680.31, Rewards Eval: 1360.07, Total Timesteps: 18064500 episode:131 

Rewards Tr: 1740.16, Rewards Eval: 1491.15, Total Timesteps: 18259480 episode:132 

Rewards Tr: 1784.05, Rewards Eval: 1830.53, Total Timesteps: 18458460 episode:133 

Rewards Tr: 1649.08, Rewards Eval: 2021.26, Total Timesteps: 18645800 episode:134 

Rewards Tr: 1701.67, Rewards Eval: 2000.65, Total Timesteps: 18840330 episode:135 

Rewards Tr: 1702.89, Rewards Eval: 1581.29, Total Timesteps: 19039470 episode:136 

Rewards Tr: 1685.49, Rewards Eval: 2293.38, Total Timesteps: 19229780 episode:137 

Rewards Tr: 1696.22, Rewards Eval: 1518.70, Total Timesteps: 19425250 episode:138 

Rewards Tr: 1799.36, Rewards Eval: 2052.36, Total Timesteps: 19616800 episode:139 

Rewards Tr: 1906.55, Rewards Eval: 1671.94, Total Timesteps: 19815380 episode:140 

Rewards Tr: 1936.44, Rewards Eval: 2410.87, Total Timesteps: 20015380 episode:141 

Rewards Tr: 1835.89, Rewards Eval: 2152.44, Total Timesteps: 20208670 episode:142 

Rewards Tr: 1715.35, Rewards Eval: 1424.66, Total Timesteps: 20400160 episode:143 

Rewards Tr: 1666.27, Rewards Eval: 1572.78, Total Timesteps: 20585850 episode:144 

Rewards Tr: 1808.46, Rewards Eval: 1767.45, Total Timesteps: 20782380 episode:145 

Rewards Tr: 1789.92, Rewards Eval: 2405.42, Total Timesteps: 20974350 episode:146 

Rewards Tr: 1828.94, Rewards Eval: 2487.88, Total Timesteps: 21174350 episode:147 

Rewards Tr: 1690.42, Rewards Eval: 1714.45, Total Timesteps: 21368610 episode:148 

Rewards Tr: 1655.98, Rewards Eval: 1903.63, Total Timesteps: 21564600 episode:149 

Rewards Tr: 1588.49, Rewards Eval: 1207.21, Total Timesteps: 21752880 episode:150 

Rewards Tr: 1506.34, Rewards Eval: 1862.36, Total Timesteps: 21926720 episode:151 

Rewards Tr: 1686.51, Rewards Eval: 1601.65, Total Timesteps: 22117780 episode:152 

Rewards Tr: 1557.07, Rewards Eval: 1229.99, Total Timesteps: 22287920 episode:153 

Rewards Tr: 1510.73, Rewards Eval: 1956.46, Total Timesteps: 22469820 episode:154 

Rewards Tr: 1503.99, Rewards Eval: 1389.76, Total Timesteps: 22653780 episode:155 

Rewards Tr: 1586.78, Rewards Eval: 1482.62, Total Timesteps: 22839040 episode:156 

Rewards Tr: 1607.12, Rewards Eval: 1659.46, Total Timesteps: 23021290 episode:157 

Rewards Tr: 1611.80, Rewards Eval: 1617.21, Total Timesteps: 23203050 episode:158 

Rewards Tr: 1613.65, Rewards Eval: 1754.83, Total Timesteps: 23389590 episode:159 

Rewards Tr: 1777.97, Rewards Eval: 1630.72, Total Timesteps: 23581600 episode:160 

Rewards Tr: 1689.85, Rewards Eval: 1959.60, Total Timesteps: 23767710 episode:161 

