For Seed: 1 

Rewards Tr: 54.84, Rewards Eval: 68.09, Total Timesteps: 23996630 episode:166 

Rewards Tr: 58.87, Rewards Eval: 67.26, Total Timesteps: 24196630 episode:167 

Rewards Tr: 64.39, Rewards Eval: 58.59, Total Timesteps: 24396630 episode:168 

Rewards Tr: 60.76, Rewards Eval: 89.68, Total Timesteps: 24596630 episode:169 

Rewards Tr: 62.53, Rewards Eval: 97.02, Total Timesteps: 24796630 episode:170 

Rewards Tr: 71.87, Rewards Eval: 58.65, Total Timesteps: 24996630 episode:171 

Rewards Tr: 77.56, Rewards Eval: 91.22, Total Timesteps: 25196630 episode:172 

Rewards Tr: 76.26, Rewards Eval: 88.47, Total Timesteps: 25396630 episode:173 

Rewards Tr: 76.86, Rewards Eval: 66.69, Total Timesteps: 25596630 episode:174 

Rewards Tr: 75.74, Rewards Eval: 86.64, Total Timesteps: 25796630 episode:175 

Rewards Tr: 82.10, Rewards Eval: 84.31, Total Timesteps: 25996630 episode:176 

Rewards Tr: 81.37, Rewards Eval: 88.93, Total Timesteps: 26196630 episode:177 

Rewards Tr: 87.31, Rewards Eval: 111.34, Total Timesteps: 26396630 episode:178 

Rewards Tr: 91.55, Rewards Eval: 108.55, Total Timesteps: 26596630 episode:179 

Rewards Tr: 90.17, Rewards Eval: 113.19, Total Timesteps: 26796630 episode:180 

Rewards Tr: 94.50, Rewards Eval: 95.25, Total Timesteps: 26996630 episode:181 

Rewards Tr: 99.07, Rewards Eval: 70.97, Total Timesteps: 27196630 episode:182 

Rewards Tr: 97.72, Rewards Eval: 124.47, Total Timesteps: 27396630 episode:183 

Rewards Tr: 98.05, Rewards Eval: 83.47, Total Timesteps: 27596630 episode:184 

Rewards Tr: 106.76, Rewards Eval: 128.09, Total Timesteps: 27796630 episode:185 

Rewards Tr: 100.76, Rewards Eval: 94.85, Total Timesteps: 27996630 episode:186 

Rewards Tr: 107.83, Rewards Eval: 111.66, Total Timesteps: 28196630 episode:187 

