For Seed: 1 

Rewards Tr: 1213.64, Rewards Disc: 0.75, Rewards Eval: 1098.13, Total Timesteps: 8233740 episode:105 

Rewards Tr: 1209.43, Rewards Disc: 0.76, Rewards Eval: 1217.88, Total Timesteps: 8397260 episode:106 

Rewards Tr: 1227.94, Rewards Disc: 0.76, Rewards Eval: 954.85, Total Timesteps: 8561530 episode:107 

Rewards Tr: 1086.02, Rewards Disc: 0.77, Rewards Eval: 923.51, Total Timesteps: 8700030 episode:108 

Rewards Tr: 1204.56, Rewards Disc: 0.77, Rewards Eval: 1185.31, Total Timesteps: 8853310 episode:109 

Rewards Tr: 1079.94, Rewards Disc: 0.75, Rewards Eval: 1089.05, Total Timesteps: 8989430 episode:110 

Rewards Tr: 1222.91, Rewards Disc: 0.78, Rewards Eval: 1078.72, Total Timesteps: 9139290 episode:111 

Rewards Tr: 1226.61, Rewards Disc: 0.81, Rewards Eval: 1274.61, Total Timesteps: 9293450 episode:112 

Rewards Tr: 1324.24, Rewards Disc: 0.80, Rewards Eval: 850.02, Total Timesteps: 9475340 episode:113 

Rewards Tr: 1303.21, Rewards Disc: 0.82, Rewards Eval: 1188.64, Total Timesteps: 9641740 episode:114 

Rewards Tr: 1277.64, Rewards Disc: 0.75, Rewards Eval: 1329.06, Total Timesteps: 9797040 episode:115 

Rewards Tr: 1310.15, Rewards Disc: 0.74, Rewards Eval: 1122.15, Total Timesteps: 9950880 episode:116 

Rewards Tr: 1410.96, Rewards Disc: 0.71, Rewards Eval: 1203.71, Total Timesteps: 10116070 episode:117 

Rewards Tr: 1302.84, Rewards Disc: 0.76, Rewards Eval: 1116.42, Total Timesteps: 10269970 episode:118 

Rewards Tr: 1287.25, Rewards Disc: 0.73, Rewards Eval: 1142.44, Total Timesteps: 10412370 episode:119 

Rewards Tr: 1263.86, Rewards Disc: 0.72, Rewards Eval: 976.56, Total Timesteps: 10557550 episode:120 

Rewards Tr: 1166.62, Rewards Disc: 0.73, Rewards Eval: 1244.57, Total Timesteps: 10689420 episode:121 

Rewards Tr: 1208.74, Rewards Disc: 0.73, Rewards Eval: 1117.81, Total Timesteps: 10820450 episode:122 

Rewards Tr: 1182.30, Rewards Disc: 0.73, Rewards Eval: 853.70, Total Timesteps: 10951200 episode:123 

Rewards Tr: 1261.43, Rewards Disc: 0.71, Rewards Eval: 887.83, Total Timesteps: 11084740 episode:124 

Rewards Tr: 1312.61, Rewards Disc: 0.72, Rewards Eval: 1333.87, Total Timesteps: 11232380 episode:125 

Rewards Tr: 1394.80, Rewards Disc: 0.73, Rewards Eval: 1057.53, Total Timesteps: 11394260 episode:126 

Rewards Tr: 1381.93, Rewards Disc: 0.72, Rewards Eval: 948.08, Total Timesteps: 11543730 episode:127 

Rewards Tr: 1294.81, Rewards Disc: 0.76, Rewards Eval: 1250.31, Total Timesteps: 11702060 episode:128 

Rewards Tr: 1446.98, Rewards Disc: 0.78, Rewards Eval: 1050.07, Total Timesteps: 11876020 episode:129 

Rewards Tr: 1506.77, Rewards Disc: 0.75, Rewards Eval: 1147.06, Total Timesteps: 12043970 episode:130 

Rewards Tr: 1438.13, Rewards Disc: 0.71, Rewards Eval: 1046.65, Total Timesteps: 12201390 episode:131 

Rewards Tr: 1388.03, Rewards Disc: 0.76, Rewards Eval: 987.95, Total Timesteps: 12357350 episode:132 

Rewards Tr: 1458.17, Rewards Disc: 0.74, Rewards Eval: 958.08, Total Timesteps: 12528860 episode:133 

Rewards Tr: 1457.50, Rewards Disc: 0.70, Rewards Eval: 1120.81, Total Timesteps: 12692130 episode:134 

Rewards Tr: 1415.95, Rewards Disc: 0.75, Rewards Eval: 1066.63, Total Timesteps: 12858270 episode:135 

Rewards Tr: 1427.10, Rewards Disc: 0.72, Rewards Eval: 1193.18, Total Timesteps: 13022550 episode:136 

Rewards Tr: 1358.57, Rewards Disc: 0.70, Rewards Eval: 1344.15, Total Timesteps: 13175940 episode:137 

Rewards Tr: 1347.25, Rewards Disc: 0.74, Rewards Eval: 880.77, Total Timesteps: 13334180 episode:138 

Rewards Tr: 1408.60, Rewards Disc: 0.76, Rewards Eval: 949.75, Total Timesteps: 13498040 episode:139 

Rewards Tr: 1368.09, Rewards Disc: 0.76, Rewards Eval: 1427.67, Total Timesteps: 13663990 episode:140 

Rewards Tr: 1344.92, Rewards Disc: 0.73, Rewards Eval: 1403.19, Total Timesteps: 13819220 episode:141 

Rewards Tr: 1430.51, Rewards Disc: 0.74, Rewards Eval: 837.16, Total Timesteps: 13996560 episode:142 

Rewards Tr: 1586.00, Rewards Disc: 0.74, Rewards Eval: 1220.25, Total Timesteps: 14182740 episode:143 

Rewards Tr: 1549.35, Rewards Disc: 0.77, Rewards Eval: 902.60, Total Timesteps: 14350680 episode:144 

Rewards Tr: 1557.76, Rewards Disc: 0.76, Rewards Eval: 1355.58, Total Timesteps: 14522840 episode:145 

Rewards Tr: 1569.10, Rewards Disc: 0.78, Rewards Eval: 1030.41, Total Timesteps: 14702420 episode:146 

Rewards Tr: 1648.90, Rewards Disc: 0.76, Rewards Eval: 1206.63, Total Timesteps: 14882220 episode:147 

Rewards Tr: 1534.13, Rewards Disc: 0.77, Rewards Eval: 823.79, Total Timesteps: 15048210 episode:148 

Rewards Tr: 1680.11, Rewards Disc: 0.76, Rewards Eval: 1209.65, Total Timesteps: 15226450 episode:149 

Rewards Tr: 1775.31, Rewards Disc: 0.76, Rewards Eval: 1247.48, Total Timesteps: 15419410 episode:150 

Rewards Tr: 1732.04, Rewards Disc: 0.78, Rewards Eval: 1078.53, Total Timesteps: 15601620 episode:151 

Rewards Tr: 1606.27, Rewards Disc: 0.78, Rewards Eval: 1066.32, Total Timesteps: 15782780 episode:152 

Rewards Tr: 1490.41, Rewards Disc: 0.78, Rewards Eval: 1003.55, Total Timesteps: 15955620 episode:153 

Rewards Tr: 1634.90, Rewards Disc: 0.75, Rewards Eval: 1220.79, Total Timesteps: 16134110 episode:154 

Rewards Tr: 1697.15, Rewards Disc: 0.80, Rewards Eval: 1375.88, Total Timesteps: 16317970 episode:155 

Rewards Tr: 1556.52, Rewards Disc: 0.75, Rewards Eval: 1049.28, Total Timesteps: 16494790 episode:156 

