
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 103 

Rewards Tr: 157.27, Rewards Eval: 165.32, Total Timesteps: 49518400 episode:189 

Rewards Tr: 155.88, Rewards Eval: 173.00, Total Timesteps: 49818400 episode:190 

Rewards Tr: 155.50, Rewards Eval: 148.60, Total Timesteps: 50118400 episode:191 

Rewards Tr: 148.17, Rewards Eval: 155.95, Total Timesteps: 50418400 episode:192 

Rewards Tr: 150.31, Rewards Eval: 167.56, Total Timesteps: 50718400 episode:193 

Rewards Tr: 151.26, Rewards Eval: 153.39, Total Timesteps: 51018400 episode:194 

Rewards Tr: 152.69, Rewards Eval: 151.17, Total Timesteps: 51318400 episode:195 

Rewards Tr: 162.98, Rewards Eval: 154.46, Total Timesteps: 51618400 episode:196 

Rewards Tr: 146.25, Rewards Eval: 155.54, Total Timesteps: 51918400 episode:197 

Rewards Tr: 157.13, Rewards Eval: 128.17, Total Timesteps: 52210100 episode:198 

Rewards Tr: 163.53, Rewards Eval: 157.77, Total Timesteps: 52510100 episode:199 

Rewards Tr: 152.20, Rewards Eval: 146.86, Total Timesteps: 52810100 episode:200 

Rewards Tr: 163.39, Rewards Eval: 128.57, Total Timesteps: 53110100 episode:201 

Rewards Tr: 156.87, Rewards Eval: 144.14, Total Timesteps: 53410100 episode:202 

Rewards Tr: 157.35, Rewards Eval: 149.15, Total Timesteps: 53710100 episode:203 

Rewards Tr: 158.90, Rewards Eval: 161.25, Total Timesteps: 54010100 episode:204 

Rewards Tr: 165.02, Rewards Eval: 154.42, Total Timesteps: 54310100 episode:205 

Rewards Tr: 156.73, Rewards Eval: 162.64, Total Timesteps: 54610100 episode:206 

Rewards Tr: 156.33, Rewards Eval: 174.73, Total Timesteps: 54910100 episode:207 

Rewards Tr: 159.94, Rewards Eval: 157.34, Total Timesteps: 55210100 episode:208 

Rewards Tr: 154.01, Rewards Eval: 126.43, Total Timesteps: 55510100 episode:209 

Rewards Tr: 160.08, Rewards Eval: 170.96, Total Timesteps: 55810100 episode:210 

Rewards Tr: 154.49, Rewards Eval: 153.84, Total Timesteps: 56110100 episode:211 

