For Seed: 3 

Rewards Tr: -149.43, Rewards Eval: -132.57, Total Timesteps: 100000 episode:0 
Rewards Tr: 1140.39, Rewards Eval: 1162.97, Total Timesteps: 9800000 episode:97 

Rewards Tr: 1143.51, Rewards Eval: 1104.30, Total Timesteps: 9900000 episode:98 

Rewards Tr: 1143.83, Rewards Eval: 1151.05, Total Timesteps: 10000000 episode:99 

Rewards Tr: 1152.75, Rewards Eval: 1169.87, Total Timesteps: 10100000 episode:100 

Rewards Tr: 1165.22, Rewards Eval: 1203.00, Total Timesteps: 10200000 episode:101 

Rewards Tr: 1159.83, Rewards Eval: 1144.51, Total Timesteps: 10300000 episode:102 

Rewards Tr: 1153.27, Rewards Eval: 1155.61, Total Timesteps: 10400000 episode:103 

Rewards Tr: 1154.64, Rewards Eval: 1170.22, Total Timesteps: 10500000 episode:104 

Rewards Tr: 1154.75, Rewards Eval: 1109.90, Total Timesteps: 10600000 episode:105 

Rewards Tr: 1178.39, Rewards Eval: 1162.00, Total Timesteps: 10700000 episode:106 

Rewards Tr: 1176.64, Rewards Eval: 1193.03, Total Timesteps: 10800000 episode:107 

Rewards Tr: 1183.45, Rewards Eval: 1172.09, Total Timesteps: 10900000 episode:108 

Rewards Tr: 1178.68, Rewards Eval: 1146.55, Total Timesteps: 11000000 episode:109 

Rewards Tr: 1189.86, Rewards Eval: 1205.13, Total Timesteps: 11100000 episode:110 

Rewards Tr: 1193.88, Rewards Eval: 1181.82, Total Timesteps: 11200000 episode:111 

Rewards Tr: 1185.83, Rewards Eval: 1210.47, Total Timesteps: 11300000 episode:112 

Rewards Tr: 1190.55, Rewards Eval: 1163.94, Total Timesteps: 11400000 episode:113 

Rewards Tr: 1189.57, Rewards Eval: 1197.34, Total Timesteps: 11500000 episode:114 

Rewards Tr: 1188.93, Rewards Eval: 1206.11, Total Timesteps: 11600000 episode:115 

Rewards Tr: 1196.74, Rewards Eval: 1210.07, Total Timesteps: 11700000 episode:116 

Rewards Tr: 1186.95, Rewards Eval: 1223.78, Total Timesteps: 11800000 episode:117 

Rewards Tr: 1203.54, Rewards Eval: 1203.69, Total Timesteps: 11900000 episode:118 

Rewards Tr: 1197.03, Rewards Eval: 1208.95, Total Timesteps: 12000000 episode:119 

Rewards Tr: 1195.85, Rewards Eval: 1196.18, Total Timesteps: 12100000 episode:120 

Rewards Tr: 1205.82, Rewards Eval: 1174.14, Total Timesteps: 12200000 episode:121 

Rewards Tr: 1204.24, Rewards Eval: 1167.31, Total Timesteps: 12300000 episode:122 

Rewards Tr: 1197.97, Rewards Eval: 1197.88, Total Timesteps: 12400000 episode:123 

Rewards Tr: 1199.19, Rewards Eval: 1207.83, Total Timesteps: 12500000 episode:124 

Rewards Tr: 1202.69, Rewards Eval: 1206.48, Total Timesteps: 12600000 episode:125 

Rewards Tr: 1199.94, Rewards Eval: 1248.99, Total Timesteps: 12700000 episode:126 

Rewards Tr: 1203.02, Rewards Eval: 1207.22, Total Timesteps: 12800000 episode:127 

Rewards Tr: 1191.87, Rewards Eval: 1215.44, Total Timesteps: 12900000 episode:128 

Rewards Tr: 1194.79, Rewards Eval: 1193.62, Total Timesteps: 13000000 episode:129 

Rewards Tr: 1203.72, Rewards Eval: 1219.90, Total Timesteps: 13100000 episode:130 

Rewards Tr: 1201.19, Rewards Eval: 1198.79, Total Timesteps: 13200000 episode:131 

Rewards Tr: 1195.12, Rewards Eval: 1202.36, Total Timesteps: 13300000 episode:132 

Rewards Tr: 1206.60, Rewards Eval: 1227.02, Total Timesteps: 13400000 episode:133 

Rewards Tr: 1198.77, Rewards Eval: 1203.21, Total Timesteps: 13500000 episode:134 

