For Seed: 1 

Rewards Tr: 734.07, Rewards Disc: 5.54, Rewards Eval: 795.06, Total Timesteps: 6831050 episode:166 

Rewards Tr: 776.15, Rewards Disc: 4.71, Rewards Eval: 876.20, Total Timesteps: 6915770 episode:167 

Rewards Tr: 757.32, Rewards Disc: 4.94, Rewards Eval: 896.43, Total Timesteps: 6992730 episode:168 

Rewards Tr: 746.91, Rewards Disc: 5.38, Rewards Eval: 822.50, Total Timesteps: 7071050 episode:169 

Rewards Tr: 758.50, Rewards Disc: 4.94, Rewards Eval: 949.44, Total Timesteps: 7153050 episode:170 

Rewards Tr: 755.24, Rewards Disc: 5.23, Rewards Eval: 827.65, Total Timesteps: 7229150 episode:171 

Rewards Tr: 753.28, Rewards Disc: 5.24, Rewards Eval: 823.06, Total Timesteps: 7304400 episode:172 

Rewards Tr: 752.32, Rewards Disc: 4.80, Rewards Eval: 759.07, Total Timesteps: 7378140 episode:173 

Rewards Tr: 739.72, Rewards Disc: 4.08, Rewards Eval: 855.01, Total Timesteps: 7449390 episode:174 

Rewards Tr: 763.45, Rewards Disc: 3.85, Rewards Eval: 790.16, Total Timesteps: 7524220 episode:175 

Rewards Tr: 746.62, Rewards Disc: 4.27, Rewards Eval: 754.17, Total Timesteps: 7594180 episode:176 

Rewards Tr: 754.54, Rewards Disc: 4.00, Rewards Eval: 789.92, Total Timesteps: 7668150 episode:177 

Rewards Tr: 753.19, Rewards Disc: 3.56, Rewards Eval: 798.60, Total Timesteps: 7739110 episode:178 

Rewards Tr: 723.92, Rewards Disc: 3.75, Rewards Eval: 746.96, Total Timesteps: 7807980 episode:179 

Rewards Tr: 750.14, Rewards Disc: 3.46, Rewards Eval: 833.70, Total Timesteps: 7879860 episode:180 

Rewards Tr: 748.32, Rewards Disc: 3.70, Rewards Eval: 781.46, Total Timesteps: 7951780 episode:181 

Rewards Tr: 767.32, Rewards Disc: 3.44, Rewards Eval: 951.25, Total Timesteps: 8026480 episode:182 

Rewards Tr: 763.11, Rewards Disc: 3.96, Rewards Eval: 794.96, Total Timesteps: 8103600 episode:183 

Rewards Tr: 754.53, Rewards Disc: 3.58, Rewards Eval: 826.43, Total Timesteps: 8176880 episode:184 

Rewards Tr: 763.43, Rewards Disc: 3.83, Rewards Eval: 838.04, Total Timesteps: 8249460 episode:185 

Rewards Tr: 763.78, Rewards Disc: 3.75, Rewards Eval: 731.21, Total Timesteps: 8325420 episode:186 

Rewards Tr: 771.95, Rewards Disc: 4.49, Rewards Eval: 795.57, Total Timesteps: 8407930 episode:187 

Rewards Tr: 755.89, Rewards Disc: 4.59, Rewards Eval: 832.30, Total Timesteps: 8481750 episode:188 

Rewards Tr: 764.47, Rewards Disc: 4.10, Rewards Eval: 832.76, Total Timesteps: 8560000 episode:189 

Rewards Tr: 778.43, Rewards Disc: 4.12, Rewards Eval: 829.49, Total Timesteps: 8635790 episode:190 

Rewards Tr: 772.95, Rewards Disc: 4.08, Rewards Eval: 792.21, Total Timesteps: 8713410 episode:191 

Rewards Tr: 762.31, Rewards Disc: 4.23, Rewards Eval: 742.67, Total Timesteps: 8789060 episode:192 

Rewards Tr: 837.22, Rewards Disc: 3.73, Rewards Eval: 919.07, Total Timesteps: 8877780 episode:193 

Rewards Tr: 760.25, Rewards Disc: 4.96, Rewards Eval: 896.35, Total Timesteps: 8955030 episode:194 

Rewards Tr: 795.05, Rewards Disc: 5.00, Rewards Eval: 806.60, Total Timesteps: 9038130 episode:195 

Rewards Tr: 776.53, Rewards Disc: 4.81, Rewards Eval: 786.85, Total Timesteps: 9114050 episode:196 

Rewards Tr: 761.03, Rewards Disc: 5.91, Rewards Eval: 815.37, Total Timesteps: 9189380 episode:197 

Rewards Tr: 810.07, Rewards Disc: 5.24, Rewards Eval: 853.99, Total Timesteps: 9273030 episode:198 

Rewards Tr: 798.28, Rewards Disc: 5.34, Rewards Eval: 808.42, Total Timesteps: 9359560 episode:199 

Rewards Tr: 780.46, Rewards Disc: 5.16, Rewards Eval: 896.62, Total Timesteps: 9438090 episode:200 

Rewards Tr: 825.11, Rewards Disc: 5.09, Rewards Eval: 935.92, Total Timesteps: 9530470 episode:201 

Rewards Tr: 768.79, Rewards Disc: 5.56, Rewards Eval: 809.97, Total Timesteps: 9608190 episode:202 

Rewards Tr: 788.29, Rewards Disc: 6.35, Rewards Eval: 890.43, Total Timesteps: 9693250 episode:203 

Rewards Tr: 814.21, Rewards Disc: 5.56, Rewards Eval: 966.08, Total Timesteps: 9792800 episode:204 

Rewards Tr: 810.95, Rewards Disc: 6.48, Rewards Eval: 1138.93, Total Timesteps: 9884410 episode:205 

Rewards Tr: 838.46, Rewards Disc: 6.44, Rewards Eval: 910.76, Total Timesteps: 9988840 episode:206 

Rewards Tr: 880.62, Rewards Disc: 6.97, Rewards Eval: 931.95, Total Timesteps: 10103510 episode:207 

Rewards Tr: 871.30, Rewards Disc: 7.39, Rewards Eval: 1129.96, Total Timesteps: 10211550 episode:208 

Rewards Tr: 841.40, Rewards Disc: 5.66, Rewards Eval: 870.04, Total Timesteps: 10311480 episode:209 

Rewards Tr: 820.51, Rewards Disc: 5.64, Rewards Eval: 955.99, Total Timesteps: 10401500 episode:210 

Rewards Tr: 871.03, Rewards Disc: 5.61, Rewards Eval: 880.70, Total Timesteps: 10514120 episode:211 

Rewards Tr: 840.15, Rewards Disc: 5.16, Rewards Eval: 822.54, Total Timesteps: 10611560 episode:212 

Rewards Tr: 800.62, Rewards Disc: 4.85, Rewards Eval: 887.06, Total Timesteps: 10689560 episode:213 

Rewards Tr: 801.73, Rewards Disc: 4.78, Rewards Eval: 844.43, Total Timesteps: 10771160 episode:214 

Rewards Tr: 791.23, Rewards Disc: 4.89, Rewards Eval: 828.76, Total Timesteps: 10850670 episode:215 

Rewards Tr: 800.28, Rewards Disc: 4.46, Rewards Eval: 811.34, Total Timesteps: 10937150 episode:216 

Rewards Tr: 812.42, Rewards Disc: 4.08, Rewards Eval: 766.89, Total Timesteps: 11029640 episode:217 

Rewards Tr: 806.92, Rewards Disc: 4.59, Rewards Eval: 885.02, Total Timesteps: 11113720 episode:218 

Rewards Tr: 837.62, Rewards Disc: 5.28, Rewards Eval: 818.32, Total Timesteps: 11205630 episode:219 

Rewards Tr: 823.56, Rewards Disc: 5.31, Rewards Eval: 948.84, Total Timesteps: 11291150 episode:220 

Rewards Tr: 806.99, Rewards Disc: 4.67, Rewards Eval: 1078.34, Total Timesteps: 11370660 episode:221 

Rewards Tr: 832.95, Rewards Disc: 4.57, Rewards Eval: 801.77, Total Timesteps: 11458200 episode:222 

Rewards Tr: 782.06, Rewards Disc: 5.11, Rewards Eval: 866.96, Total Timesteps: 11537750 episode:223 

Rewards Tr: 822.23, Rewards Disc: 4.19, Rewards Eval: 706.63, Total Timesteps: 11618680 episode:224 

Rewards Tr: 828.71, Rewards Disc: 4.37, Rewards Eval: 822.45, Total Timesteps: 11707460 episode:225 

Rewards Tr: 815.00, Rewards Disc: 3.95, Rewards Eval: 851.25, Total Timesteps: 11787760 episode:226 

Rewards Tr: 773.02, Rewards Disc: 4.28, Rewards Eval: 842.44, Total Timesteps: 11862070 episode:227 

Rewards Tr: 796.29, Rewards Disc: 3.90, Rewards Eval: 836.85, Total Timesteps: 11938030 episode:228 

Rewards Tr: 791.56, Rewards Disc: 4.28, Rewards Eval: 856.31, Total Timesteps: 12015040 episode:229 

Rewards Tr: 799.52, Rewards Disc: 3.92, Rewards Eval: 799.40, Total Timesteps: 12092190 episode:230 

Rewards Tr: 784.07, Rewards Disc: 4.14, Rewards Eval: 918.77, Total Timesteps: 12169120 episode:231 

Rewards Tr: 793.10, Rewards Disc: 4.20, Rewards Eval: 835.38, Total Timesteps: 12244410 episode:232 

Rewards Tr: 804.89, Rewards Disc: 4.55, Rewards Eval: 931.26, Total Timesteps: 12321700 episode:233 

Rewards Tr: 806.72, Rewards Disc: 4.53, Rewards Eval: 847.88, Total Timesteps: 12403420 episode:234 

Rewards Tr: 803.36, Rewards Disc: 4.53, Rewards Eval: 927.65, Total Timesteps: 12480960 episode:235 

Rewards Tr: 816.75, Rewards Disc: 4.52, Rewards Eval: 900.24, Total Timesteps: 12562000 episode:236 

