For Seed: 1 

Rewards Tr: 2054.98, Rewards Disc: 0.65, Rewards Eval: 2452.95, Total Timesteps: 13478100 episode:137 

Rewards Tr: 1985.77, Rewards Disc: 0.66, Rewards Eval: 1757.86, Total Timesteps: 13665350 episode:138 

Rewards Tr: 1870.78, Rewards Disc: 0.66, Rewards Eval: 2239.76, Total Timesteps: 13850120 episode:139 

Rewards Tr: 1916.00, Rewards Disc: 0.75, Rewards Eval: 2048.99, Total Timesteps: 14044110 episode:140 

Rewards Tr: 2016.82, Rewards Disc: 0.67, Rewards Eval: 1871.21, Total Timesteps: 14236280 episode:141 

Rewards Tr: 1989.14, Rewards Disc: 0.73, Rewards Eval: 2379.70, Total Timesteps: 14423550 episode:142 

Rewards Tr: 2016.93, Rewards Disc: 0.53, Rewards Eval: 2003.74, Total Timesteps: 14604920 episode:143 

Rewards Tr: 1882.26, Rewards Disc: 0.63, Rewards Eval: 2147.52, Total Timesteps: 14777350 episode:144 

Rewards Tr: 1904.59, Rewards Disc: 0.63, Rewards Eval: 1668.15, Total Timesteps: 14963430 episode:145 

Rewards Tr: 1894.93, Rewards Disc: 0.73, Rewards Eval: 2038.91, Total Timesteps: 15155280 episode:146 

Rewards Tr: 1802.71, Rewards Disc: 0.69, Rewards Eval: 2693.78, Total Timesteps: 15341270 episode:147 

Rewards Tr: 1811.02, Rewards Disc: 0.75, Rewards Eval: 2313.41, Total Timesteps: 15527830 episode:148 

Rewards Tr: 1922.56, Rewards Disc: 0.77, Rewards Eval: 2075.06, Total Timesteps: 15717650 episode:149 

Rewards Tr: 1874.68, Rewards Disc: 0.71, Rewards Eval: 2277.19, Total Timesteps: 15904680 episode:150 

Rewards Tr: 1993.92, Rewards Disc: 0.76, Rewards Eval: 2446.20, Total Timesteps: 16097600 episode:151 

Rewards Tr: 1991.43, Rewards Disc: 0.66, Rewards Eval: 2286.37, Total Timesteps: 16282260 episode:152 

Rewards Tr: 1966.76, Rewards Disc: 0.80, Rewards Eval: 2057.78, Total Timesteps: 16474400 episode:153 

Rewards Tr: 2039.32, Rewards Disc: 0.71, Rewards Eval: 1947.60, Total Timesteps: 16668820 episode:154 

Rewards Tr: 1949.29, Rewards Disc: 0.79, Rewards Eval: 1975.48, Total Timesteps: 16862470 episode:155 

Rewards Tr: 2136.42, Rewards Disc: 0.67, Rewards Eval: 2105.06, Total Timesteps: 17056970 episode:156 

Rewards Tr: 1897.24, Rewards Disc: 0.75, Rewards Eval: 2485.77, Total Timesteps: 17248030 episode:157 

Rewards Tr: 1946.45, Rewards Disc: 0.76, Rewards Eval: 2804.51, Total Timesteps: 17442380 episode:158 

Rewards Tr: 2020.72, Rewards Disc: 0.73, Rewards Eval: 2431.87, Total Timesteps: 17630440 episode:159 

Rewards Tr: 2187.26, Rewards Disc: 0.61, Rewards Eval: 1982.37, Total Timesteps: 17823970 episode:160 

Rewards Tr: 1932.41, Rewards Disc: 0.74, Rewards Eval: 1622.92, Total Timesteps: 18014740 episode:161 

Rewards Tr: 2169.53, Rewards Disc: 0.64, Rewards Eval: 2458.47, Total Timesteps: 18207870 episode:162 

Rewards Tr: 2117.74, Rewards Disc: 0.62, Rewards Eval: 2466.05, Total Timesteps: 18396810 episode:163 

Rewards Tr: 2112.08, Rewards Disc: 0.69, Rewards Eval: 2163.57, Total Timesteps: 18588050 episode:164 

Rewards Tr: 2123.59, Rewards Disc: 0.75, Rewards Eval: 2759.61, Total Timesteps: 18787430 episode:165 

Rewards Tr: 2059.14, Rewards Disc: 0.77, Rewards Eval: 2351.06, Total Timesteps: 18981030 episode:166 

Rewards Tr: 2031.10, Rewards Disc: 0.73, Rewards Eval: 2142.18, Total Timesteps: 19180650 episode:167 

Rewards Tr: 1881.39, Rewards Disc: 0.73, Rewards Eval: 2312.62, Total Timesteps: 19371810 episode:168 

Rewards Tr: 1949.19, Rewards Disc: 0.69, Rewards Eval: 2261.16, Total Timesteps: 19564820 episode:169 

Rewards Tr: 1973.12, Rewards Disc: 0.70, Rewards Eval: 1821.41, Total Timesteps: 19759390 episode:170 

Rewards Tr: 1848.61, Rewards Disc: 0.79, Rewards Eval: 2086.37, Total Timesteps: 19945000 episode:171 

Rewards Tr: 2146.09, Rewards Disc: 0.70, Rewards Eval: 1756.97, Total Timesteps: 20137470 episode:172 

Rewards Tr: 2179.72, Rewards Disc: 0.71, Rewards Eval: 2125.72, Total Timesteps: 20337470 episode:173 

Rewards Tr: 1942.10, Rewards Disc: 0.79, Rewards Eval: 2434.45, Total Timesteps: 20532400 episode:174 

Rewards Tr: 2149.66, Rewards Disc: 0.65, Rewards Eval: 2729.36, Total Timesteps: 20726040 episode:175 

Rewards Tr: 1995.62, Rewards Disc: 0.69, Rewards Eval: 2283.80, Total Timesteps: 20911890 episode:176 

Rewards Tr: 2137.62, Rewards Disc: 0.66, Rewards Eval: 2017.81, Total Timesteps: 21106150 episode:177 

Rewards Tr: 2038.44, Rewards Disc: 0.71, Rewards Eval: 2451.31, Total Timesteps: 21301360 episode:178 

