For Seed: 1 

Rewards Tr: 15.91, Rewards Eval: 0.00, Total Timesteps: 9360 episode:0 
Rewards Tr: 2672.70, Rewards Eval: 2292.58, Total Timesteps: 30913230 episode:201 

Rewards Tr: 2438.84, Rewards Eval: 2557.66, Total Timesteps: 31110510 episode:202 

Rewards Tr: 2693.60, Rewards Eval: 2887.01, Total Timesteps: 31310510 episode:203 

Rewards Tr: 2248.56, Rewards Eval: 2555.86, Total Timesteps: 31506280 episode:204 

Rewards Tr: 2320.45, Rewards Eval: 2516.83, Total Timesteps: 31703610 episode:205 

Rewards Tr: 2428.08, Rewards Eval: 3539.95, Total Timesteps: 31903610 episode:206 

Rewards Tr: 2564.39, Rewards Eval: 1874.62, Total Timesteps: 32103610 episode:207 

Rewards Tr: 2147.50, Rewards Eval: 2247.84, Total Timesteps: 32299180 episode:208 

Rewards Tr: 2159.99, Rewards Eval: 2891.12, Total Timesteps: 32492300 episode:209 

Rewards Tr: 2365.18, Rewards Eval: 2533.90, Total Timesteps: 32692300 episode:210 

Rewards Tr: 2562.40, Rewards Eval: 3050.70, Total Timesteps: 32892300 episode:211 

Rewards Tr: 2625.67, Rewards Eval: 2397.45, Total Timesteps: 33092300 episode:212 

Rewards Tr: 2316.17, Rewards Eval: 2475.22, Total Timesteps: 33291800 episode:213 

Rewards Tr: 2660.99, Rewards Eval: 2360.44, Total Timesteps: 33491800 episode:214 

Rewards Tr: 2530.24, Rewards Eval: 2346.99, Total Timesteps: 33691800 episode:215 

Rewards Tr: 2408.24, Rewards Eval: 1937.59, Total Timesteps: 33891800 episode:216 

Rewards Tr: 2288.04, Rewards Eval: 2494.42, Total Timesteps: 34090280 episode:217 

Rewards Tr: 2367.98, Rewards Eval: 2188.47, Total Timesteps: 34290280 episode:218 

Rewards Tr: 2586.08, Rewards Eval: 1991.55, Total Timesteps: 34490280 episode:219 

Rewards Tr: 2568.22, Rewards Eval: 2152.20, Total Timesteps: 34690280 episode:220 

Rewards Tr: 2201.87, Rewards Eval: 2693.24, Total Timesteps: 34886260 episode:221 

Rewards Tr: 2408.76, Rewards Eval: 3054.21, Total Timesteps: 35085020 episode:222 

Rewards Tr: 2287.73, Rewards Eval: 2559.04, Total Timesteps: 35280320 episode:223 

Rewards Tr: 2690.87, Rewards Eval: 3533.82, Total Timesteps: 35479100 episode:224 

Rewards Tr: 2660.38, Rewards Eval: 2868.42, Total Timesteps: 35679100 episode:225 

Rewards Tr: 2778.87, Rewards Eval: 2908.73, Total Timesteps: 35879100 episode:226 

Rewards Tr: 2553.28, Rewards Eval: 2873.15, Total Timesteps: 36079100 episode:227 

Rewards Tr: 2768.68, Rewards Eval: 3174.97, Total Timesteps: 36279100 episode:228 

Rewards Tr: 2519.90, Rewards Eval: 2326.90, Total Timesteps: 36479100 episode:229 

Rewards Tr: 2200.33, Rewards Eval: 2327.84, Total Timesteps: 36676800 episode:230 

Rewards Tr: 2406.32, Rewards Eval: 2773.52, Total Timesteps: 36876790 episode:231 

Rewards Tr: 2690.65, Rewards Eval: 2739.36, Total Timesteps: 37076790 episode:232 

Rewards Tr: 2422.22, Rewards Eval: 1971.90, Total Timesteps: 37273830 episode:233 

Rewards Tr: 2354.07, Rewards Eval: 2255.39, Total Timesteps: 37473740 episode:234 

Rewards Tr: 2511.45, Rewards Eval: 2877.29, Total Timesteps: 37673740 episode:235 

Rewards Tr: 2602.84, Rewards Eval: 3042.57, Total Timesteps: 37873740 episode:236 

Rewards Tr: 2385.69, Rewards Eval: 2015.89, Total Timesteps: 38073380 episode:237 

Rewards Tr: 2723.04, Rewards Eval: 2202.07, Total Timesteps: 38273380 episode:238 

Rewards Tr: 2664.49, Rewards Eval: 3099.43, Total Timesteps: 38473380 episode:239 

Rewards Tr: 2746.64, Rewards Eval: 2047.71, Total Timesteps: 38673380 episode:240 

Rewards Tr: 2545.05, Rewards Eval: 3121.40, Total Timesteps: 38873380 episode:241 

Rewards Tr: 2689.28, Rewards Eval: 2890.74, Total Timesteps: 39073380 episode:242 

Rewards Tr: 2071.90, Rewards Eval: 2785.30, Total Timesteps: 39261370 episode:243 

Rewards Tr: 2789.99, Rewards Eval: 3376.43, Total Timesteps: 39461370 episode:244 

Rewards Tr: 2764.68, Rewards Eval: 3553.81, Total Timesteps: 39661370 episode:245 

Rewards Tr: 2464.94, Rewards Eval: 3527.94, Total Timesteps: 39861370 episode:246 

Rewards Tr: 3016.25, Rewards Eval: 2200.89, Total Timesteps: 40061370 episode:247 

Rewards Tr: 2446.02, Rewards Eval: 1946.30, Total Timesteps: 40261370 episode:248 

Rewards Tr: 2514.52, Rewards Eval: 2267.75, Total Timesteps: 40461370 episode:249 

Elapsed Time: 204.8 minutes 

For Seed: 2 

Rewards Tr: 11.51, Rewards Eval: 0.00, Total Timesteps: 6060 episode:0 

Rewards Tr: 22.38, Rewards Eval: 35.76, Total Timesteps: 14830 episode:1 

Rewards Tr: 30.09, Rewards Eval: 38.41, Total Timesteps: 24250 episode:2 

Rewards Tr: 42.67, Rewards Eval: 51.41, Total Timesteps: 34980 episode:3 

Rewards Tr: 62.64, Rewards Eval: 52.97, Total Timesteps: 49220 episode:4 

Rewards Tr: 74.74, Rewards Eval: 88.24, Total Timesteps: 65060 episode:5 

Rewards Tr: 79.46, Rewards Eval: 115.68, Total Timesteps: 81250 episode:6 

Rewards Tr: 93.63, Rewards Eval: 82.19, Total Timesteps: 99060 episode:7 

Rewards Tr: 103.79, Rewards Eval: 112.46, Total Timesteps: 118430 episode:8 

Rewards Tr: 114.59, Rewards Eval: 146.89, Total Timesteps: 139010 episode:9 

Rewards Tr: 132.04, Rewards Eval: 107.86, Total Timesteps: 162560 episode:10 

Rewards Tr: 143.22, Rewards Eval: 201.24, Total Timesteps: 185930 episode:11 

Rewards Tr: 156.77, Rewards Eval: 157.01, Total Timesteps: 210100 episode:12 

Rewards Tr: 169.62, Rewards Eval: 151.79, Total Timesteps: 235100 episode:13 

Rewards Tr: 174.95, Rewards Eval: 191.33, Total Timesteps: 258210 episode:14 

Rewards Tr: 190.16, Rewards Eval: 163.65, Total Timesteps: 283260 episode:15 

Rewards Tr: 198.74, Rewards Eval: 220.48, Total Timesteps: 306880 episode:16 

Rewards Tr: 206.17, Rewards Eval: 221.37, Total Timesteps: 329990 episode:17 

Rewards Tr: 218.48, Rewards Eval: 232.63, Total Timesteps: 353660 episode:18 

Rewards Tr: 226.37, Rewards Eval: 228.40, Total Timesteps: 378020 episode:19 

Rewards Tr: 242.04, Rewards Eval: 271.97, Total Timesteps: 402810 episode:20 

Rewards Tr: 253.51, Rewards Eval: 270.20, Total Timesteps: 428550 episode:21 

Rewards Tr: 266.63, Rewards Eval: 269.95, Total Timesteps: 454190 episode:22 

Rewards Tr: 277.87, Rewards Eval: 316.45, Total Timesteps: 480420 episode:23 

Rewards Tr: 286.93, Rewards Eval: 324.33, Total Timesteps: 507190 episode:24 

Rewards Tr: 300.06, Rewards Eval: 318.91, Total Timesteps: 534510 episode:25 

