For Seed: 3 

Rewards Tr: -158.97, Rewards Val: -157.82, Rewards Disc: 0.51, Rewards Eval: -146.83, Total Timesteps: 250000 episode:0 
Rewards Tr: 584.86, Rewards Val: 563.60, Rewards Disc: 0.56, Rewards Eval: 697.95, Total Timesteps: 22750000 episode:90 

Rewards Tr: 556.47, Rewards Val: 589.25, Rewards Disc: 0.56, Rewards Eval: 736.44, Total Timesteps: 23000000 episode:91 

Rewards Tr: 591.42, Rewards Val: 611.98, Rewards Disc: 0.56, Rewards Eval: 556.12, Total Timesteps: 23250000 episode:92 

Rewards Tr: 623.12, Rewards Val: 596.48, Rewards Disc: 0.55, Rewards Eval: 758.18, Total Timesteps: 23500000 episode:93 

Rewards Tr: 618.80, Rewards Val: 605.28, Rewards Disc: 0.55, Rewards Eval: 716.56, Total Timesteps: 23750000 episode:94 

Rewards Tr: 643.56, Rewards Val: 628.86, Rewards Disc: 0.55, Rewards Eval: 664.95, Total Timesteps: 24000000 episode:95 

Rewards Tr: 624.51, Rewards Val: 602.46, Rewards Disc: 0.56, Rewards Eval: 598.61, Total Timesteps: 24250000 episode:96 

Rewards Tr: 652.40, Rewards Val: 615.77, Rewards Disc: 0.56, Rewards Eval: 612.32, Total Timesteps: 24500000 episode:97 

Rewards Tr: 626.14, Rewards Val: 628.97, Rewards Disc: 0.55, Rewards Eval: 584.12, Total Timesteps: 24750000 episode:98 

Rewards Tr: 664.58, Rewards Val: 646.63, Rewards Disc: 0.55, Rewards Eval: 611.33, Total Timesteps: 25000000 episode:99 

Rewards Tr: 639.52, Rewards Val: 648.17, Rewards Disc: 0.56, Rewards Eval: 540.40, Total Timesteps: 25250000 episode:100 

Rewards Tr: 672.44, Rewards Val: 661.63, Rewards Disc: 0.54, Rewards Eval: 548.36, Total Timesteps: 25500000 episode:101 

Rewards Tr: 655.53, Rewards Val: 629.78, Rewards Disc: 0.56, Rewards Eval: 758.30, Total Timesteps: 25750000 episode:102 

Rewards Tr: 661.60, Rewards Val: 690.41, Rewards Disc: 0.56, Rewards Eval: 712.72, Total Timesteps: 26000000 episode:103 

Rewards Tr: 682.46, Rewards Val: 708.45, Rewards Disc: 0.55, Rewards Eval: 718.76, Total Timesteps: 26250000 episode:104 

Rewards Tr: 667.72, Rewards Val: 672.02, Rewards Disc: 0.55, Rewards Eval: 578.03, Total Timesteps: 26500000 episode:105 

Rewards Tr: 674.16, Rewards Val: 678.04, Rewards Disc: 0.55, Rewards Eval: 747.92, Total Timesteps: 26750000 episode:106 

Rewards Tr: 655.02, Rewards Val: 670.75, Rewards Disc: 0.57, Rewards Eval: 734.47, Total Timesteps: 27000000 episode:107 

Rewards Tr: 679.91, Rewards Val: 675.71, Rewards Disc: 0.56, Rewards Eval: 678.42, Total Timesteps: 27250000 episode:108 

Rewards Tr: 693.29, Rewards Val: 687.49, Rewards Disc: 0.55, Rewards Eval: 795.44, Total Timesteps: 27500000 episode:109 

Rewards Tr: 674.82, Rewards Val: 637.40, Rewards Disc: 0.57, Rewards Eval: 800.83, Total Timesteps: 27750000 episode:110 

Rewards Tr: 688.95, Rewards Val: 654.36, Rewards Disc: 0.55, Rewards Eval: 572.89, Total Timesteps: 28000000 episode:111 

Rewards Tr: 666.85, Rewards Val: 623.21, Rewards Disc: 0.56, Rewards Eval: 688.56, Total Timesteps: 28250000 episode:112 

Rewards Tr: 667.55, Rewards Val: 649.77, Rewards Disc: 0.55, Rewards Eval: 743.90, Total Timesteps: 28500000 episode:113 

Rewards Tr: 668.55, Rewards Val: 692.19, Rewards Disc: 0.56, Rewards Eval: 779.50, Total Timesteps: 28750000 episode:114 

Rewards Tr: 665.80, Rewards Val: 653.46, Rewards Disc: 0.56, Rewards Eval: 720.51, Total Timesteps: 29000000 episode:115 

Rewards Tr: 666.47, Rewards Val: 666.08, Rewards Disc: 0.54, Rewards Eval: 670.19, Total Timesteps: 29250000 episode:116 

Rewards Tr: 644.73, Rewards Val: 680.59, Rewards Disc: 0.54, Rewards Eval: 782.19, Total Timesteps: 29500000 episode:117 

Rewards Tr: 677.65, Rewards Val: 654.26, Rewards Disc: 0.55, Rewards Eval: 491.37, Total Timesteps: 29750000 episode:118 

Rewards Tr: 678.57, Rewards Val: 653.06, Rewards Disc: 0.56, Rewards Eval: 755.93, Total Timesteps: 30000000 episode:119 

Rewards Tr: 680.94, Rewards Val: 670.53, Rewards Disc: 0.54, Rewards Eval: 810.79, Total Timesteps: 30250000 episode:120 

Rewards Tr: 705.36, Rewards Val: 666.45, Rewards Disc: 0.55, Rewards Eval: 768.18, Total Timesteps: 30500000 episode:121 

Rewards Tr: 671.57, Rewards Val: 727.69, Rewards Disc: 0.55, Rewards Eval: 751.69, Total Timesteps: 30750000 episode:122 

Rewards Tr: 736.33, Rewards Val: 705.67, Rewards Disc: 0.54, Rewards Eval: 509.04, Total Timesteps: 31000000 episode:123 

