For Seed: 3 

Rewards Tr: 616.87, Rewards Val: 619.53, Rewards Disc: 3.80, Rewards Eval: 504.06, Total Timesteps: 22250000 episode:88 

Rewards Tr: 635.21, Rewards Val: 628.82, Rewards Disc: 3.71, Rewards Eval: 647.65, Total Timesteps: 22500000 episode:89 

Rewards Tr: 633.07, Rewards Val: 666.50, Rewards Disc: 3.33, Rewards Eval: 611.06, Total Timesteps: 22750000 episode:90 

Rewards Tr: 659.60, Rewards Val: 649.42, Rewards Disc: 3.51, Rewards Eval: 619.74, Total Timesteps: 23000000 episode:91 

Rewards Tr: 651.90, Rewards Val: 658.94, Rewards Disc: 3.41, Rewards Eval: 693.13, Total Timesteps: 23250000 episode:92 

Rewards Tr: 660.00, Rewards Val: 676.34, Rewards Disc: 3.24, Rewards Eval: 663.53, Total Timesteps: 23500000 episode:93 

Rewards Tr: 668.75, Rewards Val: 710.20, Rewards Disc: 2.90, Rewards Eval: 641.07, Total Timesteps: 23750000 episode:94 

Rewards Tr: 685.65, Rewards Val: 711.06, Rewards Disc: 2.89, Rewards Eval: 659.17, Total Timesteps: 24000000 episode:95 

Rewards Tr: 701.80, Rewards Val: 708.81, Rewards Disc: 2.91, Rewards Eval: 640.97, Total Timesteps: 24250000 episode:96 

Rewards Tr: 711.94, Rewards Val: 724.39, Rewards Disc: 2.76, Rewards Eval: 728.22, Total Timesteps: 24500000 episode:97 

Rewards Tr: 731.32, Rewards Val: 712.12, Rewards Disc: 2.88, Rewards Eval: 652.64, Total Timesteps: 24750000 episode:98 

Rewards Tr: 716.90, Rewards Val: 701.16, Rewards Disc: 2.99, Rewards Eval: 661.92, Total Timesteps: 25000000 episode:99 

Rewards Tr: 718.80, Rewards Val: 700.77, Rewards Disc: 2.99, Rewards Eval: 646.28, Total Timesteps: 25250000 episode:100 

Rewards Tr: 722.71, Rewards Val: 708.19, Rewards Disc: 2.92, Rewards Eval: 607.63, Total Timesteps: 25500000 episode:101 

Rewards Tr: 726.98, Rewards Val: 711.53, Rewards Disc: 2.88, Rewards Eval: 521.49, Total Timesteps: 25750000 episode:102 

Rewards Tr: 711.03, Rewards Val: 733.91, Rewards Disc: 2.66, Rewards Eval: 701.71, Total Timesteps: 26000000 episode:103 

Rewards Tr: 731.88, Rewards Val: 734.63, Rewards Disc: 2.65, Rewards Eval: 697.74, Total Timesteps: 26250000 episode:104 

Rewards Tr: 738.06, Rewards Val: 727.69, Rewards Disc: 2.72, Rewards Eval: 703.71, Total Timesteps: 26500000 episode:105 

Rewards Tr: 754.24, Rewards Val: 725.37, Rewards Disc: 2.75, Rewards Eval: 709.53, Total Timesteps: 26750000 episode:106 

Rewards Tr: 732.18, Rewards Val: 735.08, Rewards Disc: 2.65, Rewards Eval: 722.08, Total Timesteps: 27000000 episode:107 

Rewards Tr: 741.07, Rewards Val: 759.23, Rewards Disc: 2.41, Rewards Eval: 322.90, Total Timesteps: 27250000 episode:108 

Rewards Tr: 777.05, Rewards Val: 767.36, Rewards Disc: 2.33, Rewards Eval: 541.76, Total Timesteps: 27500000 episode:109 

Rewards Tr: 756.14, Rewards Val: 750.74, Rewards Disc: 2.49, Rewards Eval: 729.55, Total Timesteps: 27750000 episode:110 

Rewards Tr: 770.87, Rewards Val: 763.12, Rewards Disc: 2.37, Rewards Eval: 429.23, Total Timesteps: 28000000 episode:111 

Rewards Tr: 749.67, Rewards Val: 759.90, Rewards Disc: 2.40, Rewards Eval: 701.79, Total Timesteps: 28250000 episode:112 

Rewards Tr: 768.31, Rewards Val: 759.10, Rewards Disc: 2.41, Rewards Eval: 786.04, Total Timesteps: 28500000 episode:113 

Rewards Tr: 784.75, Rewards Val: 763.57, Rewards Disc: 2.36, Rewards Eval: 527.69, Total Timesteps: 28750000 episode:114 

Rewards Tr: 782.18, Rewards Val: 775.64, Rewards Disc: 2.24, Rewards Eval: 656.97, Total Timesteps: 29000000 episode:115 

Rewards Tr: 785.78, Rewards Val: 777.33, Rewards Disc: 2.23, Rewards Eval: 775.87, Total Timesteps: 29250000 episode:116 

Rewards Tr: 795.88, Rewards Val: 783.83, Rewards Disc: 2.16, Rewards Eval: 720.41, Total Timesteps: 29500000 episode:117 

Rewards Tr: 798.95, Rewards Val: 809.28, Rewards Disc: 1.91, Rewards Eval: 809.06, Total Timesteps: 29750000 episode:118 

Rewards Tr: 794.44, Rewards Val: 787.35, Rewards Disc: 2.13, Rewards Eval: 771.69, Total Timesteps: 30000000 episode:119 

Rewards Tr: 790.55, Rewards Val: 823.88, Rewards Disc: 1.76, Rewards Eval: 833.59, Total Timesteps: 30250000 episode:120 

Rewards Tr: 794.33, Rewards Val: 802.27, Rewards Disc: 1.98, Rewards Eval: 759.29, Total Timesteps: 30500000 episode:121 

Rewards Tr: 819.53, Rewards Val: 801.29, Rewards Disc: 1.99, Rewards Eval: 683.68, Total Timesteps: 30750000 episode:122 

Rewards Tr: 801.32, Rewards Val: 817.64, Rewards Disc: 1.82, Rewards Eval: 776.75, Total Timesteps: 31000000 episode:123 

Rewards Tr: 820.56, Rewards Val: 810.75, Rewards Disc: 1.89, Rewards Eval: 648.82, Total Timesteps: 31250000 episode:124 

Rewards Tr: 785.86, Rewards Val: 792.51, Rewards Disc: 2.07, Rewards Eval: 739.30, Total Timesteps: 31500000 episode:125 

Rewards Tr: 777.65, Rewards Val: 796.17, Rewards Disc: 2.04, Rewards Eval: 807.49, Total Timesteps: 31750000 episode:126 

Rewards Tr: 781.70, Rewards Val: 806.07, Rewards Disc: 1.94, Rewards Eval: 688.31, Total Timesteps: 32000000 episode:127 

Rewards Tr: 809.97, Rewards Val: 730.76, Rewards Disc: 2.69, Rewards Eval: 325.59, Total Timesteps: 32250000 episode:128 

Rewards Tr: 773.40, Rewards Val: 783.16, Rewards Disc: 2.17, Rewards Eval: 756.48, Total Timesteps: 32500000 episode:129 

Rewards Tr: 785.31, Rewards Val: 788.03, Rewards Disc: 2.12, Rewards Eval: 735.38, Total Timesteps: 32750000 episode:130 

Rewards Tr: 783.84, Rewards Val: 785.49, Rewards Disc: 2.15, Rewards Eval: 787.95, Total Timesteps: 33000000 episode:131 

Rewards Tr: 809.53, Rewards Val: 791.66, Rewards Disc: 2.08, Rewards Eval: 721.68, Total Timesteps: 33250000 episode:132 

Rewards Tr: 820.52, Rewards Val: 770.17, Rewards Disc: 2.30, Rewards Eval: 858.03, Total Timesteps: 33500000 episode:133 

Rewards Tr: 808.63, Rewards Val: 811.27, Rewards Disc: 1.89, Rewards Eval: 805.79, Total Timesteps: 33750000 episode:134 

Rewards Tr: 815.58, Rewards Val: 800.60, Rewards Disc: 1.99, Rewards Eval: 555.44, Total Timesteps: 34000000 episode:135 

Rewards Tr: 819.69, Rewards Val: 811.36, Rewards Disc: 1.89, Rewards Eval: 482.04, Total Timesteps: 34250000 episode:136 

Rewards Tr: 818.06, Rewards Val: 797.81, Rewards Disc: 2.02, Rewards Eval: 819.42, Total Timesteps: 34500000 episode:137 

Rewards Tr: 822.39, Rewards Val: 804.47, Rewards Disc: 1.96, Rewards Eval: 814.87, Total Timesteps: 34750000 episode:138 

Rewards Tr: 799.14, Rewards Val: 790.84, Rewards Disc: 2.09, Rewards Eval: 836.61, Total Timesteps: 35000000 episode:139 

Rewards Tr: 765.78, Rewards Val: 788.01, Rewards Disc: 2.12, Rewards Eval: 566.99, Total Timesteps: 35250000 episode:140 

Rewards Tr: 727.80, Rewards Val: 724.61, Rewards Disc: 2.75, Rewards Eval: 782.24, Total Timesteps: 35500000 episode:141 

Rewards Tr: 743.23, Rewards Val: 728.46, Rewards Disc: 2.72, Rewards Eval: 759.29, Total Timesteps: 35750000 episode:142 

Rewards Tr: 707.17, Rewards Val: 699.14, Rewards Disc: 3.01, Rewards Eval: 804.48, Total Timesteps: 36000000 episode:143 

Rewards Tr: 697.30, Rewards Val: 693.36, Rewards Disc: 3.07, Rewards Eval: 749.28, Total Timesteps: 36250000 episode:144 

Rewards Tr: 703.40, Rewards Val: 707.58, Rewards Disc: 2.92, Rewards Eval: 508.11, Total Timesteps: 36500000 episode:145 

Rewards Tr: 714.73, Rewards Val: 708.03, Rewards Disc: 2.92, Rewards Eval: 624.55, Total Timesteps: 36750000 episode:146 

Rewards Tr: 725.68, Rewards Val: 706.82, Rewards Disc: 2.93, Rewards Eval: 539.80, Total Timesteps: 37000000 episode:147 

Rewards Tr: 707.72, Rewards Val: 707.99, Rewards Disc: 2.92, Rewards Eval: 503.70, Total Timesteps: 37250000 episode:148 

Rewards Tr: 742.62, Rewards Val: 741.23, Rewards Disc: 2.59, Rewards Eval: 598.39, Total Timesteps: 37500000 episode:149 

Rewards Tr: 716.48, Rewards Val: 731.44, Rewards Disc: 2.69, Rewards Eval: 740.37, Total Timesteps: 37750000 episode:150 

Rewards Tr: 709.26, Rewards Val: 693.56, Rewards Disc: 3.06, Rewards Eval: 546.02, Total Timesteps: 38000000 episode:151 

Rewards Tr: 695.59, Rewards Val: 699.37, Rewards Disc: 3.01, Rewards Eval: 759.88, Total Timesteps: 38250000 episode:152 

Rewards Tr: 706.63, Rewards Val: 730.14, Rewards Disc: 2.70, Rewards Eval: 817.19, Total Timesteps: 38500000 episode:153 

Rewards Tr: 728.86, Rewards Val: 707.13, Rewards Disc: 2.93, Rewards Eval: 729.75, Total Timesteps: 38750000 episode:154 

Rewards Tr: 730.32, Rewards Val: 742.29, Rewards Disc: 2.58, Rewards Eval: 828.95, Total Timesteps: 39000000 episode:155 

Rewards Tr: 705.27, Rewards Val: 726.69, Rewards Disc: 2.73, Rewards Eval: 502.53, Total Timesteps: 39250000 episode:156 

Rewards Tr: 728.09, Rewards Val: 723.22, Rewards Disc: 2.77, Rewards Eval: 728.47, Total Timesteps: 39500000 episode:157 

Rewards Tr: 755.68, Rewards Val: 768.94, Rewards Disc: 2.31, Rewards Eval: 668.17, Total Timesteps: 39750000 episode:158 

Rewards Tr: 759.76, Rewards Val: 732.99, Rewards Disc: 2.67, Rewards Eval: 592.08, Total Timesteps: 40000000 episode:159 

Rewards Tr: 750.95, Rewards Val: 769.14, Rewards Disc: 2.31, Rewards Eval: 867.53, Total Timesteps: 40250000 episode:160 

Rewards Tr: 753.22, Rewards Val: 765.21, Rewards Disc: 2.35, Rewards Eval: 858.84, Total Timesteps: 40500000 episode:161 

Rewards Tr: 791.46, Rewards Val: 765.33, Rewards Disc: 2.35, Rewards Eval: 760.56, Total Timesteps: 40750000 episode:162 

Rewards Tr: 788.90, Rewards Val: 750.18, Rewards Disc: 2.50, Rewards Eval: 836.14, Total Timesteps: 41000000 episode:163 

Rewards Tr: 799.24, Rewards Val: 770.40, Rewards Disc: 2.30, Rewards Eval: 853.49, Total Timesteps: 41250000 episode:164 

Rewards Tr: 812.68, Rewards Val: 804.12, Rewards Disc: 1.96, Rewards Eval: 801.61, Total Timesteps: 41500000 episode:165 

Rewards Tr: 776.61, Rewards Val: 782.99, Rewards Disc: 2.17, Rewards Eval: 724.82, Total Timesteps: 41750000 episode:166 

Rewards Tr: 769.90, Rewards Val: 775.83, Rewards Disc: 2.24, Rewards Eval: 789.22, Total Timesteps: 42000000 episode:167 

Rewards Tr: 814.68, Rewards Val: 797.97, Rewards Disc: 2.02, Rewards Eval: 668.23, Total Timesteps: 42250000 episode:168 

Rewards Tr: 800.93, Rewards Val: 773.50, Rewards Disc: 2.26, Rewards Eval: 720.15, Total Timesteps: 42500000 episode:169 

Rewards Tr: 821.59, Rewards Val: 803.32, Rewards Disc: 1.97, Rewards Eval: 858.19, Total Timesteps: 42750000 episode:170 

Rewards Tr: 796.08, Rewards Val: 787.25, Rewards Disc: 2.13, Rewards Eval: 712.67, Total Timesteps: 43000000 episode:171 

Rewards Tr: 799.49, Rewards Val: 785.54, Rewards Disc: 2.14, Rewards Eval: 751.66, Total Timesteps: 43250000 episode:172 

Rewards Tr: 817.15, Rewards Val: 796.62, Rewards Disc: 2.03, Rewards Eval: 761.51, Total Timesteps: 43500000 episode:173 

Rewards Tr: 792.83, Rewards Val: 793.38, Rewards Disc: 2.07, Rewards Eval: 796.32, Total Timesteps: 43750000 episode:174 

Rewards Tr: 780.33, Rewards Val: 789.66, Rewards Disc: 2.10, Rewards Eval: 760.82, Total Timesteps: 44000000 episode:175 

Rewards Tr: 813.37, Rewards Val: 801.09, Rewards Disc: 1.99, Rewards Eval: 609.98, Total Timesteps: 44250000 episode:176 

Rewards Tr: 794.83, Rewards Val: 820.86, Rewards Disc: 1.79, Rewards Eval: 774.23, Total Timesteps: 44500000 episode:177 

Rewards Tr: 787.08, Rewards Val: 801.40, Rewards Disc: 1.99, Rewards Eval: 797.35, Total Timesteps: 44750000 episode:178 

Rewards Tr: 779.36, Rewards Val: 791.27, Rewards Disc: 2.09, Rewards Eval: 719.16, Total Timesteps: 45000000 episode:179 

Rewards Tr: 806.48, Rewards Val: 784.50, Rewards Disc: 2.15, Rewards Eval: 653.88, Total Timesteps: 45250000 episode:180 

Rewards Tr: 814.50, Rewards Val: 785.81, Rewards Disc: 2.14, Rewards Eval: 849.15, Total Timesteps: 45500000 episode:181 

