For Seed: 1 

Rewards Tr: 138.95, Rewards Disc: 0.24, Rewards Eval: 145.40, Total Timesteps: 32751330 episode:194 

Rewards Tr: 137.04, Rewards Disc: 0.24, Rewards Eval: 118.22, Total Timesteps: 32951330 episode:195 

Rewards Tr: 136.49, Rewards Disc: 0.17, Rewards Eval: 129.69, Total Timesteps: 33151330 episode:196 

Rewards Tr: 141.89, Rewards Disc: 0.11, Rewards Eval: 147.17, Total Timesteps: 33351330 episode:197 

Rewards Tr: 140.09, Rewards Disc: 0.14, Rewards Eval: 148.35, Total Timesteps: 33551330 episode:198 

Rewards Tr: 134.31, Rewards Disc: 0.26, Rewards Eval: 106.24, Total Timesteps: 33751330 episode:199 

Elapsed Time: 1081.0 minutes 

