For Seed: 1 

Rewards Tr: 16.76, Rewards Eval: 0.00, Total Timesteps: 8670 episode:0 
Rewards Tr: 1651.91, Rewards Eval: 1295.41, Total Timesteps: 15630730 episode:140 

Rewards Tr: 1823.73, Rewards Eval: 1384.45, Total Timesteps: 15776310 episode:141 

Rewards Tr: 2316.97, Rewards Eval: 1597.22, Total Timesteps: 15972480 episode:142 

Rewards Tr: 2216.97, Rewards Eval: 1364.19, Total Timesteps: 16149530 episode:143 

Rewards Tr: 1536.13, Rewards Eval: 2198.84, Total Timesteps: 16285700 episode:144 

Rewards Tr: 1741.06, Rewards Eval: 1831.42, Total Timesteps: 16419370 episode:145 

Rewards Tr: 2151.47, Rewards Eval: 931.70, Total Timesteps: 16577750 episode:146 

Rewards Tr: 1656.67, Rewards Eval: 1805.34, Total Timesteps: 16727560 episode:147 

Rewards Tr: 1861.63, Rewards Eval: 1244.94, Total Timesteps: 16883210 episode:148 

Rewards Tr: 1927.28, Rewards Eval: 1738.42, Total Timesteps: 17035520 episode:149 

Rewards Tr: 2033.71, Rewards Eval: 891.69, Total Timesteps: 17208940 episode:150 

Rewards Tr: 1806.96, Rewards Eval: 1953.32, Total Timesteps: 17354070 episode:151 

Rewards Tr: 1854.48, Rewards Eval: 1289.43, Total Timesteps: 17517540 episode:152 

Rewards Tr: 1732.82, Rewards Eval: 1378.45, Total Timesteps: 17677410 episode:153 

Rewards Tr: 1837.86, Rewards Eval: 1190.07, Total Timesteps: 17829790 episode:154 

Rewards Tr: 2038.81, Rewards Eval: 1479.44, Total Timesteps: 18005800 episode:155 

Rewards Tr: 1657.23, Rewards Eval: 2219.75, Total Timesteps: 18166540 episode:156 

Rewards Tr: 1636.43, Rewards Eval: 1132.82, Total Timesteps: 18327210 episode:157 

Rewards Tr: 1880.06, Rewards Eval: 2126.32, Total Timesteps: 18503900 episode:158 

Rewards Tr: 2148.91, Rewards Eval: 1337.14, Total Timesteps: 18687570 episode:159 

Rewards Tr: 2210.67, Rewards Eval: 1787.18, Total Timesteps: 18865290 episode:160 

Rewards Tr: 1983.25, Rewards Eval: 1522.16, Total Timesteps: 19045400 episode:161 

Rewards Tr: 2152.15, Rewards Eval: 1499.63, Total Timesteps: 19219390 episode:162 

Rewards Tr: 1861.99, Rewards Eval: 1763.90, Total Timesteps: 19387160 episode:163 

Rewards Tr: 1960.08, Rewards Eval: 1734.59, Total Timesteps: 19563530 episode:164 

Rewards Tr: 1884.06, Rewards Eval: 1756.18, Total Timesteps: 19736930 episode:165 

Rewards Tr: 2078.18, Rewards Eval: 2126.30, Total Timesteps: 19909580 episode:166 

Rewards Tr: 2181.91, Rewards Eval: 1734.25, Total Timesteps: 20093200 episode:167 

Rewards Tr: 2060.66, Rewards Eval: 1553.64, Total Timesteps: 20282460 episode:168 

Rewards Tr: 2091.58, Rewards Eval: 1394.87, Total Timesteps: 20459860 episode:169 

Rewards Tr: 2151.29, Rewards Eval: 1631.68, Total Timesteps: 20634640 episode:170 

Rewards Tr: 1863.85, Rewards Eval: 1021.22, Total Timesteps: 20798030 episode:171 

Rewards Tr: 1982.07, Rewards Eval: 1713.93, Total Timesteps: 20987800 episode:172 

Rewards Tr: 2003.02, Rewards Eval: 1500.30, Total Timesteps: 21157360 episode:173 

Rewards Tr: 1752.76, Rewards Eval: 1586.69, Total Timesteps: 21332060 episode:174 

Rewards Tr: 2075.15, Rewards Eval: 1664.03, Total Timesteps: 21515950 episode:175 

Rewards Tr: 1857.16, Rewards Eval: 1615.03, Total Timesteps: 21684830 episode:176 

Rewards Tr: 2008.71, Rewards Eval: 1684.04, Total Timesteps: 21872020 episode:177 

Rewards Tr: 1928.43, Rewards Eval: 1400.47, Total Timesteps: 22055790 episode:178 

Rewards Tr: 2095.95, Rewards Eval: 1807.61, Total Timesteps: 22234450 episode:179 

Rewards Tr: 2026.67, Rewards Eval: 1691.35, Total Timesteps: 22423960 episode:180 

Rewards Tr: 2287.13, Rewards Eval: 1411.08, Total Timesteps: 22617960 episode:181 

Rewards Tr: 2183.71, Rewards Eval: 1004.09, Total Timesteps: 22808770 episode:182 

Rewards Tr: 2046.69, Rewards Eval: 1524.98, Total Timesteps: 22991480 episode:183 

Rewards Tr: 1615.88, Rewards Eval: 1469.42, Total Timesteps: 23110410 episode:184 

Rewards Tr: 1775.47, Rewards Eval: 1388.16, Total Timesteps: 23245250 episode:185 

Rewards Tr: 2173.87, Rewards Eval: 1574.37, Total Timesteps: 23407690 episode:186 

Rewards Tr: 1938.21, Rewards Eval: 1513.75, Total Timesteps: 23588670 episode:187 

Rewards Tr: 2116.26, Rewards Eval: 1201.45, Total Timesteps: 23757620 episode:188 

Rewards Tr: 1649.17, Rewards Eval: 1562.51, Total Timesteps: 23879870 episode:189 

Rewards Tr: 1839.06, Rewards Eval: 1764.88, Total Timesteps: 24026870 episode:190 

Rewards Tr: 1899.36, Rewards Eval: 2348.39, Total Timesteps: 24193630 episode:191 

Rewards Tr: 2180.71, Rewards Eval: 1527.27, Total Timesteps: 24376820 episode:192 

Rewards Tr: 1863.22, Rewards Eval: 2079.16, Total Timesteps: 24547890 episode:193 

Rewards Tr: 2117.71, Rewards Eval: 1578.22, Total Timesteps: 24723830 episode:194 

Rewards Tr: 2081.82, Rewards Eval: 1561.21, Total Timesteps: 24904150 episode:195 

Rewards Tr: 2165.72, Rewards Eval: 1494.19, Total Timesteps: 25080690 episode:196 

Rewards Tr: 2065.79, Rewards Eval: 1316.57, Total Timesteps: 25250670 episode:197 

Rewards Tr: 2232.57, Rewards Eval: 1754.49, Total Timesteps: 25427000 episode:198 

Rewards Tr: 1904.21, Rewards Eval: 1491.64, Total Timesteps: 25599650 episode:199 

Rewards Tr: 2402.29, Rewards Eval: 1903.93, Total Timesteps: 25793530 episode:200 

