
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 101 

Rewards Tr: 58.76, Rewards Eval: 69.35, Total Timesteps: 17801320 episode:100 

Rewards Tr: 58.62, Rewards Eval: 83.24, Total Timesteps: 18043760 episode:101 

Rewards Tr: 68.04, Rewards Eval: 78.68, Total Timesteps: 18326850 episode:102 

Rewards Tr: 66.80, Rewards Eval: 57.15, Total Timesteps: 18592840 episode:103 

Rewards Tr: 71.12, Rewards Eval: 102.40, Total Timesteps: 18850760 episode:104 

Rewards Tr: 75.79, Rewards Eval: 69.82, Total Timesteps: 19126110 episode:105 

Rewards Tr: 85.77, Rewards Eval: 106.92, Total Timesteps: 19423500 episode:106 

Rewards Tr: 78.34, Rewards Eval: 108.27, Total Timesteps: 19706470 episode:107 

Rewards Tr: 84.80, Rewards Eval: 77.42, Total Timesteps: 19989530 episode:108 

Rewards Tr: 84.30, Rewards Eval: 83.93, Total Timesteps: 20247050 episode:109 

Rewards Tr: 92.77, Rewards Eval: 77.33, Total Timesteps: 20513870 episode:110 

Rewards Tr: 92.21, Rewards Eval: 82.28, Total Timesteps: 20781760 episode:111 

Rewards Tr: 85.82, Rewards Eval: 108.66, Total Timesteps: 21030570 episode:112 

Rewards Tr: 111.86, Rewards Eval: 75.19, Total Timesteps: 21313860 episode:113 

Rewards Tr: 111.44, Rewards Eval: 104.99, Total Timesteps: 21596600 episode:114 

Rewards Tr: 104.67, Rewards Eval: 122.40, Total Timesteps: 21854970 episode:115 

Rewards Tr: 108.39, Rewards Eval: 98.25, Total Timesteps: 22121180 episode:116 

Rewards Tr: 110.73, Rewards Eval: 90.94, Total Timesteps: 22395610 episode:117 

Rewards Tr: 104.08, Rewards Eval: 126.14, Total Timesteps: 22628410 episode:118 

Rewards Tr: 114.13, Rewards Eval: 147.46, Total Timesteps: 22886900 episode:119 

Rewards Tr: 123.13, Rewards Eval: 71.56, Total Timesteps: 23153410 episode:120 

Rewards Tr: 121.15, Rewards Eval: 99.32, Total Timesteps: 23411460 episode:121 

Rewards Tr: 121.77, Rewards Eval: 135.16, Total Timesteps: 23678120 episode:122 

Rewards Tr: 118.30, Rewards Eval: 132.76, Total Timesteps: 23943400 episode:123 

Rewards Tr: 114.38, Rewards Eval: 105.14, Total Timesteps: 24202120 episode:124 

Rewards Tr: 132.87, Rewards Eval: 139.69, Total Timesteps: 24485710 episode:125 

Rewards Tr: 124.77, Rewards Eval: 151.49, Total Timesteps: 24761320 episode:126 

Rewards Tr: 120.78, Rewards Eval: 127.87, Total Timesteps: 25019760 episode:127 

Rewards Tr: 129.27, Rewards Eval: 114.20, Total Timesteps: 25311580 episode:128 

Rewards Tr: 128.02, Rewards Eval: 143.82, Total Timesteps: 25595050 episode:129 

Rewards Tr: 136.46, Rewards Eval: 119.79, Total Timesteps: 25870100 episode:130 

Rewards Tr: 117.46, Rewards Eval: 120.91, Total Timesteps: 26137250 episode:131 

Rewards Tr: 125.31, Rewards Eval: 136.48, Total Timesteps: 26412470 episode:132 

Rewards Tr: 123.59, Rewards Eval: 136.60, Total Timesteps: 26687450 episode:133 

Rewards Tr: 124.13, Rewards Eval: 138.69, Total Timesteps: 26971280 episode:134 

Rewards Tr: 133.75, Rewards Eval: 154.30, Total Timesteps: 27263030 episode:135 

Rewards Tr: 138.31, Rewards Eval: 143.53, Total Timesteps: 27546610 episode:136 

Rewards Tr: 128.23, Rewards Eval: 178.41, Total Timesteps: 27824010 episode:137 

Rewards Tr: 149.27, Rewards Eval: 119.94, Total Timesteps: 28124010 episode:138 

Rewards Tr: 148.05, Rewards Eval: 177.55, Total Timesteps: 28415770 episode:139 

