For Seed: 1 

Rewards Tr: 156.49, Rewards Val: 157.92, Rewards Eval: 164.55, Total Timesteps: 61944550 episode:195 

Rewards Tr: 149.37, Rewards Val: 155.50, Rewards Eval: 129.16, Total Timesteps: 62328050 episode:196 

Rewards Tr: 146.95, Rewards Val: 140.07, Rewards Eval: 149.68, Total Timesteps: 62711650 episode:197 

Rewards Tr: 140.75, Rewards Val: 148.85, Rewards Eval: 180.73, Total Timesteps: 63086940 episode:198 

Rewards Tr: 148.87, Rewards Val: 151.81, Rewards Eval: 166.06, Total Timesteps: 63486940 episode:199 

Elapsed Time: 1012.0 minutes 

