For Seed: 1 

Rewards Tr: 1562.87, Rewards Disc: 2.28, Rewards Eval: 1646.99, Total Timesteps: 21145920 episode:177 

Rewards Tr: 1592.97, Rewards Disc: 2.05, Rewards Eval: 1861.96, Total Timesteps: 21345510 episode:178 

Rewards Tr: 1585.46, Rewards Disc: 1.49, Rewards Eval: 1626.74, Total Timesteps: 21544870 episode:179 

Rewards Tr: 1610.43, Rewards Disc: 0.61, Rewards Eval: 1817.68, Total Timesteps: 21742940 episode:180 

Rewards Tr: 1700.95, Rewards Disc: 1.94, Rewards Eval: 1992.34, Total Timesteps: 21942940 episode:181 

Rewards Tr: 1625.44, Rewards Disc: 2.50, Rewards Eval: 1687.06, Total Timesteps: 22142940 episode:182 

Rewards Tr: 1611.55, Rewards Disc: 1.70, Rewards Eval: 2049.92, Total Timesteps: 22340690 episode:183 

Rewards Tr: 1629.70, Rewards Disc: 1.77, Rewards Eval: 1688.03, Total Timesteps: 22539010 episode:184 

Rewards Tr: 1647.08, Rewards Disc: 1.59, Rewards Eval: 1647.51, Total Timesteps: 22739010 episode:185 

Rewards Tr: 1647.73, Rewards Disc: 1.87, Rewards Eval: 2040.65, Total Timesteps: 22939010 episode:186 

Rewards Tr: 1713.00, Rewards Disc: 0.36, Rewards Eval: 2287.78, Total Timesteps: 23139010 episode:187 

Rewards Tr: 1735.33, Rewards Disc: -1.14, Rewards Eval: 1465.05, Total Timesteps: 23339010 episode:188 

Rewards Tr: 1744.52, Rewards Disc: -0.81, Rewards Eval: 1903.04, Total Timesteps: 23538820 episode:189 

Rewards Tr: 1708.85, Rewards Disc: -1.01, Rewards Eval: 2045.62, Total Timesteps: 23738620 episode:190 

Rewards Tr: 1822.57, Rewards Disc: -1.65, Rewards Eval: 1629.85, Total Timesteps: 23937910 episode:191 

Rewards Tr: 1663.17, Rewards Disc: -0.50, Rewards Eval: 1907.77, Total Timesteps: 24129850 episode:192 

Rewards Tr: 1822.42, Rewards Disc: -1.77, Rewards Eval: 1674.54, Total Timesteps: 24329210 episode:193 

Rewards Tr: 1621.54, Rewards Disc: 0.90, Rewards Eval: 2142.98, Total Timesteps: 24526010 episode:194 

Rewards Tr: 1648.17, Rewards Disc: 0.80, Rewards Eval: 1758.35, Total Timesteps: 24720010 episode:195 

Rewards Tr: 1650.86, Rewards Disc: 0.85, Rewards Eval: 1833.11, Total Timesteps: 24919960 episode:196 

Rewards Tr: 1570.79, Rewards Disc: 1.09, Rewards Eval: 1596.19, Total Timesteps: 25118160 episode:197 

Rewards Tr: 1533.25, Rewards Disc: 1.52, Rewards Eval: 1378.53, Total Timesteps: 25315070 episode:198 

Rewards Tr: 1582.25, Rewards Disc: 1.58, Rewards Eval: 1694.38, Total Timesteps: 25505960 episode:199 

Rewards Tr: 1474.07, Rewards Disc: 3.04, Rewards Eval: 1845.97, Total Timesteps: 25692720 episode:200 

Rewards Tr: 1437.38, Rewards Disc: 3.56, Rewards Eval: 1937.96, Total Timesteps: 25880020 episode:201 

Rewards Tr: 1592.55, Rewards Disc: 1.81, Rewards Eval: 1772.24, Total Timesteps: 26076790 episode:202 

Rewards Tr: 1682.30, Rewards Disc: 1.13, Rewards Eval: 1417.93, Total Timesteps: 26275310 episode:203 

Rewards Tr: 1653.16, Rewards Disc: 1.41, Rewards Eval: 2185.13, Total Timesteps: 26475310 episode:204 

Rewards Tr: 1725.05, Rewards Disc: -0.11, Rewards Eval: 2163.42, Total Timesteps: 26671280 episode:205 

Rewards Tr: 1689.26, Rewards Disc: 1.12, Rewards Eval: 1776.21, Total Timesteps: 26871280 episode:206 

Rewards Tr: 1611.83, Rewards Disc: 1.39, Rewards Eval: 2166.15, Total Timesteps: 27063640 episode:207 

Rewards Tr: 1665.88, Rewards Disc: 1.34, Rewards Eval: 1766.74, Total Timesteps: 27263640 episode:208 

Rewards Tr: 1637.07, Rewards Disc: 2.10, Rewards Eval: 1796.28, Total Timesteps: 27460770 episode:209 

Rewards Tr: 1722.14, Rewards Disc: 0.92, Rewards Eval: 1323.27, Total Timesteps: 27657970 episode:210 

Rewards Tr: 1596.59, Rewards Disc: 1.39, Rewards Eval: 1817.71, Total Timesteps: 27851770 episode:211 

Rewards Tr: 1550.50, Rewards Disc: 1.94, Rewards Eval: 2016.32, Total Timesteps: 28039670 episode:212 

Rewards Tr: 1705.10, Rewards Disc: 0.36, Rewards Eval: 2018.55, Total Timesteps: 28238270 episode:213 

Rewards Tr: 1676.33, Rewards Disc: 1.58, Rewards Eval: 1935.44, Total Timesteps: 28432790 episode:214 

Rewards Tr: 1641.30, Rewards Disc: 1.68, Rewards Eval: 1766.72, Total Timesteps: 28628700 episode:215 

Rewards Tr: 1688.38, Rewards Disc: 0.46, Rewards Eval: 1666.64, Total Timesteps: 28826020 episode:216 

Rewards Tr: 1576.93, Rewards Disc: 3.05, Rewards Eval: 1870.35, Total Timesteps: 29024910 episode:217 

Rewards Tr: 1849.96, Rewards Disc: -0.82, Rewards Eval: 983.28, Total Timesteps: 29222360 episode:218 

Rewards Tr: 1768.00, Rewards Disc: -0.73, Rewards Eval: 1608.86, Total Timesteps: 29420750 episode:219 

Rewards Tr: 1827.99, Rewards Disc: -1.08, Rewards Eval: 1846.08, Total Timesteps: 29620600 episode:220 

Rewards Tr: 1773.50, Rewards Disc: -0.24, Rewards Eval: 1846.05, Total Timesteps: 29820470 episode:221 

Rewards Tr: 1747.44, Rewards Disc: 0.39, Rewards Eval: 1624.95, Total Timesteps: 30016160 episode:222 

Rewards Tr: 1689.75, Rewards Disc: 1.38, Rewards Eval: 2188.48, Total Timesteps: 30210100 episode:223 

Rewards Tr: 1808.99, Rewards Disc: 0.41, Rewards Eval: 1604.48, Total Timesteps: 30407550 episode:224 

Rewards Tr: 1828.12, Rewards Disc: 1.17, Rewards Eval: 1878.62, Total Timesteps: 30605820 episode:225 

