
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 10 

Rewards Tr: 183.16, Rewards Eval: 181.62, Total Timesteps: 49778720 episode:181 

Rewards Tr: 180.30, Rewards Eval: 166.01, Total Timesteps: 50078720 episode:182 

Rewards Tr: 181.87, Rewards Eval: 190.41, Total Timesteps: 50378720 episode:183 

Rewards Tr: 178.66, Rewards Eval: 189.30, Total Timesteps: 50678720 episode:184 

Rewards Tr: 180.00, Rewards Eval: 183.74, Total Timesteps: 50978720 episode:185 

Rewards Tr: 178.65, Rewards Eval: 177.96, Total Timesteps: 51278720 episode:186 

Rewards Tr: 183.17, Rewards Eval: 190.05, Total Timesteps: 51578720 episode:187 

Rewards Tr: 180.48, Rewards Eval: 177.64, Total Timesteps: 51878720 episode:188 

Rewards Tr: 178.81, Rewards Eval: 172.12, Total Timesteps: 52178720 episode:189 

Rewards Tr: 183.07, Rewards Eval: 177.58, Total Timesteps: 52478720 episode:190 

Rewards Tr: 183.15, Rewards Eval: 202.80, Total Timesteps: 52778720 episode:191 

Rewards Tr: 181.34, Rewards Eval: 207.11, Total Timesteps: 53078720 episode:192 

Rewards Tr: 182.22, Rewards Eval: 160.36, Total Timesteps: 53378720 episode:193 

Rewards Tr: 182.23, Rewards Eval: 177.86, Total Timesteps: 53678720 episode:194 

Rewards Tr: 180.92, Rewards Eval: 181.73, Total Timesteps: 53978720 episode:195 

Rewards Tr: 181.79, Rewards Eval: 181.05, Total Timesteps: 54278720 episode:196 

Rewards Tr: 183.17, Rewards Eval: 159.34, Total Timesteps: 54578720 episode:197 

Rewards Tr: 180.33, Rewards Eval: 154.11, Total Timesteps: 54878720 episode:198 

Rewards Tr: 183.47, Rewards Eval: 197.95, Total Timesteps: 55178720 episode:199 

Rewards Tr: 185.43, Rewards Eval: 184.93, Total Timesteps: 55478720 episode:200 

Rewards Tr: 182.29, Rewards Eval: 191.24, Total Timesteps: 55778720 episode:201 

Rewards Tr: 183.56, Rewards Eval: 159.00, Total Timesteps: 56078720 episode:202 

Rewards Tr: 181.07, Rewards Eval: 187.21, Total Timesteps: 56378720 episode:203 

Rewards Tr: 184.57, Rewards Eval: 186.83, Total Timesteps: 56678720 episode:204 

Rewards Tr: 185.07, Rewards Eval: 176.29, Total Timesteps: 56978720 episode:205 

Rewards Tr: 184.81, Rewards Eval: 176.65, Total Timesteps: 57278720 episode:206 

Rewards Tr: 183.04, Rewards Eval: 180.25, Total Timesteps: 57578720 episode:207 

Rewards Tr: 185.30, Rewards Eval: 164.59, Total Timesteps: 57878720 episode:208 

Rewards Tr: 183.69, Rewards Eval: 190.70, Total Timesteps: 58178720 episode:209 

