
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1


The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

For Seed: 3 

Rewards Tr: 273.68, Rewards Disc: 9.26, Rewards Eval: 285.21, Total Timesteps: 7460880 episode:103 

Rewards Tr: 274.71, Rewards Disc: 9.25, Rewards Eval: 279.87, Total Timesteps: 7515990 episode:104 

Rewards Tr: 264.01, Rewards Disc: 9.36, Rewards Eval: 274.68, Total Timesteps: 7562390 episode:105 

Rewards Tr: 260.13, Rewards Disc: 9.40, Rewards Eval: 235.56, Total Timesteps: 7607240 episode:106 

Rewards Tr: 256.99, Rewards Disc: 9.43, Rewards Eval: 278.66, Total Timesteps: 7650750 episode:107 

Rewards Tr: 254.53, Rewards Disc: 9.45, Rewards Eval: 273.83, Total Timesteps: 7694360 episode:108 

Rewards Tr: 254.11, Rewards Disc: 9.46, Rewards Eval: 269.20, Total Timesteps: 7736940 episode:109 

Rewards Tr: 251.36, Rewards Disc: 9.49, Rewards Eval: 226.83, Total Timesteps: 7778670 episode:110 

Rewards Tr: 257.91, Rewards Disc: 9.42, Rewards Eval: 254.64, Total Timesteps: 7819590 episode:111 

Rewards Tr: 253.41, Rewards Disc: 9.47, Rewards Eval: 274.30, Total Timesteps: 7861070 episode:112 

Rewards Tr: 259.40, Rewards Disc: 9.41, Rewards Eval: 268.66, Total Timesteps: 7903130 episode:113 

Rewards Tr: 264.82, Rewards Disc: 9.35, Rewards Eval: 254.60, Total Timesteps: 7945740 episode:114 

Rewards Tr: 263.34, Rewards Disc: 9.37, Rewards Eval: 253.46, Total Timesteps: 7987830 episode:115 

Rewards Tr: 268.00, Rewards Disc: 9.32, Rewards Eval: 267.83, Total Timesteps: 8030430 episode:116 

Rewards Tr: 274.29, Rewards Disc: 9.26, Rewards Eval: 282.45, Total Timesteps: 8074330 episode:117 

Rewards Tr: 276.89, Rewards Disc: 9.23, Rewards Eval: 284.28, Total Timesteps: 8119230 episode:118 

Rewards Tr: 276.77, Rewards Disc: 9.23, Rewards Eval: 312.81, Total Timesteps: 8164990 episode:119 

Rewards Tr: 283.45, Rewards Disc: 9.17, Rewards Eval: 285.52, Total Timesteps: 8210830 episode:120 

Rewards Tr: 292.22, Rewards Disc: 9.08, Rewards Eval: 267.87, Total Timesteps: 8259740 episode:121 

Rewards Tr: 296.59, Rewards Disc: 9.03, Rewards Eval: 262.13, Total Timesteps: 8308380 episode:122 

Rewards Tr: 304.70, Rewards Disc: 8.95, Rewards Eval: 273.24, Total Timesteps: 8359130 episode:123 

Rewards Tr: 314.47, Rewards Disc: 8.86, Rewards Eval: 289.78, Total Timesteps: 8412190 episode:124 

Rewards Tr: 321.59, Rewards Disc: 8.78, Rewards Eval: 341.27, Total Timesteps: 8466920 episode:125 

Rewards Tr: 333.68, Rewards Disc: 8.66, Rewards Eval: 294.57, Total Timesteps: 8526530 episode:126 

Rewards Tr: 322.03, Rewards Disc: 8.78, Rewards Eval: 367.88, Total Timesteps: 8585250 episode:127 

Rewards Tr: 326.31, Rewards Disc: 8.74, Rewards Eval: 384.52, Total Timesteps: 8645020 episode:128 

Rewards Tr: 335.33, Rewards Disc: 8.65, Rewards Eval: 331.80, Total Timesteps: 8706470 episode:129 

Rewards Tr: 328.16, Rewards Disc: 8.72, Rewards Eval: 315.80, Total Timesteps: 8764780 episode:130 

Rewards Tr: 320.65, Rewards Disc: 8.79, Rewards Eval: 342.99, Total Timesteps: 8821330 episode:131 

Rewards Tr: 336.18, Rewards Disc: 8.64, Rewards Eval: 338.94, Total Timesteps: 8875320 episode:132 

Rewards Tr: 329.48, Rewards Disc: 8.71, Rewards Eval: 346.34, Total Timesteps: 8925870 episode:133 

Rewards Tr: 324.09, Rewards Disc: 8.76, Rewards Eval: 324.46, Total Timesteps: 8974150 episode:134 

Rewards Tr: 326.07, Rewards Disc: 8.74, Rewards Eval: 280.63, Total Timesteps: 9022290 episode:135 

Rewards Tr: 337.39, Rewards Disc: 8.63, Rewards Eval: 309.57, Total Timesteps: 9072600 episode:136 

Rewards Tr: 336.50, Rewards Disc: 8.64, Rewards Eval: 350.28, Total Timesteps: 9123880 episode:137 

Rewards Tr: 339.72, Rewards Disc: 8.60, Rewards Eval: 352.37, Total Timesteps: 9178250 episode:138 

Rewards Tr: 352.49, Rewards Disc: 8.48, Rewards Eval: 356.50, Total Timesteps: 9239030 episode:139 

Rewards Tr: 371.24, Rewards Disc: 8.29, Rewards Eval: 362.47, Total Timesteps: 9303260 episode:140 

Rewards Tr: 377.02, Rewards Disc: 8.23, Rewards Eval: 337.30, Total Timesteps: 9375530 episode:141 

Rewards Tr: 386.49, Rewards Disc: 8.14, Rewards Eval: 349.47, Total Timesteps: 9449260 episode:142 

Rewards Tr: 386.89, Rewards Disc: 8.13, Rewards Eval: 382.00, Total Timesteps: 9524220 episode:143 

Rewards Tr: 407.52, Rewards Disc: 7.92, Rewards Eval: 417.66, Total Timesteps: 9605620 episode:144 

Rewards Tr: 406.29, Rewards Disc: 7.94, Rewards Eval: 294.04, Total Timesteps: 9677250 episode:145 

Rewards Tr: 391.99, Rewards Disc: 8.08, Rewards Eval: 410.40, Total Timesteps: 9746310 episode:146 

Rewards Tr: 394.28, Rewards Disc: 8.06, Rewards Eval: 346.43, Total Timesteps: 9816680 episode:147 

Rewards Tr: 387.44, Rewards Disc: 8.13, Rewards Eval: 335.09, Total Timesteps: 9881080 episode:148 

Rewards Tr: 387.77, Rewards Disc: 8.12, Rewards Eval: 294.46, Total Timesteps: 9944420 episode:149 

Rewards Tr: 391.20, Rewards Disc: 8.09, Rewards Eval: 313.58, Total Timesteps: 10007160 episode:150 

Rewards Tr: 392.20, Rewards Disc: 8.08, Rewards Eval: 338.84, Total Timesteps: 10070730 episode:151 

Rewards Tr: 389.24, Rewards Disc: 8.11, Rewards Eval: 336.90, Total Timesteps: 10136690 episode:152 

Rewards Tr: 403.80, Rewards Disc: 7.96, Rewards Eval: 307.87, Total Timesteps: 10202260 episode:153 

Rewards Tr: 413.44, Rewards Disc: 7.87, Rewards Eval: 352.60, Total Timesteps: 10269220 episode:154 

Rewards Tr: 440.95, Rewards Disc: 7.59, Rewards Eval: 334.39, Total Timesteps: 10340110 episode:155 

Rewards Tr: 439.78, Rewards Disc: 7.60, Rewards Eval: 345.08, Total Timesteps: 10414770 episode:156 

Rewards Tr: 448.85, Rewards Disc: 7.51, Rewards Eval: 302.98, Total Timesteps: 10494690 episode:157 

Rewards Tr: 485.11, Rewards Disc: 7.15, Rewards Eval: 432.68, Total Timesteps: 10580850 episode:158 

Rewards Tr: 454.22, Rewards Disc: 7.46, Rewards Eval: 323.13, Total Timesteps: 10663390 episode:159 

Rewards Tr: 491.11, Rewards Disc: 7.09, Rewards Eval: 322.21, Total Timesteps: 10755350 episode:160 

Rewards Tr: 485.09, Rewards Disc: 7.15, Rewards Eval: 326.11, Total Timesteps: 10843040 episode:161 

Rewards Tr: 490.83, Rewards Disc: 7.09, Rewards Eval: 389.79, Total Timesteps: 10931680 episode:162 

Rewards Tr: 490.21, Rewards Disc: 7.10, Rewards Eval: 350.13, Total Timesteps: 11018270 episode:163 

Rewards Tr: 500.65, Rewards Disc: 6.99, Rewards Eval: 296.35, Total Timesteps: 11101950 episode:164 

Rewards Tr: 502.32, Rewards Disc: 6.98, Rewards Eval: 321.24, Total Timesteps: 11185270 episode:165 

Rewards Tr: 496.29, Rewards Disc: 7.04, Rewards Eval: 346.78, Total Timesteps: 11266080 episode:166 

Rewards Tr: 511.83, Rewards Disc: 6.88, Rewards Eval: 318.45, Total Timesteps: 11346400 episode:167 

Rewards Tr: 509.13, Rewards Disc: 6.91, Rewards Eval: 374.24, Total Timesteps: 11425600 episode:168 

Rewards Tr: 530.14, Rewards Disc: 6.70, Rewards Eval: 379.86, Total Timesteps: 11507620 episode:169 

Rewards Tr: 525.27, Rewards Disc: 6.75, Rewards Eval: 398.41, Total Timesteps: 11588450 episode:170 

Rewards Tr: 527.27, Rewards Disc: 6.73, Rewards Eval: 355.53, Total Timesteps: 11673640 episode:171 

Rewards Tr: 554.75, Rewards Disc: 6.45, Rewards Eval: 371.67, Total Timesteps: 11759060 episode:172 

Rewards Tr: 552.64, Rewards Disc: 6.47, Rewards Eval: 413.21, Total Timesteps: 11845630 episode:173 

Rewards Tr: 612.13, Rewards Disc: 5.88, Rewards Eval: 261.43, Total Timesteps: 11942850 episode:174 

Rewards Tr: 592.93, Rewards Disc: 6.07, Rewards Eval: 338.38, Total Timesteps: 12043770 episode:175 

Rewards Tr: 627.99, Rewards Disc: 5.72, Rewards Eval: 398.95, Total Timesteps: 12145330 episode:176 

Rewards Tr: 606.17, Rewards Disc: 5.94, Rewards Eval: 320.62, Total Timesteps: 12245950 episode:177 

Rewards Tr: 624.83, Rewards Disc: 5.75, Rewards Eval: 364.52, Total Timesteps: 12349160 episode:178 

Rewards Tr: 620.14, Rewards Disc: 5.80, Rewards Eval: 381.20, Total Timesteps: 12448340 episode:179 

Rewards Tr: 626.57, Rewards Disc: 5.73, Rewards Eval: 414.81, Total Timesteps: 12548180 episode:180 

Rewards Tr: 627.29, Rewards Disc: 5.73, Rewards Eval: 513.81, Total Timesteps: 12644960 episode:181 

Rewards Tr: 639.11, Rewards Disc: 5.61, Rewards Eval: 410.42, Total Timesteps: 12741170 episode:182 

Rewards Tr: 610.48, Rewards Disc: 5.90, Rewards Eval: 429.64, Total Timesteps: 12830730 episode:183 

Rewards Tr: 600.44, Rewards Disc: 6.00, Rewards Eval: 342.56, Total Timesteps: 12919830 episode:184 

Rewards Tr: 582.69, Rewards Disc: 6.17, Rewards Eval: 375.60, Total Timesteps: 13003530 episode:185 

Rewards Tr: 623.05, Rewards Disc: 5.77, Rewards Eval: 420.02, Total Timesteps: 13096480 episode:186 

Rewards Tr: 632.75, Rewards Disc: 5.67, Rewards Eval: 476.89, Total Timesteps: 13190680 episode:187 

Rewards Tr: 665.40, Rewards Disc: 5.35, Rewards Eval: 419.27, Total Timesteps: 13292180 episode:188 

Rewards Tr: 660.14, Rewards Disc: 5.40, Rewards Eval: 430.96, Total Timesteps: 13393240 episode:189 

Rewards Tr: 680.36, Rewards Disc: 5.20, Rewards Eval: 489.04, Total Timesteps: 13503590 episode:190 

Rewards Tr: 691.79, Rewards Disc: 5.08, Rewards Eval: 497.47, Total Timesteps: 13619290 episode:191 

Rewards Tr: 698.61, Rewards Disc: 5.01, Rewards Eval: 397.15, Total Timesteps: 13738580 episode:192 

Rewards Tr: 671.44, Rewards Disc: 5.29, Rewards Eval: 336.62, Total Timesteps: 13853620 episode:193 

Rewards Tr: 756.86, Rewards Disc: 4.43, Rewards Eval: 537.86, Total Timesteps: 13981960 episode:194 

Rewards Tr: 681.19, Rewards Disc: 5.19, Rewards Eval: 421.50, Total Timesteps: 14094410 episode:195 

Rewards Tr: 680.19, Rewards Disc: 5.20, Rewards Eval: 377.98, Total Timesteps: 14205480 episode:196 

Rewards Tr: 668.52, Rewards Disc: 5.31, Rewards Eval: 418.05, Total Timesteps: 14308530 episode:197 

Rewards Tr: 690.02, Rewards Disc: 5.10, Rewards Eval: 414.52, Total Timesteps: 14413960 episode:198 

Rewards Tr: 693.02, Rewards Disc: 5.07, Rewards Eval: 488.78, Total Timesteps: 14521820 episode:199 

Rewards Tr: 696.49, Rewards Disc: 5.04, Rewards Eval: 484.29, Total Timesteps: 14629820 episode:200 

Rewards Tr: 748.41, Rewards Disc: 4.52, Rewards Eval: 464.54, Total Timesteps: 14748390 episode:201 

Rewards Tr: 751.28, Rewards Disc: 4.49, Rewards Eval: 364.52, Total Timesteps: 14875510 episode:202 

Rewards Tr: 767.15, Rewards Disc: 4.33, Rewards Eval: 567.13, Total Timesteps: 15012820 episode:203 

Rewards Tr: 776.92, Rewards Disc: 4.23, Rewards Eval: 470.75, Total Timesteps: 15152020 episode:204 

Rewards Tr: 817.65, Rewards Disc: 3.82, Rewards Eval: 454.73, Total Timesteps: 15290880 episode:205 

Rewards Tr: 812.64, Rewards Disc: 3.87, Rewards Eval: 485.66, Total Timesteps: 15429110 episode:206 

Rewards Tr: 778.64, Rewards Disc: 4.21, Rewards Eval: 459.30, Total Timesteps: 15560650 episode:207 

Rewards Tr: 812.96, Rewards Disc: 3.87, Rewards Eval: 456.54, Total Timesteps: 15694640 episode:208 

Rewards Tr: 841.58, Rewards Disc: 3.58, Rewards Eval: 451.54, Total Timesteps: 15841440 episode:209 

Rewards Tr: 815.29, Rewards Disc: 3.85, Rewards Eval: 512.28, Total Timesteps: 15977800 episode:210 

Rewards Tr: 843.30, Rewards Disc: 3.57, Rewards Eval: 458.92, Total Timesteps: 16140290 episode:211 

Rewards Tr: 468.17, Rewards Disc: 7.32, Rewards Eval: 468.52, Total Timesteps: 16243990 episode:212 

Rewards Tr: 494.33, Rewards Disc: 7.06, Rewards Eval: 455.97, Total Timesteps: 16333230 episode:213 

Rewards Tr: 527.62, Rewards Disc: 6.72, Rewards Eval: 448.92, Total Timesteps: 16437960 episode:214 

Rewards Tr: 486.43, Rewards Disc: 7.14, Rewards Eval: 544.87, Total Timesteps: 16511670 episode:215 

Rewards Tr: 471.41, Rewards Disc: 7.29, Rewards Eval: 522.09, Total Timesteps: 16584980 episode:216 

Rewards Tr: 506.26, Rewards Disc: 6.94, Rewards Eval: 461.19, Total Timesteps: 16675900 episode:217 

Rewards Tr: 559.33, Rewards Disc: 6.41, Rewards Eval: 540.01, Total Timesteps: 16787690 episode:218 

Rewards Tr: 596.42, Rewards Disc: 6.04, Rewards Eval: 597.18, Total Timesteps: 16917690 episode:219 

Rewards Tr: 561.98, Rewards Disc: 6.38, Rewards Eval: 463.42, Total Timesteps: 17025930 episode:220 

Rewards Tr: 568.42, Rewards Disc: 6.32, Rewards Eval: 501.85, Total Timesteps: 17149840 episode:221 

Rewards Tr: 579.68, Rewards Disc: 6.20, Rewards Eval: 609.01, Total Timesteps: 17268240 episode:222 

Rewards Tr: 624.38, Rewards Disc: 5.76, Rewards Eval: 615.14, Total Timesteps: 17393210 episode:223 

Rewards Tr: 610.42, Rewards Disc: 5.90, Rewards Eval: 600.54, Total Timesteps: 17505120 episode:224 

Rewards Tr: 593.43, Rewards Disc: 6.07, Rewards Eval: 533.35, Total Timesteps: 17614530 episode:225 

Rewards Tr: 585.30, Rewards Disc: 6.15, Rewards Eval: 519.18, Total Timesteps: 17727300 episode:226 

Rewards Tr: 616.18, Rewards Disc: 5.84, Rewards Eval: 600.22, Total Timesteps: 17845080 episode:227 

Rewards Tr: 603.19, Rewards Disc: 5.97, Rewards Eval: 555.10, Total Timesteps: 17955620 episode:228 

Rewards Tr: 568.26, Rewards Disc: 6.32, Rewards Eval: 542.97, Total Timesteps: 18048870 episode:229 

Rewards Tr: 540.43, Rewards Disc: 6.60, Rewards Eval: 713.43, Total Timesteps: 18142830 episode:230 

Rewards Tr: 528.96, Rewards Disc: 6.71, Rewards Eval: 573.77, Total Timesteps: 18232930 episode:231 

