For Seed: 1 

Rewards Tr: 1456.85, Rewards Disc: 0.50, Rewards Eval: 1543.21, Total Timesteps: 8401660 episode:92 

Rewards Tr: 1392.16, Rewards Disc: 0.59, Rewards Eval: 1899.84, Total Timesteps: 8572680 episode:93 

Rewards Tr: 1333.26, Rewards Disc: 0.68, Rewards Eval: 1973.01, Total Timesteps: 8729790 episode:94 

Rewards Tr: 1479.47, Rewards Disc: 0.73, Rewards Eval: 1366.26, Total Timesteps: 8898470 episode:95 

Rewards Tr: 1258.12, Rewards Disc: 0.56, Rewards Eval: 1633.22, Total Timesteps: 9049010 episode:96 

Rewards Tr: 1243.22, Rewards Disc: 0.58, Rewards Eval: 1040.12, Total Timesteps: 9202850 episode:97 

Rewards Tr: 1353.17, Rewards Disc: 0.62, Rewards Eval: 1720.41, Total Timesteps: 9354290 episode:98 

Rewards Tr: 1365.91, Rewards Disc: 0.49, Rewards Eval: 1435.28, Total Timesteps: 9515360 episode:99 

Rewards Tr: 1416.67, Rewards Disc: 0.70, Rewards Eval: 2035.98, Total Timesteps: 9675710 episode:100 

Rewards Tr: 1409.38, Rewards Disc: 0.68, Rewards Eval: 1252.47, Total Timesteps: 9838500 episode:101 

Rewards Tr: 1370.87, Rewards Disc: 0.56, Rewards Eval: 1567.24, Total Timesteps: 10010930 episode:102 

Rewards Tr: 1395.65, Rewards Disc: 0.58, Rewards Eval: 2439.32, Total Timesteps: 10178280 episode:103 

Rewards Tr: 1408.01, Rewards Disc: 0.62, Rewards Eval: 1751.48, Total Timesteps: 10334940 episode:104 

Rewards Tr: 1430.58, Rewards Disc: 0.68, Rewards Eval: 1634.23, Total Timesteps: 10516330 episode:105 

Rewards Tr: 1369.83, Rewards Disc: 0.71, Rewards Eval: 1113.58, Total Timesteps: 10670850 episode:106 

Rewards Tr: 1374.80, Rewards Disc: 0.56, Rewards Eval: 2077.60, Total Timesteps: 10832180 episode:107 

Rewards Tr: 1537.46, Rewards Disc: 0.69, Rewards Eval: 1884.53, Total Timesteps: 11014100 episode:108 

Rewards Tr: 1643.98, Rewards Disc: 0.63, Rewards Eval: 1493.55, Total Timesteps: 11206460 episode:109 

Rewards Tr: 1466.97, Rewards Disc: 0.70, Rewards Eval: 2048.50, Total Timesteps: 11388200 episode:110 

Rewards Tr: 1499.40, Rewards Disc: 0.65, Rewards Eval: 1802.66, Total Timesteps: 11567050 episode:111 

Rewards Tr: 1664.92, Rewards Disc: 0.70, Rewards Eval: 1615.65, Total Timesteps: 11758130 episode:112 

Rewards Tr: 1384.74, Rewards Disc: 0.75, Rewards Eval: 1632.39, Total Timesteps: 11935610 episode:113 

Rewards Tr: 1704.62, Rewards Disc: 0.65, Rewards Eval: 1829.15, Total Timesteps: 12115690 episode:114 

Rewards Tr: 1300.90, Rewards Disc: 0.70, Rewards Eval: 1145.94, Total Timesteps: 12271210 episode:115 

