For Seed: 1 

Rewards Tr: 1657.06, Rewards Val: 1787.04, Rewards Eval: 1580.47, Total Timesteps: 29178650 episode:132 

Rewards Tr: 2136.74, Rewards Val: 2194.35, Rewards Eval: 1273.27, Total Timesteps: 29540760 episode:133 

Rewards Tr: 1942.21, Rewards Val: 1960.04, Rewards Eval: 1591.69, Total Timesteps: 29876110 episode:134 

Rewards Tr: 1743.37, Rewards Val: 1837.15, Rewards Eval: 641.77, Total Timesteps: 30237280 episode:135 

Rewards Tr: 1837.73, Rewards Val: 1798.47, Rewards Eval: 1143.59, Total Timesteps: 30546270 episode:136 

Rewards Tr: 1259.11, Rewards Val: 1212.69, Rewards Eval: 1599.77, Total Timesteps: 30764210 episode:137 

Rewards Tr: 1901.72, Rewards Val: 1913.82, Rewards Eval: 1125.86, Total Timesteps: 31077650 episode:138 

Rewards Tr: 1906.89, Rewards Val: 1908.05, Rewards Eval: 1334.96, Total Timesteps: 31432760 episode:139 

Rewards Tr: 2239.23, Rewards Val: 2204.78, Rewards Eval: 1214.33, Total Timesteps: 31795920 episode:140 

Rewards Tr: 1607.28, Rewards Val: 1661.10, Rewards Eval: 1577.90, Total Timesteps: 32131060 episode:141 

Rewards Tr: 1739.17, Rewards Val: 1819.34, Rewards Eval: 1630.28, Total Timesteps: 32474640 episode:142 

Rewards Tr: 2132.07, Rewards Val: 2301.26, Rewards Eval: 1584.70, Total Timesteps: 32848810 episode:143 

Rewards Tr: 1809.98, Rewards Val: 1789.43, Rewards Eval: 1463.04, Total Timesteps: 33184840 episode:144 

Rewards Tr: 1668.35, Rewards Val: 1844.52, Rewards Eval: 1587.71, Total Timesteps: 33509930 episode:145 

Rewards Tr: 1861.13, Rewards Val: 1926.47, Rewards Eval: 1169.17, Total Timesteps: 33831610 episode:146 

Rewards Tr: 2035.02, Rewards Val: 2055.19, Rewards Eval: 1203.84, Total Timesteps: 34196380 episode:147 

Rewards Tr: 1807.26, Rewards Val: 1813.66, Rewards Eval: 1620.14, Total Timesteps: 34536190 episode:148 

Rewards Tr: 1842.46, Rewards Val: 1878.68, Rewards Eval: 1496.99, Total Timesteps: 34890910 episode:149 

Rewards Tr: 2161.67, Rewards Val: 2244.99, Rewards Eval: 1604.58, Total Timesteps: 35266660 episode:150 

Rewards Tr: 1993.40, Rewards Val: 2063.95, Rewards Eval: 1590.47, Total Timesteps: 35639140 episode:151 

Rewards Tr: 1941.45, Rewards Val: 2093.89, Rewards Eval: 1155.87, Total Timesteps: 35998430 episode:152 

Rewards Tr: 1969.66, Rewards Val: 1993.88, Rewards Eval: 1121.82, Total Timesteps: 36325390 episode:153 

Rewards Tr: 1734.54, Rewards Val: 1701.20, Rewards Eval: 1476.77, Total Timesteps: 36588080 episode:154 

Rewards Tr: 1631.59, Rewards Val: 1755.24, Rewards Eval: 1515.92, Total Timesteps: 36858380 episode:155 

Rewards Tr: 2140.12, Rewards Val: 2272.42, Rewards Eval: 1696.80, Total Timesteps: 37227220 episode:156 

Rewards Tr: 2014.54, Rewards Val: 2070.08, Rewards Eval: 998.23, Total Timesteps: 37564480 episode:157 

Rewards Tr: 1662.41, Rewards Val: 1678.17, Rewards Eval: 1399.39, Total Timesteps: 37823520 episode:158 

Rewards Tr: 1884.77, Rewards Val: 1872.60, Rewards Eval: 1688.92, Total Timesteps: 38144630 episode:159 

Rewards Tr: 2113.16, Rewards Val: 2338.09, Rewards Eval: 1407.34, Total Timesteps: 38519810 episode:160 

Rewards Tr: 1660.36, Rewards Val: 1663.01, Rewards Eval: 1386.43, Total Timesteps: 38799290 episode:161 

Rewards Tr: 1442.50, Rewards Val: 1418.09, Rewards Eval: 1284.12, Total Timesteps: 39058090 episode:162 

Rewards Tr: 2029.25, Rewards Val: 2147.37, Rewards Eval: 1605.51, Total Timesteps: 39434180 episode:163 

Rewards Tr: 2411.31, Rewards Val: 2373.75, Rewards Eval: 1660.47, Total Timesteps: 39824210 episode:164 

Rewards Tr: 1553.88, Rewards Val: 1510.02, Rewards Eval: 1668.24, Total Timesteps: 40067640 episode:165 

Rewards Tr: 1998.94, Rewards Val: 1982.80, Rewards Eval: 1207.12, Total Timesteps: 40379750 episode:166 

Rewards Tr: 1853.01, Rewards Val: 1911.42, Rewards Eval: 1624.56, Total Timesteps: 40679680 episode:167 

Rewards Tr: 2291.70, Rewards Val: 2210.77, Rewards Eval: 1575.13, Total Timesteps: 41068420 episode:168 

Rewards Tr: 1845.31, Rewards Val: 1945.58, Rewards Eval: 911.19, Total Timesteps: 41394780 episode:169 

Rewards Tr: 1420.64, Rewards Val: 1498.66, Rewards Eval: 1597.89, Total Timesteps: 41634280 episode:170 

Rewards Tr: 1926.06, Rewards Val: 1950.39, Rewards Eval: 1728.49, Total Timesteps: 41946250 episode:171 

Rewards Tr: 2546.87, Rewards Val: 2561.75, Rewards Eval: 1209.46, Total Timesteps: 42346060 episode:172 

Rewards Tr: 2405.76, Rewards Val: 2427.21, Rewards Eval: 1335.16, Total Timesteps: 42729010 episode:173 

Rewards Tr: 2200.53, Rewards Val: 2280.14, Rewards Eval: 1187.34, Total Timesteps: 43036690 episode:174 

Rewards Tr: 1816.25, Rewards Val: 1886.01, Rewards Eval: 1142.82, Total Timesteps: 43313000 episode:175 

Rewards Tr: 1650.69, Rewards Val: 1609.25, Rewards Eval: 1638.65, Total Timesteps: 43592030 episode:176 

Rewards Tr: 2173.29, Rewards Val: 2222.93, Rewards Eval: 1577.49, Total Timesteps: 43963990 episode:177 

Rewards Tr: 1950.23, Rewards Val: 1980.70, Rewards Eval: 785.44, Total Timesteps: 44316260 episode:178 

Rewards Tr: 1473.96, Rewards Val: 1467.36, Rewards Eval: 1637.66, Total Timesteps: 44551580 episode:179 

Rewards Tr: 1924.17, Rewards Val: 1921.88, Rewards Eval: 1619.74, Total Timesteps: 44861490 episode:180 

Rewards Tr: 1944.45, Rewards Val: 2068.19, Rewards Eval: 1620.91, Total Timesteps: 45208560 episode:181 

Rewards Tr: 2153.33, Rewards Val: 2198.15, Rewards Eval: 1568.66, Total Timesteps: 45572930 episode:182 

Rewards Tr: 1526.29, Rewards Val: 1591.26, Rewards Eval: 1745.37, Total Timesteps: 45838920 episode:183 

Rewards Tr: 1435.66, Rewards Val: 1451.73, Rewards Eval: 1621.14, Total Timesteps: 46085490 episode:184 

Rewards Tr: 2308.47, Rewards Val: 2277.01, Rewards Eval: 1357.76, Total Timesteps: 46467690 episode:185 

Rewards Tr: 1916.39, Rewards Val: 1929.55, Rewards Eval: 1184.89, Total Timesteps: 46790670 episode:186 

Rewards Tr: 1552.72, Rewards Val: 1519.11, Rewards Eval: 1685.45, Total Timesteps: 47039790 episode:187 

Rewards Tr: 2250.37, Rewards Val: 2235.16, Rewards Eval: 1680.37, Total Timesteps: 47389050 episode:188 

Rewards Tr: 2316.08, Rewards Val: 2309.28, Rewards Eval: 1228.62, Total Timesteps: 47772100 episode:189 

Rewards Tr: 1945.81, Rewards Val: 1876.94, Rewards Eval: 1303.61, Total Timesteps: 48086120 episode:190 

Rewards Tr: 1938.91, Rewards Val: 1957.91, Rewards Eval: 1586.29, Total Timesteps: 48385200 episode:191 

Rewards Tr: 1942.77, Rewards Val: 1926.80, Rewards Eval: 1707.60, Total Timesteps: 48693080 episode:192 

Rewards Tr: 1633.88, Rewards Val: 1607.35, Rewards Eval: 1611.55, Total Timesteps: 48975510 episode:193 

Rewards Tr: 1941.98, Rewards Val: 2047.19, Rewards Eval: 1401.54, Total Timesteps: 49297650 episode:194 

Rewards Tr: 1954.51, Rewards Val: 2011.21, Rewards Eval: 1960.28, Total Timesteps: 49613770 episode:195 

Rewards Tr: 1570.02, Rewards Val: 1621.37, Rewards Eval: 1038.76, Total Timesteps: 49880770 episode:196 

Rewards Tr: 1808.80, Rewards Val: 1838.09, Rewards Eval: 1110.77, Total Timesteps: 50177380 episode:197 

Rewards Tr: 1954.43, Rewards Val: 1891.81, Rewards Eval: 1324.54, Total Timesteps: 50496320 episode:198 

Rewards Tr: 2108.94, Rewards Val: 2104.03, Rewards Eval: 1278.35, Total Timesteps: 50824470 episode:199 

Rewards Tr: 2097.83, Rewards Val: 2037.55, Rewards Eval: 875.48, Total Timesteps: 51149770 episode:200 

Rewards Tr: 1649.70, Rewards Val: 1621.21, Rewards Eval: 1498.14, Total Timesteps: 51443980 episode:201 

Rewards Tr: 1951.47, Rewards Val: 1956.87, Rewards Eval: 1732.84, Total Timesteps: 51775380 episode:202 

Rewards Tr: 1967.19, Rewards Val: 1930.82, Rewards Eval: 1205.25, Total Timesteps: 52091890 episode:203 

Rewards Tr: 1860.32, Rewards Val: 1869.08, Rewards Eval: 757.52, Total Timesteps: 52412700 episode:204 

Rewards Tr: 1820.03, Rewards Val: 1804.32, Rewards Eval: 760.42, Total Timesteps: 52713400 episode:205 

Rewards Tr: 1782.94, Rewards Val: 1796.27, Rewards Eval: 2180.10, Total Timesteps: 53002520 episode:206 

Rewards Tr: 1626.70, Rewards Val: 1622.17, Rewards Eval: 1707.27, Total Timesteps: 53284880 episode:207 

Rewards Tr: 1808.30, Rewards Val: 1861.49, Rewards Eval: 1941.91, Total Timesteps: 53583750 episode:208 

Rewards Tr: 1818.72, Rewards Val: 1839.90, Rewards Eval: 1767.57, Total Timesteps: 53891850 episode:209 

Rewards Tr: 1695.60, Rewards Val: 1704.78, Rewards Eval: 1183.95, Total Timesteps: 54182880 episode:210 

Rewards Tr: 2022.49, Rewards Val: 2163.53, Rewards Eval: 1682.23, Total Timesteps: 54518610 episode:211 

Rewards Tr: 1868.36, Rewards Val: 1894.66, Rewards Eval: 1578.95, Total Timesteps: 54834410 episode:212 

Rewards Tr: 1630.04, Rewards Val: 1531.88, Rewards Eval: 1524.82, Total Timesteps: 55107280 episode:213 

Rewards Tr: 1840.43, Rewards Val: 1782.17, Rewards Eval: 1263.38, Total Timesteps: 55421360 episode:214 

Rewards Tr: 1829.58, Rewards Val: 1858.50, Rewards Eval: 1659.86, Total Timesteps: 55749070 episode:215 

Rewards Tr: 2000.23, Rewards Val: 1964.20, Rewards Eval: 1307.53, Total Timesteps: 56080000 episode:216 

Rewards Tr: 2235.50, Rewards Val: 2287.05, Rewards Eval: 1475.41, Total Timesteps: 56442190 episode:217 

Rewards Tr: 1787.82, Rewards Val: 1923.23, Rewards Eval: 1675.78, Total Timesteps: 56751610 episode:218 

Rewards Tr: 1909.74, Rewards Val: 2014.92, Rewards Eval: 1672.41, Total Timesteps: 57066330 episode:219 

Rewards Tr: 2361.46, Rewards Val: 2339.67, Rewards Eval: 1677.86, Total Timesteps: 57416420 episode:220 

Rewards Tr: 1908.18, Rewards Val: 2033.31, Rewards Eval: 1293.03, Total Timesteps: 57749450 episode:221 

Rewards Tr: 1757.11, Rewards Val: 1766.20, Rewards Eval: 1678.31, Total Timesteps: 58043390 episode:222 

Rewards Tr: 2096.02, Rewards Val: 1980.05, Rewards Eval: 1724.25, Total Timesteps: 58376990 episode:223 

Rewards Tr: 1866.28, Rewards Val: 1923.27, Rewards Eval: 1661.71, Total Timesteps: 58674860 episode:224 

Rewards Tr: 1815.62, Rewards Val: 1827.04, Rewards Eval: 1671.61, Total Timesteps: 58982760 episode:225 

Rewards Tr: 2052.86, Rewards Val: 2138.56, Rewards Eval: 1683.03, Total Timesteps: 59303480 episode:226 

Rewards Tr: 1912.58, Rewards Val: 1967.77, Rewards Eval: 1403.84, Total Timesteps: 59635260 episode:227 

Rewards Tr: 1713.75, Rewards Val: 1763.66, Rewards Eval: 1940.29, Total Timesteps: 59932890 episode:228 

Rewards Tr: 1730.05, Rewards Val: 1778.94, Rewards Eval: 1654.28, Total Timesteps: 60229480 episode:229 

Rewards Tr: 2288.64, Rewards Val: 2304.97, Rewards Eval: 1336.87, Total Timesteps: 60576140 episode:230 

Rewards Tr: 1742.82, Rewards Val: 1723.41, Rewards Eval: 1494.37, Total Timesteps: 60887660 episode:231 

Rewards Tr: 2095.23, Rewards Val: 2068.29, Rewards Eval: 1560.92, Total Timesteps: 61212710 episode:232 

