
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 10.96, Rewards Eval: 0.00, Total Timesteps: 8460 episode:0 
Rewards Tr: 926.23, Rewards Eval: 899.52, Total Timesteps: 24520860 episode:124 

Rewards Tr: 909.09, Rewards Eval: 1017.42, Total Timesteps: 24820860 episode:125 

Rewards Tr: 971.15, Rewards Eval: 755.74, Total Timesteps: 25120860 episode:126 

Rewards Tr: 950.26, Rewards Eval: 895.72, Total Timesteps: 25420860 episode:127 

Rewards Tr: 952.36, Rewards Eval: 1018.30, Total Timesteps: 25720860 episode:128 

Rewards Tr: 977.43, Rewards Eval: 966.58, Total Timesteps: 26020860 episode:129 

Rewards Tr: 958.41, Rewards Eval: 808.21, Total Timesteps: 26320860 episode:130 

Rewards Tr: 938.05, Rewards Eval: 999.65, Total Timesteps: 26620860 episode:131 

Rewards Tr: 919.01, Rewards Eval: 908.23, Total Timesteps: 26920860 episode:132 

Rewards Tr: 893.15, Rewards Eval: 955.69, Total Timesteps: 27220860 episode:133 

Rewards Tr: 930.21, Rewards Eval: 1021.70, Total Timesteps: 27520860 episode:134 

Rewards Tr: 945.00, Rewards Eval: 1021.28, Total Timesteps: 27820860 episode:135 

Rewards Tr: 955.32, Rewards Eval: 994.85, Total Timesteps: 28120860 episode:136 

Rewards Tr: 938.77, Rewards Eval: 1016.59, Total Timesteps: 28420860 episode:137 

Rewards Tr: 936.63, Rewards Eval: 953.13, Total Timesteps: 28720860 episode:138 

Rewards Tr: 944.17, Rewards Eval: 1013.78, Total Timesteps: 29020860 episode:139 

Rewards Tr: 929.91, Rewards Eval: 1024.58, Total Timesteps: 29320860 episode:140 

Rewards Tr: 929.72, Rewards Eval: 1016.31, Total Timesteps: 29620860 episode:141 

Rewards Tr: 956.21, Rewards Eval: 958.80, Total Timesteps: 29920860 episode:142 

Rewards Tr: 959.35, Rewards Eval: 1006.19, Total Timesteps: 30220860 episode:143 

Rewards Tr: 976.85, Rewards Eval: 893.57, Total Timesteps: 30520860 episode:144 

Rewards Tr: 946.83, Rewards Eval: 1028.78, Total Timesteps: 30820860 episode:145 

Rewards Tr: 952.00, Rewards Eval: 693.75, Total Timesteps: 31120860 episode:146 

Rewards Tr: 968.92, Rewards Eval: 899.93, Total Timesteps: 31420860 episode:147 

Rewards Tr: 952.64, Rewards Eval: 1032.16, Total Timesteps: 31720860 episode:148 

Rewards Tr: 938.46, Rewards Eval: 753.49, Total Timesteps: 32020860 episode:149 

Rewards Tr: 899.09, Rewards Eval: 964.72, Total Timesteps: 32320860 episode:150 

Rewards Tr: 924.25, Rewards Eval: 1037.96, Total Timesteps: 32620860 episode:151 

Rewards Tr: 918.02, Rewards Eval: 857.68, Total Timesteps: 32920860 episode:152 

Rewards Tr: 916.44, Rewards Eval: 972.07, Total Timesteps: 33220860 episode:153 

Rewards Tr: 924.64, Rewards Eval: 835.54, Total Timesteps: 33520860 episode:154 

Rewards Tr: 924.22, Rewards Eval: 966.25, Total Timesteps: 33820860 episode:155 

Rewards Tr: 945.86, Rewards Eval: 835.09, Total Timesteps: 34120860 episode:156 

Rewards Tr: 904.95, Rewards Eval: 926.49, Total Timesteps: 34420860 episode:157 

Rewards Tr: 917.38, Rewards Eval: 925.67, Total Timesteps: 34720860 episode:158 

Rewards Tr: 857.23, Rewards Eval: 736.63, Total Timesteps: 35019900 episode:159 

Rewards Tr: 793.66, Rewards Eval: 825.03, Total Timesteps: 35314710 episode:160 

Rewards Tr: 712.03, Rewards Eval: 679.71, Total Timesteps: 35594730 episode:161 

Rewards Tr: 645.07, Rewards Eval: 714.08, Total Timesteps: 35861290 episode:162 

Rewards Tr: 621.61, Rewards Eval: 646.78, Total Timesteps: 36131660 episode:163 

Rewards Tr: 575.91, Rewards Eval: 618.27, Total Timesteps: 36390280 episode:164 

Rewards Tr: 596.11, Rewards Eval: 568.73, Total Timesteps: 36663170 episode:165 

Rewards Tr: 575.63, Rewards Eval: 464.17, Total Timesteps: 36925380 episode:166 

Rewards Tr: 579.39, Rewards Eval: 634.36, Total Timesteps: 37190180 episode:167 

Rewards Tr: 572.95, Rewards Eval: 479.38, Total Timesteps: 37459550 episode:168 

Rewards Tr: 538.64, Rewards Eval: 441.07, Total Timesteps: 37703340 episode:169 

Rewards Tr: 538.67, Rewards Eval: 506.85, Total Timesteps: 37933390 episode:170 

Rewards Tr: 515.05, Rewards Eval: 643.60, Total Timesteps: 38140530 episode:171 

Rewards Tr: 528.63, Rewards Eval: 488.00, Total Timesteps: 38344460 episode:172 

Rewards Tr: 521.87, Rewards Eval: 487.30, Total Timesteps: 38513090 episode:173 

Rewards Tr: 520.53, Rewards Eval: 504.19, Total Timesteps: 38684340 episode:174 

Rewards Tr: 537.87, Rewards Eval: 545.51, Total Timesteps: 38858750 episode:175 

