For Seed: 102 

Rewards Tr: 16.51, Rewards Val: 18.13, Rewards Disc: -0.05, Rewards Eval: 16.87, Total Timesteps: 29351780 episode:72 

Rewards Tr: 19.01, Rewards Val: 16.37, Rewards Disc: 0.01, Rewards Eval: 30.67, Total Timesteps: 29951780 episode:73 

Rewards Tr: 21.92, Rewards Val: 23.13, Rewards Disc: -0.01, Rewards Eval: 19.44, Total Timesteps: 30551780 episode:74 

Rewards Tr: 28.14, Rewards Val: 22.69, Rewards Disc: 0.02, Rewards Eval: -2.44, Total Timesteps: 31151780 episode:75 

Rewards Tr: 27.36, Rewards Val: 27.12, Rewards Disc: -0.02, Rewards Eval: 6.90, Total Timesteps: 31751780 episode:76 

Rewards Tr: 33.39, Rewards Val: 29.58, Rewards Disc: 0.02, Rewards Eval: 40.88, Total Timesteps: 32351780 episode:77 

Rewards Tr: 33.95, Rewards Val: 29.53, Rewards Disc: 0.02, Rewards Eval: 28.60, Total Timesteps: 32951780 episode:78 

Rewards Tr: 34.68, Rewards Val: 32.43, Rewards Disc: 0.03, Rewards Eval: 5.10, Total Timesteps: 33551780 episode:79 

Rewards Tr: 37.68, Rewards Val: 35.71, Rewards Disc: -0.01, Rewards Eval: 45.26, Total Timesteps: 34151780 episode:80 

Rewards Tr: 35.94, Rewards Val: 40.99, Rewards Disc: -0.06, Rewards Eval: 47.03, Total Timesteps: 34751780 episode:81 

Rewards Tr: 35.91, Rewards Val: 39.64, Rewards Disc: -0.05, Rewards Eval: 27.95, Total Timesteps: 35351780 episode:82 

Rewards Tr: 37.99, Rewards Val: 38.25, Rewards Disc: 0.01, Rewards Eval: 48.44, Total Timesteps: 35951780 episode:83 

Rewards Tr: 39.59, Rewards Val: 44.34, Rewards Disc: -0.01, Rewards Eval: 44.97, Total Timesteps: 36551780 episode:84 

Rewards Tr: 46.79, Rewards Val: 44.54, Rewards Disc: -0.01, Rewards Eval: 50.98, Total Timesteps: 37151780 episode:85 

Rewards Tr: 50.65, Rewards Val: 48.98, Rewards Disc: -0.05, Rewards Eval: 21.48, Total Timesteps: 37751780 episode:86 

Rewards Tr: 51.70, Rewards Val: 51.38, Rewards Disc: 0.03, Rewards Eval: 29.05, Total Timesteps: 38351780 episode:87 

Rewards Tr: 56.13, Rewards Val: 55.20, Rewards Disc: 0.00, Rewards Eval: 76.33, Total Timesteps: 38951780 episode:88 

Rewards Tr: 58.68, Rewards Val: 60.22, Rewards Disc: -0.03, Rewards Eval: 51.77, Total Timesteps: 39551780 episode:89 

Rewards Tr: 65.70, Rewards Val: 66.03, Rewards Disc: -0.03, Rewards Eval: 72.15, Total Timesteps: 40151780 episode:90 

Rewards Tr: 64.95, Rewards Val: 67.41, Rewards Disc: 0.02, Rewards Eval: 36.13, Total Timesteps: 40751780 episode:91 

Rewards Tr: 72.99, Rewards Val: 70.83, Rewards Disc: 0.00, Rewards Eval: 56.87, Total Timesteps: 41351780 episode:92 

Rewards Tr: 75.00, Rewards Val: 76.50, Rewards Disc: 0.02, Rewards Eval: 47.74, Total Timesteps: 41951780 episode:93 

Rewards Tr: 78.14, Rewards Val: 81.25, Rewards Disc: 0.01, Rewards Eval: 55.67, Total Timesteps: 42551780 episode:94 

Rewards Tr: 81.17, Rewards Val: 85.94, Rewards Disc: -0.01, Rewards Eval: 40.25, Total Timesteps: 43151780 episode:95 

Rewards Tr: 86.95, Rewards Val: 90.96, Rewards Disc: 0.01, Rewards Eval: 73.16, Total Timesteps: 43751780 episode:96 

Rewards Tr: 90.71, Rewards Val: 95.76, Rewards Disc: -0.01, Rewards Eval: 77.28, Total Timesteps: 44351780 episode:97 

Rewards Tr: 97.19, Rewards Val: 97.09, Rewards Disc: 0.01, Rewards Eval: 97.49, Total Timesteps: 44951780 episode:98 

Rewards Tr: 79.30, Rewards Val: 84.22, Rewards Disc: 0.19, Rewards Eval: 70.96, Total Timesteps: 45551780 episode:99 

Rewards Tr: 89.05, Rewards Val: 88.68, Rewards Disc: 0.23, Rewards Eval: 99.46, Total Timesteps: 46151780 episode:100 

Rewards Tr: 86.44, Rewards Val: 85.21, Rewards Disc: 0.32, Rewards Eval: 78.88, Total Timesteps: 46751780 episode:101 

Rewards Tr: 89.53, Rewards Val: 94.76, Rewards Disc: 0.24, Rewards Eval: 116.00, Total Timesteps: 47351780 episode:102 

Rewards Tr: 98.08, Rewards Val: 95.59, Rewards Disc: 0.23, Rewards Eval: 129.78, Total Timesteps: 47951780 episode:103 

Rewards Tr: 98.93, Rewards Val: 98.62, Rewards Disc: 0.26, Rewards Eval: 76.66, Total Timesteps: 48551780 episode:104 

Rewards Tr: 102.01, Rewards Val: 102.60, Rewards Disc: 0.25, Rewards Eval: 81.11, Total Timesteps: 49151780 episode:105 

Rewards Tr: 104.67, Rewards Val: 103.73, Rewards Disc: 0.22, Rewards Eval: 88.25, Total Timesteps: 49751780 episode:106 

Rewards Tr: 109.50, Rewards Val: 107.24, Rewards Disc: 0.21, Rewards Eval: 102.43, Total Timesteps: 50351780 episode:107 

Rewards Tr: 107.07, Rewards Val: 109.78, Rewards Disc: 0.24, Rewards Eval: 117.66, Total Timesteps: 50951780 episode:108 

Rewards Tr: 111.52, Rewards Val: 109.96, Rewards Disc: 0.24, Rewards Eval: 104.47, Total Timesteps: 51551780 episode:109 

Rewards Tr: 112.64, Rewards Val: 110.83, Rewards Disc: 0.24, Rewards Eval: 96.75, Total Timesteps: 52151780 episode:110 

Rewards Tr: 112.01, Rewards Val: 116.65, Rewards Disc: 0.17, Rewards Eval: 118.49, Total Timesteps: 52751780 episode:111 

Rewards Tr: 119.53, Rewards Val: 118.92, Rewards Disc: 0.20, Rewards Eval: 115.73, Total Timesteps: 53351780 episode:112 

Rewards Tr: 123.01, Rewards Val: 126.61, Rewards Disc: 0.16, Rewards Eval: 144.80, Total Timesteps: 53951780 episode:113 

Rewards Tr: 120.06, Rewards Val: 118.12, Rewards Disc: 0.24, Rewards Eval: 129.93, Total Timesteps: 54551780 episode:114 

Rewards Tr: 109.18, Rewards Val: 114.98, Rewards Disc: 0.31, Rewards Eval: 83.04, Total Timesteps: 55151780 episode:115 

Rewards Tr: 122.18, Rewards Val: 122.54, Rewards Disc: 0.22, Rewards Eval: 136.43, Total Timesteps: 55751780 episode:116 

Rewards Tr: 114.28, Rewards Val: 110.72, Rewards Disc: 0.33, Rewards Eval: 96.50, Total Timesteps: 56351780 episode:117 

Rewards Tr: 115.10, Rewards Val: 112.08, Rewards Disc: 0.34, Rewards Eval: 103.23, Total Timesteps: 56951780 episode:118 

Rewards Tr: 119.04, Rewards Val: 123.98, Rewards Disc: 0.15, Rewards Eval: 90.75, Total Timesteps: 57551780 episode:119 

Rewards Tr: 130.26, Rewards Val: 125.42, Rewards Disc: 0.11, Rewards Eval: 113.07, Total Timesteps: 58151780 episode:120 

Rewards Tr: 112.61, Rewards Val: 111.06, Rewards Disc: 0.22, Rewards Eval: 103.33, Total Timesteps: 58751780 episode:121 

Rewards Tr: 100.39, Rewards Val: 103.60, Rewards Disc: 0.22, Rewards Eval: 81.49, Total Timesteps: 59351780 episode:122 

Rewards Tr: 96.83, Rewards Val: 94.51, Rewards Disc: 0.25, Rewards Eval: 117.30, Total Timesteps: 59951780 episode:123 

Rewards Tr: 106.67, Rewards Val: 107.98, Rewards Disc: 0.05, Rewards Eval: 88.08, Total Timesteps: 60551780 episode:124 

Rewards Tr: 110.35, Rewards Val: 110.31, Rewards Disc: 0.03, Rewards Eval: 99.50, Total Timesteps: 61151780 episode:125 

Rewards Tr: 105.75, Rewards Val: 104.73, Rewards Disc: 0.03, Rewards Eval: 86.16, Total Timesteps: 61751780 episode:126 

Rewards Tr: 101.76, Rewards Val: 102.10, Rewards Disc: 0.08, Rewards Eval: 103.61, Total Timesteps: 62351780 episode:127 

Rewards Tr: 95.81, Rewards Val: 98.43, Rewards Disc: 0.12, Rewards Eval: 85.77, Total Timesteps: 62951780 episode:128 

Rewards Tr: 94.56, Rewards Val: 92.28, Rewards Disc: 0.23, Rewards Eval: 124.93, Total Timesteps: 63551780 episode:129 

Rewards Tr: 95.65, Rewards Val: 92.71, Rewards Disc: 0.29, Rewards Eval: 157.55, Total Timesteps: 64151780 episode:130 

Rewards Tr: 103.41, Rewards Val: 103.59, Rewards Disc: 0.31, Rewards Eval: 125.32, Total Timesteps: 64751780 episode:131 

Rewards Tr: 112.87, Rewards Val: 113.64, Rewards Disc: 0.23, Rewards Eval: 120.26, Total Timesteps: 65351780 episode:132 

Rewards Tr: 126.27, Rewards Val: 126.88, Rewards Disc: 0.18, Rewards Eval: 147.18, Total Timesteps: 65951780 episode:133 

Rewards Tr: 143.16, Rewards Val: 142.63, Rewards Disc: 0.07, Rewards Eval: 136.20, Total Timesteps: 66551780 episode:134 

Rewards Tr: 153.29, Rewards Val: 149.45, Rewards Disc: 0.04, Rewards Eval: 163.87, Total Timesteps: 67151780 episode:135 

Rewards Tr: 155.49, Rewards Val: 151.49, Rewards Disc: 0.11, Rewards Eval: 112.11, Total Timesteps: 67751780 episode:136 

Rewards Tr: 155.74, Rewards Val: 159.99, Rewards Disc: 0.01, Rewards Eval: 158.12, Total Timesteps: 68351780 episode:137 

Rewards Tr: 164.51, Rewards Val: 165.89, Rewards Disc: -0.06, Rewards Eval: 144.20, Total Timesteps: 68951780 episode:138 

Rewards Tr: 160.24, Rewards Val: 157.77, Rewards Disc: -0.02, Rewards Eval: 106.97, Total Timesteps: 69551780 episode:139 

Rewards Tr: 163.05, Rewards Val: 160.93, Rewards Disc: -0.00, Rewards Eval: 119.08, Total Timesteps: 70151780 episode:140 

Rewards Tr: 162.80, Rewards Val: 159.95, Rewards Disc: -0.09, Rewards Eval: 139.29, Total Timesteps: 70751780 episode:141 

Rewards Tr: 155.69, Rewards Val: 161.35, Rewards Disc: -0.08, Rewards Eval: 119.89, Total Timesteps: 71351780 episode:142 

Rewards Tr: 163.12, Rewards Val: 159.42, Rewards Disc: -0.07, Rewards Eval: 153.97, Total Timesteps: 71951780 episode:143 

Rewards Tr: 163.56, Rewards Val: 166.35, Rewards Disc: -0.08, Rewards Eval: 148.37, Total Timesteps: 72551780 episode:144 

Rewards Tr: 161.40, Rewards Val: 164.87, Rewards Disc: -0.09, Rewards Eval: 138.11, Total Timesteps: 73151780 episode:145 

Rewards Tr: 163.52, Rewards Val: 165.24, Rewards Disc: -0.05, Rewards Eval: 132.03, Total Timesteps: 73751780 episode:146 

Rewards Tr: 163.34, Rewards Val: 162.57, Rewards Disc: -0.06, Rewards Eval: 142.10, Total Timesteps: 74351780 episode:147 

Rewards Tr: 169.04, Rewards Val: 163.90, Rewards Disc: -0.10, Rewards Eval: 153.67, Total Timesteps: 74951780 episode:148 

Rewards Tr: 163.22, Rewards Val: 165.74, Rewards Disc: -0.07, Rewards Eval: 116.14, Total Timesteps: 75551780 episode:149 

Rewards Tr: 162.40, Rewards Val: 163.24, Rewards Disc: -0.01, Rewards Eval: 145.56, Total Timesteps: 76151780 episode:150 

Rewards Tr: 149.53, Rewards Val: 151.18, Rewards Disc: 0.09, Rewards Eval: 151.43, Total Timesteps: 76751780 episode:151 

Rewards Tr: 140.39, Rewards Val: 143.68, Rewards Disc: 0.22, Rewards Eval: 139.47, Total Timesteps: 77351780 episode:152 

Rewards Tr: 133.30, Rewards Val: 133.19, Rewards Disc: 0.29, Rewards Eval: 158.31, Total Timesteps: 77951780 episode:153 

Rewards Tr: 136.41, Rewards Val: 134.77, Rewards Disc: 0.31, Rewards Eval: 189.31, Total Timesteps: 78551780 episode:154 

Rewards Tr: 132.66, Rewards Val: 137.33, Rewards Disc: 0.31, Rewards Eval: 156.02, Total Timesteps: 79151780 episode:155 

Rewards Tr: 128.15, Rewards Val: 121.10, Rewards Disc: 0.43, Rewards Eval: 139.15, Total Timesteps: 79751780 episode:156 

Rewards Tr: 123.64, Rewards Val: 123.60, Rewards Disc: 0.40, Rewards Eval: 144.33, Total Timesteps: 80351780 episode:157 

Rewards Tr: 127.67, Rewards Val: 124.55, Rewards Disc: 0.40, Rewards Eval: 154.92, Total Timesteps: 80951780 episode:158 

Rewards Tr: 139.25, Rewards Val: 140.71, Rewards Disc: 0.22, Rewards Eval: 157.98, Total Timesteps: 81551780 episode:159 

Rewards Tr: 149.92, Rewards Val: 153.87, Rewards Disc: 0.04, Rewards Eval: 143.61, Total Timesteps: 82151780 episode:160 

Rewards Tr: 132.37, Rewards Val: 135.47, Rewards Disc: 0.22, Rewards Eval: 161.51, Total Timesteps: 82751780 episode:161 

Rewards Tr: 127.92, Rewards Val: 128.36, Rewards Disc: 0.22, Rewards Eval: 135.58, Total Timesteps: 83351780 episode:162 

Rewards Tr: 142.96, Rewards Val: 143.24, Rewards Disc: 0.02, Rewards Eval: 137.60, Total Timesteps: 83951780 episode:163 

Rewards Tr: 120.39, Rewards Val: 124.76, Rewards Disc: 0.17, Rewards Eval: 155.04, Total Timesteps: 84551780 episode:164 

Rewards Tr: 122.96, Rewards Val: 120.41, Rewards Disc: 0.10, Rewards Eval: 87.71, Total Timesteps: 85151780 episode:165 

Rewards Tr: 133.34, Rewards Val: 131.57, Rewards Disc: -0.02, Rewards Eval: 121.21, Total Timesteps: 85751780 episode:166 

Rewards Tr: 127.19, Rewards Val: 125.38, Rewards Disc: -0.05, Rewards Eval: 108.63, Total Timesteps: 86351780 episode:167 

Rewards Tr: 119.40, Rewards Val: 124.10, Rewards Disc: -0.11, Rewards Eval: 117.94, Total Timesteps: 86951780 episode:168 

Rewards Tr: 120.89, Rewards Val: 121.54, Rewards Disc: -0.10, Rewards Eval: 130.24, Total Timesteps: 87551780 episode:169 

Rewards Tr: 116.95, Rewards Val: 115.11, Rewards Disc: -0.06, Rewards Eval: 102.98, Total Timesteps: 88151780 episode:170 

Rewards Tr: 116.71, Rewards Val: 117.56, Rewards Disc: -0.05, Rewards Eval: 104.21, Total Timesteps: 88751780 episode:171 

Rewards Tr: 124.36, Rewards Val: 123.00, Rewards Disc: -0.13, Rewards Eval: 95.20, Total Timesteps: 89351780 episode:172 

Rewards Tr: 122.02, Rewards Val: 120.52, Rewards Disc: -0.09, Rewards Eval: 139.25, Total Timesteps: 89951780 episode:173 

Rewards Tr: 125.13, Rewards Val: 125.33, Rewards Disc: -0.09, Rewards Eval: 112.36, Total Timesteps: 90551780 episode:174 

Rewards Tr: 123.88, Rewards Val: 126.74, Rewards Disc: -0.04, Rewards Eval: 120.06, Total Timesteps: 91151780 episode:175 

Rewards Tr: 136.64, Rewards Val: 136.54, Rewards Disc: -0.08, Rewards Eval: 101.88, Total Timesteps: 91751780 episode:176 

Rewards Tr: 140.15, Rewards Val: 134.60, Rewards Disc: 0.00, Rewards Eval: 112.38, Total Timesteps: 92351780 episode:177 

Rewards Tr: 144.33, Rewards Val: 145.70, Rewards Disc: -0.08, Rewards Eval: 100.92, Total Timesteps: 92951780 episode:178 

Rewards Tr: 143.96, Rewards Val: 146.20, Rewards Disc: -0.09, Rewards Eval: 161.95, Total Timesteps: 93551780 episode:179 

Rewards Tr: 140.96, Rewards Val: 141.73, Rewards Disc: 0.04, Rewards Eval: 150.36, Total Timesteps: 94151780 episode:180 

Rewards Tr: 143.87, Rewards Val: 143.10, Rewards Disc: 0.04, Rewards Eval: 148.93, Total Timesteps: 94751780 episode:181 

Rewards Tr: 147.05, Rewards Val: 139.79, Rewards Disc: 0.12, Rewards Eval: 142.75, Total Timesteps: 95351780 episode:182 

Rewards Tr: 151.33, Rewards Val: 147.35, Rewards Disc: 0.06, Rewards Eval: 148.57, Total Timesteps: 95951780 episode:183 

Rewards Tr: 153.05, Rewards Val: 148.27, Rewards Disc: 0.07, Rewards Eval: 167.56, Total Timesteps: 96551780 episode:184 

Rewards Tr: 145.40, Rewards Val: 142.27, Rewards Disc: 0.08, Rewards Eval: 156.67, Total Timesteps: 97151780 episode:185 

Rewards Tr: 138.75, Rewards Val: 135.41, Rewards Disc: 0.22, Rewards Eval: 130.32, Total Timesteps: 97751780 episode:186 

Rewards Tr: 123.52, Rewards Val: 121.96, Rewards Disc: 0.32, Rewards Eval: 128.62, Total Timesteps: 98351780 episode:187 

Rewards Tr: 116.63, Rewards Val: 117.93, Rewards Disc: 0.40, Rewards Eval: 160.13, Total Timesteps: 98951780 episode:188 

Rewards Tr: 113.80, Rewards Val: 112.20, Rewards Disc: 0.46, Rewards Eval: 155.38, Total Timesteps: 99551780 episode:189 

Rewards Tr: 117.48, Rewards Val: 118.50, Rewards Disc: 0.32, Rewards Eval: 148.08, Total Timesteps: 100151780 episode:190 

Rewards Tr: 122.00, Rewards Val: 128.06, Rewards Disc: 0.21, Rewards Eval: 119.85, Total Timesteps: 100751780 episode:191 

Rewards Tr: 114.29, Rewards Val: 114.52, Rewards Disc: 0.39, Rewards Eval: 141.82, Total Timesteps: 101351780 episode:192 

Rewards Tr: 146.62, Rewards Val: 146.73, Rewards Disc: -0.00, Rewards Eval: 138.89, Total Timesteps: 101951780 episode:193 

Rewards Tr: 145.16, Rewards Val: 142.84, Rewards Disc: 0.01, Rewards Eval: 135.47, Total Timesteps: 102551780 episode:194 

Rewards Tr: 131.74, Rewards Val: 135.22, Rewards Disc: 0.05, Rewards Eval: 162.70, Total Timesteps: 103151780 episode:195 

