For Seed: 101 

Rewards Tr: 122.50, Rewards Disc: 0.31, Rewards Eval: 133.27, Total Timesteps: 43417730 episode:166 

Rewards Tr: 114.17, Rewards Disc: 0.38, Rewards Eval: 149.12, Total Timesteps: 43717730 episode:167 

Rewards Tr: 114.37, Rewards Disc: 0.33, Rewards Eval: 100.77, Total Timesteps: 44017730 episode:168 

Rewards Tr: 116.68, Rewards Disc: 0.25, Rewards Eval: 136.41, Total Timesteps: 44317730 episode:169 

Rewards Tr: 110.39, Rewards Disc: 0.33, Rewards Eval: 120.89, Total Timesteps: 44617730 episode:170 

Rewards Tr: 115.20, Rewards Disc: 0.24, Rewards Eval: 117.81, Total Timesteps: 44917730 episode:171 

Rewards Tr: 108.32, Rewards Disc: 0.25, Rewards Eval: 114.65, Total Timesteps: 45217730 episode:172 

Rewards Tr: 112.35, Rewards Disc: 0.22, Rewards Eval: 141.54, Total Timesteps: 45517730 episode:173 

Rewards Tr: 112.31, Rewards Disc: 0.16, Rewards Eval: 104.53, Total Timesteps: 45817730 episode:174 

Rewards Tr: 114.61, Rewards Disc: 0.19, Rewards Eval: 126.69, Total Timesteps: 46117730 episode:175 

Rewards Tr: 119.05, Rewards Disc: 0.09, Rewards Eval: 134.08, Total Timesteps: 46417730 episode:176 

Rewards Tr: 125.71, Rewards Disc: 0.04, Rewards Eval: 88.58, Total Timesteps: 46717730 episode:177 

Rewards Tr: 129.68, Rewards Disc: 0.02, Rewards Eval: 135.36, Total Timesteps: 47017730 episode:178 

Rewards Tr: 122.75, Rewards Disc: 0.04, Rewards Eval: 115.03, Total Timesteps: 47317730 episode:179 

Rewards Tr: 122.08, Rewards Disc: 0.03, Rewards Eval: 133.05, Total Timesteps: 47617730 episode:180 

Rewards Tr: 120.20, Rewards Disc: 0.03, Rewards Eval: 103.46, Total Timesteps: 47917730 episode:181 

Rewards Tr: 116.84, Rewards Disc: 0.10, Rewards Eval: 118.04, Total Timesteps: 48217730 episode:182 

Rewards Tr: 122.28, Rewards Disc: 0.01, Rewards Eval: 123.46, Total Timesteps: 48517730 episode:183 

Rewards Tr: 119.78, Rewards Disc: 0.03, Rewards Eval: 134.27, Total Timesteps: 48817730 episode:184 

Rewards Tr: 124.92, Rewards Disc: 0.01, Rewards Eval: 114.38, Total Timesteps: 49117730 episode:185 

Rewards Tr: 121.33, Rewards Disc: -0.01, Rewards Eval: 123.91, Total Timesteps: 49417730 episode:186 

Rewards Tr: 128.18, Rewards Disc: -0.02, Rewards Eval: 95.76, Total Timesteps: 49717730 episode:187 

Rewards Tr: 125.81, Rewards Disc: 0.00, Rewards Eval: 109.93, Total Timesteps: 50017730 episode:188 

Rewards Tr: 129.27, Rewards Disc: -0.04, Rewards Eval: 115.43, Total Timesteps: 50317730 episode:189 

Rewards Tr: 132.95, Rewards Disc: 0.02, Rewards Eval: 153.17, Total Timesteps: 50617730 episode:190 

Rewards Tr: 136.81, Rewards Disc: 0.04, Rewards Eval: 131.81, Total Timesteps: 50917730 episode:191 

Rewards Tr: 134.12, Rewards Disc: 0.02, Rewards Eval: 147.85, Total Timesteps: 51217730 episode:192 

Rewards Tr: 137.29, Rewards Disc: 0.04, Rewards Eval: 165.52, Total Timesteps: 51517730 episode:193 

Rewards Tr: 140.34, Rewards Disc: 0.07, Rewards Eval: 130.27, Total Timesteps: 51817730 episode:194 

Rewards Tr: 142.10, Rewards Disc: 0.02, Rewards Eval: 120.51, Total Timesteps: 52117730 episode:195 

Rewards Tr: 144.57, Rewards Disc: 0.08, Rewards Eval: 146.54, Total Timesteps: 52417730 episode:196 

Rewards Tr: 146.57, Rewards Disc: 0.07, Rewards Eval: 158.38, Total Timesteps: 52717730 episode:197 

Rewards Tr: 144.12, Rewards Disc: 0.10, Rewards Eval: 138.26, Total Timesteps: 53017730 episode:198 

Rewards Tr: 142.61, Rewards Disc: 0.15, Rewards Eval: 172.29, Total Timesteps: 53317730 episode:199 

Rewards Tr: 146.00, Rewards Disc: 0.13, Rewards Eval: 170.30, Total Timesteps: 53617730 episode:200 

Rewards Tr: 142.95, Rewards Disc: 0.17, Rewards Eval: 141.03, Total Timesteps: 53917730 episode:201 

Rewards Tr: 142.02, Rewards Disc: 0.15, Rewards Eval: 140.12, Total Timesteps: 54217730 episode:202 

Rewards Tr: 138.34, Rewards Disc: 0.22, Rewards Eval: 143.68, Total Timesteps: 54517730 episode:203 

Rewards Tr: 145.32, Rewards Disc: 0.08, Rewards Eval: 159.77, Total Timesteps: 54817730 episode:204 

Rewards Tr: 144.63, Rewards Disc: 0.15, Rewards Eval: 159.52, Total Timesteps: 55117730 episode:205 

Rewards Tr: 147.73, Rewards Disc: 0.09, Rewards Eval: 170.38, Total Timesteps: 55417730 episode:206 

Rewards Tr: 147.21, Rewards Disc: 0.08, Rewards Eval: 160.15, Total Timesteps: 55717730 episode:207 

Rewards Tr: 148.60, Rewards Disc: 0.07, Rewards Eval: 171.64, Total Timesteps: 56017730 episode:208 

Rewards Tr: 149.15, Rewards Disc: 0.04, Rewards Eval: 133.42, Total Timesteps: 56317730 episode:209 

Rewards Tr: 143.61, Rewards Disc: 0.07, Rewards Eval: 155.22, Total Timesteps: 56617730 episode:210 

Rewards Tr: 143.51, Rewards Disc: 0.03, Rewards Eval: 122.34, Total Timesteps: 56917730 episode:211 

Rewards Tr: 141.33, Rewards Disc: -0.00, Rewards Eval: 129.48, Total Timesteps: 57217730 episode:212 

Rewards Tr: 141.67, Rewards Disc: 0.04, Rewards Eval: 158.50, Total Timesteps: 57517730 episode:213 

Rewards Tr: 141.22, Rewards Disc: 0.01, Rewards Eval: 138.98, Total Timesteps: 57817730 episode:214 

Rewards Tr: 143.46, Rewards Disc: -0.00, Rewards Eval: 132.86, Total Timesteps: 58117730 episode:215 

Rewards Tr: 135.05, Rewards Disc: 0.06, Rewards Eval: 119.53, Total Timesteps: 58417730 episode:216 

Rewards Tr: 141.54, Rewards Disc: -0.01, Rewards Eval: 144.65, Total Timesteps: 58717730 episode:217 

Rewards Tr: 135.08, Rewards Disc: 0.02, Rewards Eval: 126.28, Total Timesteps: 59017730 episode:218 

