For Seed: 1 

Rewards Tr: 41.64, Rewards Eval: 28.16, Total Timesteps: 14328540 episode:91 

Rewards Tr: 46.48, Rewards Eval: 49.22, Total Timesteps: 14528540 episode:92 

Rewards Tr: 50.93, Rewards Eval: 59.81, Total Timesteps: 14728540 episode:93 

Rewards Tr: 48.63, Rewards Eval: 60.59, Total Timesteps: 14928540 episode:94 

Rewards Tr: 52.12, Rewards Eval: 44.49, Total Timesteps: 15128540 episode:95 

Rewards Tr: 54.44, Rewards Eval: 61.63, Total Timesteps: 15328540 episode:96 

Rewards Tr: 52.77, Rewards Eval: 41.70, Total Timesteps: 15528540 episode:97 

Rewards Tr: 58.36, Rewards Eval: 73.73, Total Timesteps: 15728540 episode:98 

Rewards Tr: 60.40, Rewards Eval: 36.05, Total Timesteps: 15928540 episode:99 

Rewards Tr: 65.34, Rewards Eval: 48.09, Total Timesteps: 16128540 episode:100 

Rewards Tr: 65.71, Rewards Eval: 58.39, Total Timesteps: 16328540 episode:101 

Rewards Tr: 69.52, Rewards Eval: 44.30, Total Timesteps: 16528540 episode:102 

Rewards Tr: 76.21, Rewards Eval: 62.58, Total Timesteps: 16728540 episode:103 

Rewards Tr: 79.75, Rewards Eval: 76.49, Total Timesteps: 16928540 episode:104 

Rewards Tr: 78.76, Rewards Eval: 74.87, Total Timesteps: 17128540 episode:105 

Rewards Tr: 85.18, Rewards Eval: 94.15, Total Timesteps: 17328540 episode:106 

Rewards Tr: 90.83, Rewards Eval: 78.57, Total Timesteps: 17528540 episode:107 

Rewards Tr: 90.48, Rewards Eval: 86.52, Total Timesteps: 17728540 episode:108 

Rewards Tr: 98.72, Rewards Eval: 86.44, Total Timesteps: 17928540 episode:109 

Rewards Tr: 96.98, Rewards Eval: 69.43, Total Timesteps: 18128540 episode:110 

Rewards Tr: 107.80, Rewards Eval: 100.13, Total Timesteps: 18328540 episode:111 

Rewards Tr: 104.40, Rewards Eval: 102.10, Total Timesteps: 18528540 episode:112 

Rewards Tr: 109.86, Rewards Eval: 90.02, Total Timesteps: 18728540 episode:113 

Rewards Tr: 114.57, Rewards Eval: 79.54, Total Timesteps: 18928540 episode:114 

Rewards Tr: 119.44, Rewards Eval: 110.20, Total Timesteps: 19128540 episode:115 

Rewards Tr: 121.57, Rewards Eval: 138.46, Total Timesteps: 19328540 episode:116 

Rewards Tr: 125.83, Rewards Eval: 109.04, Total Timesteps: 19528540 episode:117 

Rewards Tr: 132.95, Rewards Eval: 123.76, Total Timesteps: 19728540 episode:118 

Rewards Tr: 130.76, Rewards Eval: 106.16, Total Timesteps: 19928540 episode:119 

Rewards Tr: 132.02, Rewards Eval: 124.13, Total Timesteps: 20128540 episode:120 

Rewards Tr: 138.49, Rewards Eval: 121.04, Total Timesteps: 20328540 episode:121 

Rewards Tr: 135.30, Rewards Eval: 133.28, Total Timesteps: 20528540 episode:122 

Rewards Tr: 141.24, Rewards Eval: 143.98, Total Timesteps: 20728540 episode:123 

Rewards Tr: 147.92, Rewards Eval: 125.32, Total Timesteps: 20928540 episode:124 

Rewards Tr: 149.07, Rewards Eval: 135.84, Total Timesteps: 21128540 episode:125 

Rewards Tr: 148.94, Rewards Eval: 92.41, Total Timesteps: 21328540 episode:126 

Rewards Tr: 149.36, Rewards Eval: 135.93, Total Timesteps: 21528540 episode:127 

Rewards Tr: 145.06, Rewards Eval: 115.27, Total Timesteps: 21728540 episode:128 

Rewards Tr: 154.91, Rewards Eval: 114.90, Total Timesteps: 21928540 episode:129 

