For Seed: 101 

Rewards Tr: 105.51, Rewards Val: 107.52, Rewards Disc: 0.32, Rewards Eval: 132.02, Total Timesteps: 61541230 episode:124 

Rewards Tr: 105.88, Rewards Val: 108.58, Rewards Disc: 0.24, Rewards Eval: 122.40, Total Timesteps: 62141230 episode:125 

Rewards Tr: 106.34, Rewards Val: 111.45, Rewards Disc: 0.19, Rewards Eval: 135.36, Total Timesteps: 62741230 episode:126 

Rewards Tr: 107.19, Rewards Val: 102.54, Rewards Disc: 0.26, Rewards Eval: 140.32, Total Timesteps: 63341230 episode:127 

Rewards Tr: 106.39, Rewards Val: 105.86, Rewards Disc: 0.21, Rewards Eval: 136.09, Total Timesteps: 63941230 episode:128 

Rewards Tr: 108.71, Rewards Val: 102.19, Rewards Disc: 0.17, Rewards Eval: 95.10, Total Timesteps: 64541230 episode:129 

Rewards Tr: 109.89, Rewards Val: 104.60, Rewards Disc: 0.19, Rewards Eval: 95.50, Total Timesteps: 65141230 episode:130 

Rewards Tr: 106.08, Rewards Val: 107.87, Rewards Disc: 0.11, Rewards Eval: 92.68, Total Timesteps: 65741230 episode:131 

Rewards Tr: 104.86, Rewards Val: 103.40, Rewards Disc: 0.10, Rewards Eval: 87.85, Total Timesteps: 66341230 episode:132 

Rewards Tr: 102.79, Rewards Val: 99.82, Rewards Disc: 0.11, Rewards Eval: 126.47, Total Timesteps: 66941230 episode:133 

Rewards Tr: 101.68, Rewards Val: 98.03, Rewards Disc: 0.09, Rewards Eval: 82.98, Total Timesteps: 67541230 episode:134 

Rewards Tr: 97.80, Rewards Val: 103.46, Rewards Disc: -0.03, Rewards Eval: 53.03, Total Timesteps: 68141230 episode:135 

Rewards Tr: 94.64, Rewards Val: 97.99, Rewards Disc: 0.04, Rewards Eval: 62.81, Total Timesteps: 68741230 episode:136 

Rewards Tr: 94.32, Rewards Val: 98.41, Rewards Disc: 0.01, Rewards Eval: 92.36, Total Timesteps: 69341230 episode:137 

Rewards Tr: 92.35, Rewards Val: 92.30, Rewards Disc: 0.04, Rewards Eval: 99.06, Total Timesteps: 69941230 episode:138 

Rewards Tr: 95.69, Rewards Val: 97.50, Rewards Disc: -0.01, Rewards Eval: 77.59, Total Timesteps: 70541230 episode:139 

Rewards Tr: 97.24, Rewards Val: 99.48, Rewards Disc: -0.00, Rewards Eval: 47.31, Total Timesteps: 71141230 episode:140 

Rewards Tr: 99.65, Rewards Val: 100.61, Rewards Disc: -0.01, Rewards Eval: 90.35, Total Timesteps: 71741230 episode:141 

Rewards Tr: 104.20, Rewards Val: 104.42, Rewards Disc: 0.03, Rewards Eval: 101.16, Total Timesteps: 72341230 episode:142 

Rewards Tr: 111.33, Rewards Val: 114.11, Rewards Disc: 0.02, Rewards Eval: 87.21, Total Timesteps: 72941230 episode:143 

Rewards Tr: 119.29, Rewards Val: 117.23, Rewards Disc: 0.03, Rewards Eval: 102.09, Total Timesteps: 73541230 episode:144 

Rewards Tr: 128.06, Rewards Val: 129.51, Rewards Disc: -0.04, Rewards Eval: 120.82, Total Timesteps: 74141230 episode:145 

Rewards Tr: 134.38, Rewards Val: 133.82, Rewards Disc: 0.02, Rewards Eval: 119.44, Total Timesteps: 74741230 episode:146 

Rewards Tr: 139.63, Rewards Val: 137.51, Rewards Disc: 0.03, Rewards Eval: 136.74, Total Timesteps: 75341230 episode:147 

Rewards Tr: 141.95, Rewards Val: 143.56, Rewards Disc: 0.06, Rewards Eval: 154.33, Total Timesteps: 75941230 episode:148 

Rewards Tr: 141.70, Rewards Val: 141.46, Rewards Disc: 0.10, Rewards Eval: 158.09, Total Timesteps: 76541230 episode:149 

Rewards Tr: 152.43, Rewards Val: 148.68, Rewards Disc: 0.11, Rewards Eval: 135.29, Total Timesteps: 77141230 episode:150 

Rewards Tr: 150.67, Rewards Val: 155.21, Rewards Disc: 0.01, Rewards Eval: 147.99, Total Timesteps: 77741230 episode:151 

Rewards Tr: 155.12, Rewards Val: 152.49, Rewards Disc: 0.06, Rewards Eval: 153.80, Total Timesteps: 78341230 episode:152 

Rewards Tr: 157.99, Rewards Val: 155.05, Rewards Disc: 0.04, Rewards Eval: 150.53, Total Timesteps: 78941230 episode:153 

Rewards Tr: 155.88, Rewards Val: 157.24, Rewards Disc: 0.08, Rewards Eval: 154.84, Total Timesteps: 79541230 episode:154 

Rewards Tr: 156.63, Rewards Val: 159.22, Rewards Disc: 0.03, Rewards Eval: 144.65, Total Timesteps: 80141230 episode:155 

Rewards Tr: 159.51, Rewards Val: 162.89, Rewards Disc: 0.02, Rewards Eval: 157.71, Total Timesteps: 80741230 episode:156 

