For Seed: 1 

2022-02-12 21:35:46.667483: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-12 21:35:52.277334: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
Rewards Tr: 1549.76, Rewards Disc: 0.61, Rewards Eval: 1131.85, Total Timesteps: 3712610 episode:130 

Rewards Tr: 1581.70, Rewards Disc: 0.64, Rewards Eval: 1676.96, Total Timesteps: 3762610 episode:131 

Rewards Tr: 1529.36, Rewards Disc: 0.73, Rewards Eval: 1414.93, Total Timesteps: 3812610 episode:132 

Rewards Tr: 1397.29, Rewards Disc: 0.79, Rewards Eval: 2003.12, Total Timesteps: 3862610 episode:133 

Rewards Tr: 1721.95, Rewards Disc: 0.71, Rewards Eval: 1284.42, Total Timesteps: 3912610 episode:134 

Rewards Tr: 1749.72, Rewards Disc: 0.74, Rewards Eval: 1895.83, Total Timesteps: 3962610 episode:135 

Rewards Tr: 1919.36, Rewards Disc: 0.72, Rewards Eval: 1013.22, Total Timesteps: 4012610 episode:136 

Rewards Tr: 1916.44, Rewards Disc: 0.66, Rewards Eval: 1678.67, Total Timesteps: 4062610 episode:137 

Rewards Tr: 2071.47, Rewards Disc: 0.65, Rewards Eval: 1809.76, Total Timesteps: 4112610 episode:138 

Rewards Tr: 1808.70, Rewards Disc: 0.72, Rewards Eval: 1649.75, Total Timesteps: 4162610 episode:139 

Rewards Tr: 1559.31, Rewards Disc: 0.78, Rewards Eval: 2674.25, Total Timesteps: 4212610 episode:140 

Rewards Tr: 1511.60, Rewards Disc: 0.76, Rewards Eval: 1137.61, Total Timesteps: 4262610 episode:141 

Rewards Tr: 1310.48, Rewards Disc: 0.80, Rewards Eval: 844.14, Total Timesteps: 4312450 episode:142 

Rewards Tr: 1425.32, Rewards Disc: 0.74, Rewards Eval: 1195.25, Total Timesteps: 4360720 episode:143 

Rewards Tr: 1731.17, Rewards Disc: 0.61, Rewards Eval: 1310.76, Total Timesteps: 4410720 episode:144 

Rewards Tr: 1834.70, Rewards Disc: 0.60, Rewards Eval: 2002.96, Total Timesteps: 4460720 episode:145 

Rewards Tr: 1836.82, Rewards Disc: 0.68, Rewards Eval: 2205.51, Total Timesteps: 4510720 episode:146 

Rewards Tr: 1818.14, Rewards Disc: 0.62, Rewards Eval: 1828.90, Total Timesteps: 4560510 episode:147 

Rewards Tr: 1503.92, Rewards Disc: 0.59, Rewards Eval: 2491.83, Total Timesteps: 4610510 episode:148 

Rewards Tr: 1528.27, Rewards Disc: 0.62, Rewards Eval: 1919.64, Total Timesteps: 4658140 episode:149 

Rewards Tr: 1756.21, Rewards Disc: 0.67, Rewards Eval: 1471.99, Total Timesteps: 4708140 episode:150 

Rewards Tr: 1859.04, Rewards Disc: 0.63, Rewards Eval: 1606.97, Total Timesteps: 4758140 episode:151 

Rewards Tr: 2032.39, Rewards Disc: 0.64, Rewards Eval: 2053.18, Total Timesteps: 4808140 episode:152 

Rewards Tr: 2013.61, Rewards Disc: 0.65, Rewards Eval: 1772.79, Total Timesteps: 4858140 episode:153 

Rewards Tr: 1813.57, Rewards Disc: 0.66, Rewards Eval: 2083.38, Total Timesteps: 4908140 episode:154 

Rewards Tr: 1803.23, Rewards Disc: 0.64, Rewards Eval: 2114.51, Total Timesteps: 4958140 episode:155 

Rewards Tr: 1479.12, Rewards Disc: 0.68, Rewards Eval: 1411.58, Total Timesteps: 5005430 episode:156 

Rewards Tr: 1404.48, Rewards Disc: 0.67, Rewards Eval: 2056.52, Total Timesteps: 5052730 episode:157 

Rewards Tr: 1689.51, Rewards Disc: 0.73, Rewards Eval: 2253.72, Total Timesteps: 5102730 episode:158 

Rewards Tr: 1694.22, Rewards Disc: 0.73, Rewards Eval: 2225.85, Total Timesteps: 5152730 episode:159 

Rewards Tr: 1628.99, Rewards Disc: 0.73, Rewards Eval: 1594.97, Total Timesteps: 5202140 episode:160 

Rewards Tr: 1887.50, Rewards Disc: 0.64, Rewards Eval: 1227.17, Total Timesteps: 5252140 episode:161 

Rewards Tr: 2047.28, Rewards Disc: 0.72, Rewards Eval: 1609.82, Total Timesteps: 5302140 episode:162 

Rewards Tr: 1873.07, Rewards Disc: 0.73, Rewards Eval: 2389.85, Total Timesteps: 5352140 episode:163 

Rewards Tr: 1803.01, Rewards Disc: 0.76, Rewards Eval: 2159.49, Total Timesteps: 5402140 episode:164 

Rewards Tr: 1495.16, Rewards Disc: 0.66, Rewards Eval: 1127.49, Total Timesteps: 5450310 episode:165 

Rewards Tr: 1526.22, Rewards Disc: 0.61, Rewards Eval: 1546.03, Total Timesteps: 5500310 episode:166 

Rewards Tr: 1601.37, Rewards Disc: 0.67, Rewards Eval: 1627.01, Total Timesteps: 5548620 episode:167 

Rewards Tr: 1679.21, Rewards Disc: 0.69, Rewards Eval: 873.03, Total Timesteps: 5598620 episode:168 

Rewards Tr: 1484.58, Rewards Disc: 0.73, Rewards Eval: 1938.01, Total Timesteps: 5648620 episode:169 

Rewards Tr: 1557.80, Rewards Disc: 0.77, Rewards Eval: 983.25, Total Timesteps: 5698380 episode:170 

Rewards Tr: 1702.89, Rewards Disc: 0.76, Rewards Eval: 2188.92, Total Timesteps: 5748380 episode:171 

Rewards Tr: 1686.56, Rewards Disc: 0.70, Rewards Eval: 1240.01, Total Timesteps: 5798380 episode:172 

Rewards Tr: 1876.57, Rewards Disc: 0.73, Rewards Eval: 2131.88, Total Timesteps: 5848380 episode:173 

Rewards Tr: 1778.53, Rewards Disc: 0.73, Rewards Eval: 1432.64, Total Timesteps: 5898380 episode:174 

Rewards Tr: 1715.52, Rewards Disc: 0.67, Rewards Eval: 1594.99, Total Timesteps: 5948380 episode:175 

Rewards Tr: 1862.99, Rewards Disc: 0.66, Rewards Eval: 1477.64, Total Timesteps: 5998380 episode:176 

Rewards Tr: 1938.16, Rewards Disc: 0.73, Rewards Eval: 967.35, Total Timesteps: 6048380 episode:177 

Rewards Tr: 1964.80, Rewards Disc: 0.72, Rewards Eval: 1174.67, Total Timesteps: 6098380 episode:178 

Rewards Tr: 1599.79, Rewards Disc: 0.65, Rewards Eval: 2364.79, Total Timesteps: 6148120 episode:179 

Rewards Tr: 1636.65, Rewards Disc: 0.64, Rewards Eval: 759.79, Total Timesteps: 6198120 episode:180 

Rewards Tr: 1361.93, Rewards Disc: 0.84, Rewards Eval: 944.36, Total Timesteps: 6248120 episode:181 

Rewards Tr: 1343.65, Rewards Disc: 0.90, Rewards Eval: 1943.95, Total Timesteps: 6298120 episode:182 

Rewards Tr: 1082.42, Rewards Disc: 0.93, Rewards Eval: 1879.92, Total Timesteps: 6339530 episode:183 

Rewards Tr: 1427.20, Rewards Disc: 0.91, Rewards Eval: 992.13, Total Timesteps: 6389530 episode:184 

Rewards Tr: 1478.78, Rewards Disc: 0.91, Rewards Eval: 1875.90, Total Timesteps: 6439530 episode:185 

Rewards Tr: 1486.68, Rewards Disc: 0.93, Rewards Eval: 1890.64, Total Timesteps: 6487150 episode:186 

Rewards Tr: 1356.82, Rewards Disc: 0.92, Rewards Eval: 2395.91, Total Timesteps: 6535080 episode:187 

Rewards Tr: 1650.58, Rewards Disc: 0.89, Rewards Eval: 1285.73, Total Timesteps: 6585080 episode:188 

Rewards Tr: 1617.54, Rewards Disc: 0.87, Rewards Eval: 1583.92, Total Timesteps: 6635080 episode:189 

Rewards Tr: 1592.12, Rewards Disc: 0.82, Rewards Eval: 1882.91, Total Timesteps: 6685080 episode:190 

Rewards Tr: 1844.21, Rewards Disc: 0.79, Rewards Eval: 1598.03, Total Timesteps: 6735080 episode:191 

Rewards Tr: 1916.21, Rewards Disc: 0.71, Rewards Eval: 1916.51, Total Timesteps: 6785080 episode:192 

Rewards Tr: 1976.57, Rewards Disc: 0.68, Rewards Eval: 1441.95, Total Timesteps: 6835080 episode:193 

Rewards Tr: 1745.33, Rewards Disc: 0.84, Rewards Eval: 1525.04, Total Timesteps: 6885080 episode:194 

Rewards Tr: 1846.06, Rewards Disc: 0.80, Rewards Eval: 2333.67, Total Timesteps: 6935080 episode:195 

Rewards Tr: 1791.94, Rewards Disc: 0.76, Rewards Eval: 1628.68, Total Timesteps: 6985080 episode:196 

Rewards Tr: 1698.03, Rewards Disc: 0.68, Rewards Eval: 931.78, Total Timesteps: 7035080 episode:197 

Rewards Tr: 1769.41, Rewards Disc: 0.69, Rewards Eval: 2092.51, Total Timesteps: 7085080 episode:198 

Rewards Tr: 1948.14, Rewards Disc: 0.75, Rewards Eval: 1881.54, Total Timesteps: 7135080 episode:199 

