For Seed: 1 

2022-02-12 21:15:05.670137: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-12 21:15:09.972670: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
Rewards Tr: 1154.19, Rewards Val: 1067.05, Rewards Disc: 0.62, Rewards Eval: 1094.19, Total Timesteps: 1312140 episode:56 

Rewards Tr: 988.13, Rewards Val: 848.85, Rewards Disc: 0.58, Rewards Eval: 1455.67, Total Timesteps: 1410800 episode:57 

Rewards Tr: 919.81, Rewards Val: 1039.43, Rewards Disc: 0.55, Rewards Eval: 1206.22, Total Timesteps: 1509010 episode:58 

Rewards Tr: 942.35, Rewards Val: 840.67, Rewards Disc: 0.52, Rewards Eval: 1066.67, Total Timesteps: 1602160 episode:59 

Rewards Tr: 1361.97, Rewards Val: 1220.49, Rewards Disc: 0.62, Rewards Eval: 1700.71, Total Timesteps: 1702160 episode:60 

Rewards Tr: 1362.89, Rewards Val: 1362.53, Rewards Disc: 0.65, Rewards Eval: 1130.92, Total Timesteps: 1802160 episode:61 

Rewards Tr: 1557.60, Rewards Val: 1629.97, Rewards Disc: 0.70, Rewards Eval: 1503.69, Total Timesteps: 1902160 episode:62 

Rewards Tr: 1365.43, Rewards Val: 1352.32, Rewards Disc: 0.65, Rewards Eval: 1117.91, Total Timesteps: 2002160 episode:63 

Rewards Tr: 1683.11, Rewards Val: 1718.47, Rewards Disc: 0.77, Rewards Eval: 1594.86, Total Timesteps: 2102160 episode:64 

Rewards Tr: 1703.02, Rewards Val: 1628.26, Rewards Disc: 0.70, Rewards Eval: 1030.53, Total Timesteps: 2202160 episode:65 

Rewards Tr: 1460.45, Rewards Val: 1367.18, Rewards Disc: 0.67, Rewards Eval: 902.12, Total Timesteps: 2302160 episode:66 

Rewards Tr: 1233.28, Rewards Val: 1293.47, Rewards Disc: 0.64, Rewards Eval: 1468.58, Total Timesteps: 2399230 episode:67 

Rewards Tr: 1488.21, Rewards Val: 1646.06, Rewards Disc: 0.72, Rewards Eval: 979.29, Total Timesteps: 2499230 episode:68 

Rewards Tr: 1506.12, Rewards Val: 1500.32, Rewards Disc: 0.67, Rewards Eval: 1088.65, Total Timesteps: 2599230 episode:69 

Rewards Tr: 1397.40, Rewards Val: 1430.21, Rewards Disc: 0.62, Rewards Eval: 1896.15, Total Timesteps: 2699230 episode:70 

Rewards Tr: 1343.93, Rewards Val: 1483.13, Rewards Disc: 0.63, Rewards Eval: 1509.20, Total Timesteps: 2799230 episode:71 

Rewards Tr: 1469.40, Rewards Val: 1453.52, Rewards Disc: 0.64, Rewards Eval: 1581.71, Total Timesteps: 2899230 episode:72 

Rewards Tr: 1680.69, Rewards Val: 1619.08, Rewards Disc: 0.71, Rewards Eval: 2254.37, Total Timesteps: 2998540 episode:73 

Rewards Tr: 1654.45, Rewards Val: 1651.29, Rewards Disc: 0.64, Rewards Eval: 2097.08, Total Timesteps: 3098540 episode:74 

Rewards Tr: 1616.51, Rewards Val: 1608.65, Rewards Disc: 0.59, Rewards Eval: 1562.21, Total Timesteps: 3198540 episode:75 

Rewards Tr: 1654.20, Rewards Val: 1557.17, Rewards Disc: 0.61, Rewards Eval: 716.24, Total Timesteps: 3298540 episode:76 

Rewards Tr: 1357.19, Rewards Val: 1548.61, Rewards Disc: 0.60, Rewards Eval: 1790.95, Total Timesteps: 3398540 episode:77 

Rewards Tr: 1527.63, Rewards Val: 1472.72, Rewards Disc: 0.54, Rewards Eval: 1503.33, Total Timesteps: 3498540 episode:78 

Rewards Tr: 1441.51, Rewards Val: 1429.57, Rewards Disc: 0.55, Rewards Eval: 1800.50, Total Timesteps: 3598540 episode:79 

Rewards Tr: 1621.80, Rewards Val: 1696.01, Rewards Disc: 0.68, Rewards Eval: 1816.64, Total Timesteps: 3698540 episode:80 

Rewards Tr: 1624.34, Rewards Val: 1738.83, Rewards Disc: 0.69, Rewards Eval: 827.65, Total Timesteps: 3798540 episode:81 

Rewards Tr: 1298.41, Rewards Val: 1315.67, Rewards Disc: 0.59, Rewards Eval: 1875.45, Total Timesteps: 3890190 episode:82 

Rewards Tr: 1577.20, Rewards Val: 1610.93, Rewards Disc: 0.64, Rewards Eval: 2282.80, Total Timesteps: 3990190 episode:83 

Rewards Tr: 1577.04, Rewards Val: 1649.25, Rewards Disc: 0.60, Rewards Eval: 1483.65, Total Timesteps: 4090190 episode:84 

Rewards Tr: 1533.10, Rewards Val: 1660.39, Rewards Disc: 0.59, Rewards Eval: 1418.94, Total Timesteps: 4190190 episode:85 

Rewards Tr: 1551.13, Rewards Val: 1498.21, Rewards Disc: 0.53, Rewards Eval: 1613.67, Total Timesteps: 4290190 episode:86 

Rewards Tr: 1623.33, Rewards Val: 1673.88, Rewards Disc: 0.63, Rewards Eval: 1810.72, Total Timesteps: 4390190 episode:87 

Rewards Tr: 1706.53, Rewards Val: 1714.76, Rewards Disc: 0.66, Rewards Eval: 1914.45, Total Timesteps: 4490190 episode:88 

Rewards Tr: 1440.48, Rewards Val: 1452.11, Rewards Disc: 0.52, Rewards Eval: 1675.84, Total Timesteps: 4590190 episode:89 

Rewards Tr: 1506.32, Rewards Val: 1621.96, Rewards Disc: 0.56, Rewards Eval: 1882.15, Total Timesteps: 4690190 episode:90 

Rewards Tr: 1479.09, Rewards Val: 1712.26, Rewards Disc: 0.59, Rewards Eval: 2314.07, Total Timesteps: 4790190 episode:91 

Rewards Tr: 1450.70, Rewards Val: 1485.07, Rewards Disc: 0.51, Rewards Eval: 1084.34, Total Timesteps: 4890190 episode:92 

Rewards Tr: 1613.12, Rewards Val: 1687.01, Rewards Disc: 0.62, Rewards Eval: 2330.95, Total Timesteps: 4990190 episode:93 

Rewards Tr: 1759.06, Rewards Val: 1721.67, Rewards Disc: 0.70, Rewards Eval: 1969.13, Total Timesteps: 5090190 episode:94 

Rewards Tr: 1559.83, Rewards Val: 1555.93, Rewards Disc: 0.65, Rewards Eval: 1627.12, Total Timesteps: 5188910 episode:95 

Rewards Tr: 1504.95, Rewards Val: 1535.78, Rewards Disc: 0.69, Rewards Eval: 1889.43, Total Timesteps: 5288390 episode:96 

Rewards Tr: 1337.45, Rewards Val: 1285.82, Rewards Disc: 0.67, Rewards Eval: 1827.29, Total Timesteps: 5383470 episode:97 

Rewards Tr: 1387.37, Rewards Val: 1290.15, Rewards Disc: 0.63, Rewards Eval: 1133.23, Total Timesteps: 5477180 episode:98 

Rewards Tr: 1577.22, Rewards Val: 1285.69, Rewards Disc: 0.62, Rewards Eval: 2026.01, Total Timesteps: 5572950 episode:99 

Rewards Tr: 1654.00, Rewards Val: 1586.81, Rewards Disc: 0.62, Rewards Eval: 1560.28, Total Timesteps: 5672950 episode:100 

Rewards Tr: 1809.43, Rewards Val: 1661.01, Rewards Disc: 0.67, Rewards Eval: 1810.98, Total Timesteps: 5772950 episode:101 

Rewards Tr: 1692.77, Rewards Val: 1709.77, Rewards Disc: 0.74, Rewards Eval: 2299.92, Total Timesteps: 5872950 episode:102 

Rewards Tr: 1792.01, Rewards Val: 1538.45, Rewards Disc: 0.71, Rewards Eval: 2187.50, Total Timesteps: 5972950 episode:103 

Rewards Tr: 1554.71, Rewards Val: 1592.29, Rewards Disc: 0.70, Rewards Eval: 1792.63, Total Timesteps: 6072950 episode:104 

Rewards Tr: 1675.70, Rewards Val: 1646.42, Rewards Disc: 0.67, Rewards Eval: 1564.29, Total Timesteps: 6172950 episode:105 

Rewards Tr: 1471.31, Rewards Val: 1543.91, Rewards Disc: 0.59, Rewards Eval: 2368.48, Total Timesteps: 6272950 episode:106 

Rewards Tr: 1601.25, Rewards Val: 1457.44, Rewards Disc: 0.58, Rewards Eval: 1634.76, Total Timesteps: 6372950 episode:107 

Rewards Tr: 1518.46, Rewards Val: 1670.02, Rewards Disc: 0.55, Rewards Eval: 976.16, Total Timesteps: 6472950 episode:108 

Rewards Tr: 1628.33, Rewards Val: 1511.52, Rewards Disc: 0.47, Rewards Eval: 1839.54, Total Timesteps: 6572950 episode:109 

Rewards Tr: 1591.95, Rewards Val: 1654.44, Rewards Disc: 0.55, Rewards Eval: 1830.80, Total Timesteps: 6672950 episode:110 

Rewards Tr: 2004.27, Rewards Val: 1850.64, Rewards Disc: 0.68, Rewards Eval: 1702.79, Total Timesteps: 6772950 episode:111 

Rewards Tr: 1949.60, Rewards Val: 2004.63, Rewards Disc: 0.71, Rewards Eval: 1855.44, Total Timesteps: 6872950 episode:112 

Rewards Tr: 1927.82, Rewards Val: 2005.09, Rewards Disc: 0.74, Rewards Eval: 1911.43, Total Timesteps: 6972950 episode:113 

Rewards Tr: 1613.58, Rewards Val: 1776.46, Rewards Disc: 0.74, Rewards Eval: 1080.70, Total Timesteps: 7072950 episode:114 

Rewards Tr: 1179.46, Rewards Val: 1550.85, Rewards Disc: 0.53, Rewards Eval: 638.57, Total Timesteps: 7171220 episode:115 

