For Seed: 1 

2022-02-08 19:40:24.519815: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-08 19:40:28.934812: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:0a:00.0, compute capability: 7.0
Rewards Tr: 6.57, Rewards Eval: 0.00, Total Timesteps: 1040 episode:0 
Rewards Tr: 581.69, Rewards Eval: 542.14, Total Timesteps: 727440 episode:80 

Rewards Tr: 566.76, Rewards Eval: 565.99, Total Timesteps: 743060 episode:81 

Rewards Tr: 698.11, Rewards Eval: 649.55, Total Timesteps: 765450 episode:82 

Rewards Tr: 696.40, Rewards Eval: 1020.73, Total Timesteps: 786540 episode:83 

Rewards Tr: 608.62, Rewards Eval: 739.30, Total Timesteps: 806450 episode:84 

Rewards Tr: 670.19, Rewards Eval: 407.49, Total Timesteps: 826660 episode:85 

Rewards Tr: 709.37, Rewards Eval: 410.28, Total Timesteps: 847400 episode:86 

Rewards Tr: 744.82, Rewards Eval: 666.82, Total Timesteps: 868610 episode:87 

Rewards Tr: 704.89, Rewards Eval: 862.93, Total Timesteps: 894390 episode:88 

Rewards Tr: 716.57, Rewards Eval: 773.74, Total Timesteps: 913640 episode:89 

Rewards Tr: 770.77, Rewards Eval: 829.53, Total Timesteps: 936600 episode:90 

Rewards Tr: 768.74, Rewards Eval: 821.46, Total Timesteps: 961960 episode:91 

Rewards Tr: 737.35, Rewards Eval: 905.26, Total Timesteps: 984340 episode:92 

Rewards Tr: 671.07, Rewards Eval: 794.74, Total Timesteps: 1001750 episode:93 

Rewards Tr: 757.63, Rewards Eval: 837.01, Total Timesteps: 1021150 episode:94 

Rewards Tr: 847.94, Rewards Eval: 819.20, Total Timesteps: 1044490 episode:95 

Rewards Tr: 871.95, Rewards Eval: 771.71, Total Timesteps: 1069280 episode:96 

Rewards Tr: 729.38, Rewards Eval: 761.39, Total Timesteps: 1087840 episode:97 

Rewards Tr: 733.97, Rewards Eval: 736.62, Total Timesteps: 1106820 episode:98 

Rewards Tr: 1127.99, Rewards Eval: 757.47, Total Timesteps: 1144700 episode:99 

Rewards Tr: 698.14, Rewards Eval: 712.15, Total Timesteps: 1164150 episode:100 

Rewards Tr: 913.85, Rewards Eval: 1076.46, Total Timesteps: 1190530 episode:101 

Rewards Tr: 863.06, Rewards Eval: 577.59, Total Timesteps: 1216970 episode:102 

Rewards Tr: 765.66, Rewards Eval: 1136.18, Total Timesteps: 1238890 episode:103 

