For Seed: 1 

2022-02-08 19:10:32.917112: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-08 19:10:37.052408: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78116 MB memory:  -> device: 0, name: NVIDIA A100-SXM-80GB, pci bus id: 0000:81:00.0, compute capability: 8.0
2022-02-08 19:10:38.295869: I tensorflow/stream_executor/cuda/cuda_blas.cc:1760] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
Rewards Tr: 6.65, Rewards Eval: 0.00, Total Timesteps: 1040 episode:0 
Rewards Tr: 2390.44, Rewards Eval: 2955.06, Total Timesteps: 2464220 episode:155 

Rewards Tr: 1905.48, Rewards Eval: 2193.64, Total Timesteps: 2514220 episode:156 

Rewards Tr: 2528.57, Rewards Eval: 3080.00, Total Timesteps: 2564220 episode:157 

Rewards Tr: 2841.99, Rewards Eval: 2493.63, Total Timesteps: 2614220 episode:158 

Rewards Tr: 2637.47, Rewards Eval: 2422.77, Total Timesteps: 2664220 episode:159 

Rewards Tr: 2482.37, Rewards Eval: 2044.93, Total Timesteps: 2714220 episode:160 

Rewards Tr: 2126.04, Rewards Eval: 2532.13, Total Timesteps: 2764220 episode:161 

Rewards Tr: 2504.28, Rewards Eval: 2628.63, Total Timesteps: 2814220 episode:162 

Rewards Tr: 2173.00, Rewards Eval: 2608.79, Total Timesteps: 2864220 episode:163 

Rewards Tr: 2182.67, Rewards Eval: 2574.37, Total Timesteps: 2914220 episode:164 

Rewards Tr: 2340.63, Rewards Eval: 3368.17, Total Timesteps: 2964220 episode:165 

Rewards Tr: 2847.22, Rewards Eval: 2000.81, Total Timesteps: 3014220 episode:166 

Rewards Tr: 2490.05, Rewards Eval: 1483.45, Total Timesteps: 3064220 episode:167 

Rewards Tr: 2486.74, Rewards Eval: 2736.88, Total Timesteps: 3114220 episode:168 

Rewards Tr: 2651.46, Rewards Eval: 2298.34, Total Timesteps: 3164220 episode:169 

Rewards Tr: 2436.20, Rewards Eval: 3396.29, Total Timesteps: 3214220 episode:170 

Rewards Tr: 2809.46, Rewards Eval: 2961.90, Total Timesteps: 3264220 episode:171 

Rewards Tr: 2710.43, Rewards Eval: 2972.84, Total Timesteps: 3314220 episode:172 

Rewards Tr: 2814.84, Rewards Eval: 2515.47, Total Timesteps: 3364220 episode:173 

Rewards Tr: 2859.54, Rewards Eval: 3072.71, Total Timesteps: 3414220 episode:174 

Rewards Tr: 2600.18, Rewards Eval: 3032.83, Total Timesteps: 3464220 episode:175 

Rewards Tr: 2400.83, Rewards Eval: 2945.59, Total Timesteps: 3514220 episode:176 

Rewards Tr: 2565.87, Rewards Eval: 2092.02, Total Timesteps: 3564220 episode:177 

Rewards Tr: 2179.01, Rewards Eval: 1856.00, Total Timesteps: 3610700 episode:178 

Rewards Tr: 2589.28, Rewards Eval: 2840.27, Total Timesteps: 3660700 episode:179 

Rewards Tr: 2618.19, Rewards Eval: 2846.84, Total Timesteps: 3710700 episode:180 

Rewards Tr: 2830.40, Rewards Eval: 2170.58, Total Timesteps: 3760700 episode:181 

Rewards Tr: 2619.02, Rewards Eval: 2852.99, Total Timesteps: 3810700 episode:182 

